time,event,pid,old_queue,new_queue,detail
0,arrival,6,-1,2,type=cpu_bound_batch enters Q2
1,arrival,2,-1,2,type=cpu_bound_batch enters Q2
1,arrival,4,-1,2,type=cpu_bound_batch enters Q2
2,arrival,1,-1,2,type=cpu_bound_batch enters Q2
2,arrival,3,-1,2,type=cpu_bound_batch enters Q2
2,arrival,5,-1,2,type=cpu_bound_batch enters Q2
4,arrival,7,-1,0,type=latency_sensitive enters Q0
4,priority_preempt,6,2,2,preempted by Q0 ready process
5,arrival,8,-1,0,type=latency_sensitive enters Q0
8,arrival,9,-1,0,type=latency_sensitive enters Q0
8,priority_preempt,2,2,2,preempted by Q0 ready process
10,behavior_demotion,9,0,1,cpu_intensity_score=1.00
10,arrival,10,-1,0,type=latency_sensitive enters Q0
11,arrival,11,-1,0,type=latency_sensitive enters Q0
12,behavior_demotion,10,0,1,cpu_intensity_score=1.00
12,arrival,12,-1,0,type=latency_sensitive enters Q0
14,behavior_demotion,11,0,1,cpu_intensity_score=1.00
15,arrival,13,-1,0,type=latency_sensitive enters Q0
16,arrival,14,-1,0,type=latency_sensitive enters Q0
19,behavior_demotion,14,0,1,cpu_intensity_score=1.00
19,arrival,15,-1,0,type=latency_sensitive enters Q0
20,quantum_adjust,-1,-1,-1,Q0=2,Q1=4,Q2=9,Q3=17,aging_trigger=8.0,window_cs=11,avg_resp=1.09
20,aging_promotion,4,2,1,aging_score trigger 8.00
21,behavior_demotion,15,0,1,cpu_intensity_score=1.00
21,arrival,16,-1,0,type=latency_sensitive enters Q0
21,aging_promotion,1,2,1,aging_score trigger 8.00
21,aging_promotion,3,2,1,aging_score trigger 8.00
21,aging_promotion,5,2,1,aging_score trigger 8.00
23,arrival,17,-1,0,type=latency_sensitive enters Q0
24,arrival,18,-1,0,type=latency_sensitive enters Q0
24,aging_promotion,6,2,1,aging_score trigger 8.00
25,behavior_demotion,17,0,1,cpu_intensity_score=1.00
26,aging_promotion,2,2,1,aging_score trigger 8.00
27,behavior_demotion,18,0,1,cpu_intensity_score=1.00
27,arrival,19,-1,0,type=latency_sensitive enters Q0
29,arrival,20,-1,0,type=latency_sensitive enters Q0
31,aging_promotion,10,1,0,aging_score trigger 8.00
32,arrival,21,-1,0,type=latency_sensitive enters Q0
