time,event,pid,old_queue,new_queue,detail
7,arrival,4,-1,0,type=interactive enters Q0
8,arrival,14,-1,0,type=interactive enters Q0
9,behavior_demotion,4,0,1,cpu_intensity_score=1.00
11,behavior_demotion,14,0,1,cpu_intensity_score=1.00
14,arrival,28,-1,0,type=interactive enters Q0
14,priority_preempt,4,1,1,preempted by Q0 ready process
16,behavior_demotion,28,0,1,cpu_intensity_score=1.00
17,arrival,26,-1,0,type=interactive enters Q0
17,priority_preempt,14,1,1,preempted by Q0 ready process
18,arrival,2,-1,0,type=interactive enters Q0
18,arrival,13,-1,0,type=interactive enters Q0
19,behavior_demotion,26,0,1,cpu_intensity_score=1.00
20,quantum_adjust,-1,-1,-1,Q0=2,Q1=4,Q2=8,Q3=16,aging_trigger=8.0,window_cs=7,avg_resp=0.40
21,behavior_demotion,2,0,1,cpu_intensity_score=1.00
21,arrival,3,-1,0,type=interactive enters Q0
21,arrival,5,-1,0,type=interactive enters Q0
22,arrival,10,-1,0,type=interactive enters Q0
22,arrival,25,-1,0,type=interactive enters Q0
23,arrival,19,-1,0,type=interactive enters Q0
24,arrival,20,-1,0,type=interactive enters Q0
26,behavior_demotion,5,0,1,cpu_intensity_score=1.00
26,arrival,11,-1,0,type=interactive enters Q0
26,arrival,24,-1,0,type=interactive enters Q0
28,behavior_demotion,10,0,1,cpu_intensity_score=1.00
30,arrival,18,-1,0,type=interactive enters Q0
31,behavior_demotion,19,0,1,cpu_intensity_score=1.00
32,arrival,9,-1,0,type=interactive enters Q0
32,arrival,15,-1,0,type=interactive enters Q0
33,behavior_demotion,20,0,1,cpu_intensity_score=1.00
33,arrival,8,-1,0,type=interactive enters Q0
33,arrival,23,-1,0,type=interactive enters Q0
33,aging_promotion,4,1,0,aging_score trigger 8.00
34,arrival,12,-1,0,type=interactive enters Q0
34,arrival,21,-1,0,type=interactive enters Q0
34,arrival,22,-1,0,type=interactive enters Q0
34,aging_promotion,14,1,0,aging_score trigger 8.00
35,behavior_demotion,11,0,1,cpu_intensity_score=1.00
35,aging_promotion,28,1,0,aging_score trigger 8.00
37,behavior_demotion,24,0,1,cpu_intensity_score=1.00
37,arrival,27,-1,0,type=interactive enters Q0
38,arrival,1,-1,0,type=interactive enters Q0
38,arrival,6,-1,0,type=interactive enters Q0
38,aging_promotion,26,1,0,aging_score trigger 8.00
39,behavior_demotion,18,0,1,cpu_intensity_score=1.00
39,arrival,7,-1,0,type=interactive enters Q0
39,aging_promotion,2,1,0,aging_score trigger 8.00
40,quantum_adjust,-1,-1,-1,Q0=2,Q1=4,Q2=9,Q3=17,aging_trigger=8.0,window_cs=11,avg_resp=5.55
41,behavior_demotion,9,0,1,cpu_intensity_score=1.00
43,behavior_demotion,15,0,1,cpu_intensity_score=1.00
44,arrival,16,-1,0,type=interactive enters Q0
44,aging_promotion,5,1,0,aging_score trigger 8.00
45,arrival,17,-1,0,type=interactive enters Q0
