time,event,pid,old_queue,new_queue,detail
2,arrival,9,-1,0,type=mixed_long enters Q0
4,behavior_demotion,9,0,1,cpu_intensity_score=1.00
4,arrival,20,-1,0,type=mixed_medium enters Q0
6,behavior_demotion,20,0,1,cpu_intensity_score=1.00
6,arrival,8,-1,0,type=mixed_medium enters Q0
8,behavior_demotion,8,0,1,cpu_intensity_score=1.00
10,arrival,1,-1,0,type=mixed_short enters Q0
10,arrival,10,-1,0,type=mixed_short enters Q0
11,arrival,5,-1,0,type=mixed_medium enters Q0
11,arrival,6,-1,0,type=mixed_long enters Q0
11,arrival,14,-1,0,type=mixed_medium enters Q0
12,behavior_demotion,9,1,2,cpu_intensity_score=1.00
14,arrival,3,-1,0,type=mixed_long enters Q0
15,behavior_demotion,10,0,1,cpu_intensity_score=1.00
17,behavior_demotion,5,0,1,cpu_intensity_score=1.00
17,arrival,2,-1,0,type=mixed_medium enters Q0
19,behavior_demotion,6,0,1,cpu_intensity_score=1.00
19,arrival,16,-1,0,type=mixed_short enters Q0
20,quantum_adjust,-1,-1,-1,Q0=2,Q1=4,Q2=8,Q3=16,aging_trigger=8.0,window_cs=9,avg_resp=2.88
21,behavior_demotion,14,0,1,cpu_intensity_score=1.00
21,arrival,24,-1,0,type=mixed_long enters Q0
22,arrival,11,-1,0,type=mixed_medium enters Q0
23,behavior_demotion,3,0,1,cpu_intensity_score=1.00
24,arrival,17,-1,0,type=mixed_medium enters Q0
24,arrival,21,-1,0,type=mixed_long enters Q0
25,behavior_demotion,2,0,1,cpu_intensity_score=1.00
25,aging_promotion,20,1,0,aging_score trigger 8.00
27,behavior_demotion,16,0,1,cpu_intensity_score=1.00
27,aging_promotion,8,1,0,aging_score trigger 8.00
29,behavior_demotion,24,0,1,cpu_intensity_score=1.00
29,aging_promotion,9,2,1,aging_score trigger 8.00
31,behavior_demotion,11,0,1,cpu_intensity_score=1.00
31,arrival,22,-1,0,type=mixed_short enters Q0
31,arrival,29,-1,0,type=mixed_medium enters Q0
33,behavior_demotion,17,0,1,cpu_intensity_score=1.00
33,aging_promotion,10,1,0,aging_score trigger 8.00
34,aging_promotion,5,1,0,aging_score trigger 8.00
35,behavior_demotion,21,0,1,cpu_intensity_score=1.00
36,arrival,12,-1,0,type=mixed_long enters Q0
36,arrival,28,-1,0,type=mixed_short enters Q0
36,aging_promotion,6,1,0,aging_score trigger 8.00
37,behavior_demotion,20,0,1,cpu_intensity_score=1.00
37,aging_promotion,14,1,0,aging_score trigger 8.00
39,behavior_demotion,8,0,1,cpu_intensity_score=1.00
39,arrival,18,-1,0,type=mixed_long enters Q0
39,arrival,26,-1,0,type=mixed_medium enters Q0
39,aging_promotion,3,1,0,aging_score trigger 8.00
40,quantum_adjust,-1,-1,-1,Q0=2,Q1=4,Q2=8,Q3=16,aging_trigger=8.0,window_cs=10,avg_resp=7.00
41,behavior_demotion,22,0,1,cpu_intensity_score=1.00
42,arrival,23,-1,0,type=mixed_medium enters Q0
42,aging_promotion,2,1,0,aging_score trigger 8.00
43,behavior_demotion,29,0,1,cpu_intensity_score=1.00
43,arrival,7,-1,0,type=mixed_short enters Q0
43,arrival,27,-1,0,type=mixed_long enters Q0
43,arrival,30,-1,0,type=mixed_long enters Q0
44,arrival,13,-1,0,type=mixed_short enters Q0
44,aging_promotion,16,1,0,aging_score trigger 8.00
45,arrival,19,-1,0,type=mixed_short enters Q0
46,aging_promotion,24,1,0,aging_score trigger 8.00
47,behavior_demotion,5,0,1,cpu_intensity_score=1.00
47,arrival,15,-1,0,type=mixed_long enters Q0
47,aging_promotion,11,1,0,aging_score trigger 8.00
48,aging_promotion,9,1,0,aging_score trigger 8.00
49,behavior_demotion,12,0,1,cpu_intensity_score=1.00
49,arrival,25,-1,0,type=mixed_short enters Q0
49,aging_promotion,17,1,0,aging_score trigger 8.00
50,arrival,4,-1,0,type=mixed_short enters Q0
50,aging_promotion,21,1,0,aging_score trigger 8.00
51,aging_promotion,20,1,0,aging_score trigger 8.00
53,behavior_demotion,6,0,1,cpu_intensity_score=1.00
53,aging_promotion,8,1,0,aging_score trigger 8.00
55,behavior_demotion,14,0,1,cpu_intensity_score=1.00
57,behavior_demotion,18,0,1,cpu_intensity_score=1.00
57,aging_promotion,22,1,0,aging_score trigger 8.00
57,aging_promotion,29,1,0,aging_score trigger 8.00
59,behavior_demotion,26,0,1,cpu_intensity_score=1.00
60,quantum_adjust,-1,-1,-1,Q0=1,Q1=3,Q2=8,Q3=16,aging_trigger=8.0,window_cs=10,avg_resp=13.60
60,aging_promotion,5,1,0,aging_score trigger 8.00
60,aging_promotion,26,1,0,aging_score trigger 8.00
61,behavior_demotion,3,0,1,cpu_intensity_score=1.00
61,aging_promotion,14,1,0,aging_score trigger 8.00
61,aging_promotion,3,1,0,aging_score trigger 8.00
62,behavior_demotion,23,0,1,cpu_intensity_score=1.00
62,aging_promotion,12,1,0,aging_score trigger 8.00
62,aging_promotion,6,1,0,aging_score trigger 8.00
62,aging_promotion,23,1,0,aging_score trigger 8.00
63,behavior_demotion,2,0,1,cpu_intensity_score=1.00
63,aging_promotion,18,1,0,aging_score trigger 8.00
63,aging_promotion,2,1,0,aging_score trigger 8.00
64,behavior_demotion,7,0,1,cpu_intensity_score=1.00
64,aging_promotion,7,1,0,aging_score trigger 8.00
65,behavior_demotion,27,0,1,cpu_intensity_score=1.00
65,aging_promotion,27,1,0,aging_score trigger 8.00
66,behavior_demotion,30,0,1,cpu_intensity_score=1.00
66,aging_promotion,30,1,0,aging_score trigger 8.00
67,behavior_demotion,13,0,1,cpu_intensity_score=1.00
67,aging_promotion,13,1,0,aging_score trigger 8.00
68,behavior_demotion,16,0,1,cpu_intensity_score=1.00
68,aging_promotion,16,1,0,aging_score trigger 8.00
69,behavior_demotion,19,0,1,cpu_intensity_score=1.00
69,aging_promotion,19,1,0,aging_score trigger 8.00
70,behavior_demotion,24,0,1,cpu_intensity_score=1.00
70,aging_promotion,24,1,0,aging_score trigger 8.00
71,behavior_demotion,15,0,1,cpu_intensity_score=1.00
71,aging_promotion,15,1,0,aging_score trigger 8.00
72,behavior_demotion,11,0,1,cpu_intensity_score=1.00
72,aging_promotion,11,1,0,aging_score trigger 8.00
73,behavior_demotion,9,0,1,cpu_intensity_score=1.00
73,aging_promotion,9,1,0,aging_score trigger 8.00
74,behavior_demotion,25,0,1,cpu_intensity_score=1.00
74,aging_promotion,25,1,0,aging_score trigger 8.00
