time,event,pid,old_queue,new_queue,detail
0,arrival,1,-1,0,type=long_starvation enters Q0
1,arrival,2,-1,0,type=long_starvation enters Q0
2,behavior_demotion,1,0,1,cpu_intensity_score=1.00
2,arrival,3,-1,0,type=long_starvation enters Q0
3,arrival,4,-1,0,type=long_starvation enters Q0
4,behavior_demotion,2,0,1,cpu_intensity_score=1.00
4,arrival,5,-1,0,type=short_flood enters Q0
5,arrival,6,-1,0,type=short_flood enters Q0
6,behavior_demotion,3,0,1,cpu_intensity_score=1.00
6,arrival,7,-1,0,type=short_flood enters Q0
7,arrival,8,-1,0,type=short_flood enters Q0
8,behavior_demotion,4,0,1,cpu_intensity_score=1.00
8,arrival,9,-1,0,type=short_flood enters Q0
9,arrival,10,-1,0,type=short_flood enters Q0
10,behavior_demotion,5,0,1,cpu_intensity_score=1.00
10,arrival,11,-1,0,type=short_flood enters Q0
11,arrival,12,-1,0,type=short_flood enters Q0
12,arrival,13,-1,0,type=short_flood enters Q0
13,arrival,14,-1,0,type=short_flood enters Q0
14,arrival,15,-1,0,type=short_flood enters Q0
15,arrival,16,-1,0,type=short_flood enters Q0
16,arrival,17,-1,0,type=short_flood enters Q0
17,behavior_demotion,9,0,1,cpu_intensity_score=1.00
17,arrival,18,-1,0,type=short_flood enters Q0
18,arrival,19,-1,0,type=short_flood enters Q0
19,arrival,20,-1,0,type=short_flood enters Q0
20,quantum_adjust,-1,-1,-1,Q0=2,Q1=4,Q2=9,Q3=17,aging_trigger=8.0,window_cs=11,avg_resp=4.73
20,arrival,21,-1,0,type=short_flood enters Q0
21,arrival,22,-1,0,type=short_flood enters Q0
21,aging_promotion,1,1,0,aging_score trigger 8.00
22,behavior_demotion,12,0,1,cpu_intensity_score=1.00
22,arrival,23,-1,0,type=short_flood enters Q0
22,aging_promotion,2,1,0,aging_score trigger 8.00
23,arrival,24,-1,0,type=short_flood enters Q0
24,behavior_demotion,13,0,1,cpu_intensity_score=1.00
24,arrival,25,-1,0,type=short_flood enters Q0
24,aging_promotion,3,1,0,aging_score trigger 8.00
25,arrival,26,-1,0,type=short_flood enters Q0
26,arrival,27,-1,0,type=short_flood enters Q0
26,aging_promotion,4,1,0,aging_score trigger 8.00
27,arrival,28,-1,0,type=short_flood enters Q0
27,aging_promotion,5,1,0,aging_score trigger 8.00
28,arrival,29,-1,0,type=short_flood enters Q0
29,arrival,30,-1,0,type=short_flood enters Q0
30,behavior_demotion,17,0,1,cpu_intensity_score=1.00
32,behavior_demotion,18,0,1,cpu_intensity_score=1.00
33,aging_promotion,9,1,0,aging_score trigger 8.00
35,behavior_demotion,20,0,1,cpu_intensity_score=1.00
37,behavior_demotion,21,0,1,cpu_intensity_score=1.00
37,aging_promotion,12,1,0,aging_score trigger 8.00
38,aging_promotion,13,1,0,aging_score trigger 8.00
39,behavior_demotion,22,0,1,cpu_intensity_score=1.00
40,quantum_adjust,-1,-1,-1,Q0=1,Q1=3,Q2=10,Q3=18,aging_trigger=8.0,window_cs=12,avg_resp=12.55
41,behavior_demotion,1,0,1,cpu_intensity_score=1.00
42,behavior_demotion,23,0,1,cpu_intensity_score=1.00
42,aging_promotion,17,1,0,aging_score trigger 8.00
42,aging_promotion,1,1,0,aging_score trigger 8.00
42,aging_promotion,23,1,0,aging_score trigger 8.00
43,behavior_demotion,2,0,1,cpu_intensity_score=1.00
43,aging_promotion,18,1,0,aging_score trigger 8.00
43,aging_promotion,2,1,0,aging_score trigger 8.00
44,behavior_demotion,24,0,1,cpu_intensity_score=1.00
44,aging_promotion,24,1,0,aging_score trigger 8.00
45,behavior_demotion,25,0,1,cpu_intensity_score=1.00
45,aging_promotion,20,1,0,aging_score trigger 8.00
45,aging_promotion,22,1,0,aging_score trigger 8.00
45,aging_promotion,25,1,0,aging_score trigger 8.00
46,behavior_demotion,3,0,1,cpu_intensity_score=1.00
46,aging_promotion,21,1,0,aging_score trigger 8.00
46,aging_promotion,3,1,0,aging_score trigger 8.00
48,behavior_demotion,27,0,1,cpu_intensity_score=1.00
48,aging_promotion,27,1,0,aging_score trigger 8.00
49,behavior_demotion,4,0,1,cpu_intensity_score=1.00
49,aging_promotion,4,1,0,aging_score trigger 8.00
