pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,2,64,451,449,385,46,2,11,18,20
2,1,56,362,361,305,6,2,9,14,20
3,2,66,415,413,347,48,3,10,16,20
4,1,65,372,371,306,43,2,9,14,20
5,2,66,360,358,292,50,2,9,13,20
6,0,72,447,447,375,0,3,11,17,20
7,4,2,6,2,0,0,0,0,0,1
8,5,1,7,2,1,1,0,0,0,2
9,8,3,23,15,12,0,1,1,0,13
10,10,3,32,22,19,0,0,1,1,20
11,11,3,37,26,23,1,0,1,1,19
12,12,2,16,4,2,2,0,0,0,3
13,15,1,17,2,1,1,0,0,0,2
14,16,4,43,27,23,1,0,1,1,19
15,19,4,48,29,25,0,0,1,1,20
16,21,1,22,1,0,0,0,0,0,1
17,23,4,70,47,43,0,0,2,2,20
18,24,4,69,45,41,1,0,2,2,19
19,27,2,29,2,0,0,0,0,0,1
20,29,2,31,2,0,0,0,0,0,1
21,32,2,34,2,0,0,0,0,0,1
22,32,4,80,48,44,2,0,2,2,19
23,34,2,39,5,3,3,0,0,0,4
24,37,4,85,48,44,2,0,2,2,19
25,39,1,44,5,4,4,0,0,0,5
26,41,3,71,30,27,13,0,1,1,14
27,42,4,91,49,45,14,0,2,2,18
28,44,3,90,46,43,16,0,2,2,18
29,47,2,74,27,25,17,0,1,1,18
30,49,1,66,17,16,16,0,0,0,17
