pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,38,4,107,69,65,21,0,2,2,24
2,18,7,141,123,116,1,0,5,5,26
3,21,1,24,3,2,2,0,0,0,3
4,7,9,104,97,88,0,0,3,3,23
5,21,8,153,132,124,3,1,6,5,23
6,38,9,166,128,119,23,1,6,5,24
7,39,1,64,25,24,24,0,0,0,25
8,33,1,44,11,10,10,0,0,0,11
9,32,3,77,45,42,7,0,1,1,20
10,22,4,92,70,66,4,0,2,2,24
11,26,9,162,136,127,7,1,6,5,23
12,34,1,49,15,14,14,0,0,0,15
13,18,2,23,5,3,3,0,0,0,4
14,8,5,55,47,42,1,0,1,1,20
15,32,6,137,105,99,9,0,4,4,22
16,44,5,142,98,93,21,0,4,4,23
17,45,9,168,123,114,22,2,6,4,23
18,30,4,99,69,65,7,0,2,2,23
19,23,9,160,137,128,6,1,6,5,24
20,24,5,116,92,87,7,0,3,3,24
21,34,6,139,105,99,15,0,4,4,24
22,34,6,135,101,95,17,0,4,4,22
23,33,6,138,105,99,11,0,4,4,22
24,26,10,171,145,135,9,2,7,5,23
25,22,1,29,7,6,6,0,0,0,7
26,17,4,87,70,66,0,0,2,2,25
27,37,5,123,86,81,20,0,3,3,24
28,14,9,150,136,127,0,0,6,6,22
29,48,9,170,122,113,22,2,6,4,23
30,46,6,156,110,104,23,1,5,4,24
