pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,44,1103,1103,1059,0,1,42,41,30
2,2,39,1029,1027,988,2,0,37,37,30
3,20,42,1101,1081,1039,27,0,41,41,30
4,3,50,1159,1156,1106,5,1,45,44,30
5,8,60,1204,1196,1136,18,2,48,46,30
6,20,42,1102,1082,1040,28,0,41,41,30
7,5,39,1033,1028,989,7,0,37,37,30
8,14,27,795,781,754,27,0,26,26,30
9,7,47,1138,1131,1084,17,1,44,43,30
10,15,58,1178,1163,1105,27,2,46,44,30
11,4,38,1010,1006,968,6,0,36,36,30
12,20,39,1061,1041,1002,29,0,38,38,30
13,16,57,1212,1196,1139,27,2,48,46,30
14,6,20,574,568,548,12,0,18,18,32
15,12,39,1038,1026,987,26,0,37,37,30
16,18,22,671,653,631,27,0,21,21,30
17,10,26,742,732,706,20,0,24,24,34
18,1,49,1157,1156,1107,1,1,45,44,30
19,6,32,883,877,845,14,0,30,30,33
20,5,38,1015,1010,972,9,0,36,36,31
21,5,24,688,683,659,11,0,22,22,32
22,8,26,739,731,705,20,0,24,24,31
23,10,21,606,596,575,22,0,19,19,33
24,18,39,1058,1040,1001,28,0,38,38,30
25,10,55,1209,1199,1144,24,2,49,47,32
26,2,39,1030,1028,989,4,0,37,37,30
27,11,39,1037,1026,987,25,0,37,37,31
28,16,57,1194,1178,1121,28,2,47,45,30
29,6,47,1136,1130,1083,16,1,44,43,30
30,12,57,1198,1186,1129,28,2,47,45,30
