pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,10,1,13,3,2,2,0,0,0,3
2,17,16,316,299,283,6,1,13,12,27
3,14,22,370,356,334,7,1,16,15,27
4,50,4,152,102,98,25,0,3,3,27
5,11,15,287,276,261,4,1,12,11,27
6,11,33,464,453,420,6,2,20,18,27
7,43,3,118,75,72,20,0,2,2,27
8,6,7,131,125,118,0,0,4,4,27
9,2,56,531,529,473,0,2,23,21,27
10,10,4,45,35,31,3,0,1,1,19
11,22,11,247,225,214,7,0,9,9,27
12,36,28,471,435,407,11,1,19,18,27
13,44,5,168,124,119,22,0,4,4,27
14,11,20,346,335,315,8,1,15,14,27
15,47,37,465,418,381,23,1,18,17,27
16,19,4,95,76,72,6,0,2,2,27
17,24,10,230,206,196,7,0,8,8,27
18,39,27,459,420,393,16,1,18,17,27
19,45,4,146,101,97,23,0,3,3,27
20,4,12,232,228,216,0,0,9,9,27
21,24,46,523,499,453,9,2,21,19,27
22,31,6,155,124,118,8,0,4,4,27
23,42,10,257,215,205,19,0,9,9,27
24,21,26,420,399,373,6,1,17,16,27
25,49,2,101,52,50,24,0,1,1,27
26,39,16,328,289,273,18,1,13,12,27
27,43,54,555,512,458,21,3,23,20,27
28,36,2,51,15,13,13,0,0,0,14
29,31,13,268,237,224,10,1,10,9,27
30,43,59,505,462,403,22,2,20,18,27
