pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,2,2,2,0,0,0,0,0,1
2,2,3,51,49,46,2,0,1,1,27
3,20,3,87,67,64,26,0,2,2,27
4,3,3,53,50,47,5,0,1,1,26
5,8,6,100,92,86,17,1,4,3,28
6,20,3,88,68,65,27,0,2,2,28
7,5,5,90,85,80,7,0,3,3,25
8,14,1,41,27,26,26,0,0,0,27
9,7,3,58,51,48,16,0,1,1,27
10,15,2,66,51,49,26,0,1,1,27
11,4,5,89,85,80,6,0,3,3,25
12,20,1,49,29,28,28,0,0,0,29
13,16,6,103,87,81,26,1,4,3,27
14,6,3,60,54,51,12,0,1,1,28
15,12,6,101,89,83,24,1,4,3,27
16,18,5,104,86,81,26,1,4,3,27
17,10,1,30,20,19,19,0,0,0,20
18,1,4,72,71,67,1,0,2,2,28
19,6,1,21,15,14,14,0,0,0,15
20,5,5,91,86,81,9,0,3,3,25
21,5,4,77,72,68,11,0,2,2,26
22,8,2,29,21,19,19,0,0,0,20
23,10,4,80,70,66,20,0,2,2,30
24,18,4,99,81,77,27,0,3,3,28
25,10,5,94,84,79,22,0,3,3,29
26,2,4,73,71,67,4,0,2,2,27
27,11,5,95,84,79,23,0,3,3,28
28,16,1,44,28,27,27,0,0,0,28
29,6,5,93,87,82,15,0,3,3,29
30,12,2,40,28,26,26,0,0,0,27
