pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,40,225,225,185,0,2,10,8,20
2,1,56,251,250,194,1,2,10,8,21
3,2,51,253,251,200,2,3,11,8,22
4,3,42,242,239,197,3,2,10,8,23
5,4,3,51,47,44,4,0,1,1,24
6,5,2,12,7,5,5,0,0,0,6
7,6,2,14,8,6,6,0,0,0,7
8,7,1,15,8,7,7,0,0,0,8
9,8,3,54,46,43,7,0,1,1,21
10,9,2,19,10,8,8,0,0,0,9
11,10,1,20,10,9,9,0,0,0,10
12,11,4,73,62,58,9,0,2,2,18
13,12,3,56,44,41,10,0,1,1,18
14,13,2,26,13,11,11,0,0,0,12
15,14,1,27,13,12,12,0,0,0,13
16,15,1,28,13,12,12,0,0,0,13
17,16,3,57,41,38,12,0,1,1,15
18,17,3,60,43,40,13,0,1,1,17
19,18,1,33,15,14,14,0,0,0,15
20,19,3,63,44,41,14,0,1,1,18
21,20,4,77,57,53,15,0,2,2,20
22,21,3,64,43,40,16,0,1,1,19
23,22,3,74,52,49,19,0,2,2,20
24,23,2,62,39,37,20,0,1,1,21
25,24,4,85,61,57,20,1,3,2,21
26,25,1,47,22,21,21,0,0,0,22
27,26,2,68,42,40,21,0,1,1,22
28,27,4,92,65,61,22,1,3,2,23
29,28,2,71,43,41,23,0,1,1,24
30,29,4,93,64,60,23,1,3,2,24
