pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,2,64,257,255,191,191,0,0,0,191
2,1,56,128,127,71,71,0,0,0,71
3,2,66,323,321,255,255,0,0,0,255
4,1,65,193,192,127,127,0,0,0,127
5,2,66,389,387,321,321,0,0,0,321
6,0,72,72,72,0,0,0,0,0,0
7,4,2,391,387,385,385,0,0,0,385
8,5,1,392,387,386,386,0,0,0,386
9,8,3,395,387,384,384,0,0,0,384
10,10,3,398,388,385,385,0,0,0,385
11,11,3,401,390,387,387,0,0,0,387
12,12,2,403,391,389,389,0,0,0,389
13,15,1,404,389,388,388,0,0,0,388
14,16,4,408,392,388,388,0,0,0,388
15,19,4,412,393,389,389,0,0,0,389
16,21,1,413,392,391,391,0,0,0,391
17,23,4,417,394,390,390,0,0,0,390
18,24,4,421,397,393,393,0,0,0,393
19,27,2,423,396,394,394,0,0,0,394
20,29,2,425,396,394,394,0,0,0,394
21,32,2,427,395,393,393,0,0,0,393
22,32,4,431,399,395,395,0,0,0,395
23,34,2,433,399,397,397,0,0,0,397
24,37,4,437,400,396,396,0,0,0,396
25,39,1,438,399,398,398,0,0,0,398
26,41,3,441,400,397,397,0,0,0,397
27,42,4,445,403,399,399,0,0,0,399
28,44,3,448,404,401,401,0,0,0,401
29,47,2,450,403,401,401,0,0,0,401
30,49,1,451,402,401,401,0,0,0,401
