pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,38,4,132,94,90,90,0,0,0,90
2,18,7,41,23,16,16,0,0,0,16
3,21,1,44,23,22,22,0,0,0,22
4,7,9,16,9,0,0,0,0,0,0
5,21,8,52,31,23,23,0,0,0,23
6,38,9,141,103,94,94,0,0,0,94
7,39,1,142,103,102,102,0,0,0,102
8,33,1,104,71,70,70,0,0,0,70
9,32,3,97,65,62,62,0,0,0,62
10,22,4,56,34,30,30,0,0,0,30
11,26,9,80,54,45,45,0,0,0,45
12,34,1,111,77,76,76,0,0,0,76
13,18,2,43,25,23,23,0,0,0,23
14,8,5,21,13,8,8,0,0,0,8
15,32,6,103,71,65,65,0,0,0,65
16,44,5,147,103,98,98,0,0,0,98
17,45,9,156,111,102,102,0,0,0,102
18,30,4,94,64,60,60,0,0,0,60
19,23,9,66,43,34,34,0,0,0,34
20,24,5,71,47,42,42,0,0,0,42
21,34,6,117,83,77,77,0,0,0,77
22,34,6,123,89,83,83,0,0,0,83
23,33,6,110,77,71,71,0,0,0,71
24,26,10,90,64,54,54,0,0,0,54
25,22,1,57,35,34,34,0,0,0,34
26,17,4,34,17,13,13,0,0,0,13
27,37,5,128,91,86,86,0,0,0,86
28,14,9,30,16,7,7,0,0,0,7
29,48,9,171,123,114,114,0,0,0,114
30,46,6,162,116,110,110,0,0,0,110
