pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,44,44,44,0,0,0,0,0,0
2,2,39,132,130,91,91,0,0,0,91
3,20,42,1131,1111,1069,1069,0,0,0,1069
4,3,50,221,218,168,168,0,0,0,168
5,8,60,566,558,498,498,0,0,0,498
6,20,42,1173,1153,1111,1111,0,0,0,1111
7,5,39,298,293,254,254,0,0,0,254
8,14,27,856,842,815,815,0,0,0,815
9,7,47,506,499,452,452,0,0,0,452
10,15,58,914,899,841,841,0,0,0,841
11,4,38,259,255,217,217,0,0,0,217
12,20,39,1212,1192,1153,1153,0,0,0,1153
13,16,57,971,955,898,898,0,0,0,898
14,6,20,380,374,354,354,0,0,0,354
15,12,39,772,760,721,721,0,0,0,721
16,18,22,1050,1032,1010,1010,0,0,0,1010
17,10,26,618,608,582,582,0,0,0,582
18,1,49,93,92,43,43,0,0,0,43
19,6,32,412,406,374,374,0,0,0,374
20,5,38,336,331,293,293,0,0,0,293
21,5,24,360,355,331,331,0,0,0,331
22,8,26,592,584,558,558,0,0,0,558
23,10,21,639,629,608,608,0,0,0,608
24,18,39,1089,1071,1032,1032,0,0,0,1032
25,10,55,694,684,629,629,0,0,0,629
26,2,39,171,169,130,130,0,0,0,130
27,11,39,733,722,683,683,0,0,0,683
28,16,57,1028,1012,955,955,0,0,0,955
29,6,47,459,453,406,406,0,0,0,406
30,12,57,829,817,760,760,0,0,0,760
