pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,10,1,78,68,67,67,0,0,0,67
2,17,16,188,171,155,155,0,0,0,155
3,14,22,172,158,136,136,0,0,0,136
4,50,4,555,505,501,501,0,0,0,501
5,11,15,97,86,71,71,0,0,0,71
6,11,33,130,119,86,86,0,0,0,86
7,43,3,390,347,344,344,0,0,0,344
8,6,7,77,71,64,64,0,0,0,64
9,2,56,58,56,0,0,0,0,0,0
10,10,4,82,72,68,68,0,0,0,68
11,22,11,229,207,196,196,0,0,0,196
12,36,28,332,296,268,268,0,0,0,268
13,44,5,508,464,459,459,0,0,0,459
14,11,20,150,139,119,119,0,0,0,119
15,47,37,549,502,465,465,0,0,0,465
16,19,4,192,173,169,169,0,0,0,169
17,24,10,239,215,205,205,0,0,0,205
18,39,27,361,322,295,295,0,0,0,295
19,45,4,512,467,463,463,0,0,0,463
20,4,12,70,66,54,54,0,0,0,54
21,24,46,285,261,215,215,0,0,0,215
22,31,6,291,260,254,254,0,0,0,254
23,42,10,387,345,335,335,0,0,0,335
24,21,26,218,197,171,171,0,0,0,171
25,49,2,551,502,500,500,0,0,0,500
26,39,16,377,338,322,322,0,0,0,322
27,43,54,444,401,347,347,0,0,0,347
28,36,2,334,298,296,296,0,0,0,296
29,31,13,304,273,260,260,0,0,0,260
30,43,59,503,460,401,401,0,0,0,401
