pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,2,2,2,0,0,0,0,0,0
2,2,3,9,7,4,4,0,0,0,4
3,20,3,100,80,77,77,0,0,0,77
4,3,3,16,13,10,10,0,0,0,10
5,8,6,53,45,39,39,0,0,0,39
6,20,3,103,83,80,80,0,0,0,80
7,5,5,26,21,16,16,0,0,0,16
8,14,1,79,65,64,64,0,0,0,64
9,7,3,47,40,37,37,0,0,0,37
10,15,2,81,66,64,64,0,0,0,64
11,4,5,21,17,12,12,0,0,0,12
12,20,1,104,84,83,83,0,0,0,83
13,16,6,87,71,65,65,0,0,0,65
14,6,3,38,32,29,29,0,0,0,29
15,12,6,76,64,58,58,0,0,0,58
16,18,5,93,75,70,70,0,0,0,70
17,10,1,56,46,45,45,0,0,0,45
18,1,4,6,5,1,1,0,0,0,1
19,6,1,39,33,32,32,0,0,0,32
20,5,5,31,26,21,21,0,0,0,21
21,5,4,35,30,26,26,0,0,0,26
22,8,2,55,47,45,45,0,0,0,45
23,10,4,60,50,46,46,0,0,0,46
24,18,4,97,79,75,75,0,0,0,75
25,10,5,65,55,50,50,0,0,0,50
26,2,4,13,11,7,7,0,0,0,7
27,11,5,70,59,54,54,0,0,0,54
28,16,1,88,72,71,71,0,0,0,71
29,6,5,44,38,33,33,0,0,0,33
30,12,2,78,66,64,64,0,0,0,64
