pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,40,40,40,0,0,0,0,0,0
2,1,56,96,95,39,39,0,0,0,39
3,2,51,147,145,94,94,0,0,0,94
4,3,42,189,186,144,144,0,0,0,144
5,4,3,192,188,185,185,0,0,0,185
6,5,2,194,189,187,187,0,0,0,187
7,6,2,196,190,188,188,0,0,0,188
8,7,1,197,190,189,189,0,0,0,189
9,8,3,200,192,189,189,0,0,0,189
10,9,2,202,193,191,191,0,0,0,191
11,10,1,203,193,192,192,0,0,0,192
12,11,4,207,196,192,192,0,0,0,192
13,12,3,210,198,195,195,0,0,0,195
14,13,2,212,199,197,197,0,0,0,197
15,14,1,213,199,198,198,0,0,0,198
16,15,1,214,199,198,198,0,0,0,198
17,16,3,217,201,198,198,0,0,0,198
18,17,3,220,203,200,200,0,0,0,200
19,18,1,221,203,202,202,0,0,0,202
20,19,3,224,205,202,202,0,0,0,202
21,20,4,228,208,204,204,0,0,0,204
22,21,3,231,210,207,207,0,0,0,207
23,22,3,234,212,209,209,0,0,0,209
24,23,2,236,213,211,211,0,0,0,211
25,24,4,240,216,212,212,0,0,0,212
26,25,1,241,216,215,215,0,0,0,215
27,26,2,243,217,215,215,0,0,0,215
28,27,4,247,220,216,216,0,0,0,216
29,28,2,249,221,219,219,0,0,0,219
30,29,4,253,224,220,220,0,0,0,220
