pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,2,64,437,435,371,4,2,17,15,22
2,1,56,396,395,339,1,1,15,14,24
3,2,66,443,441,375,6,2,17,15,21
4,1,65,433,432,367,3,2,17,15,24
5,2,66,447,445,379,8,2,16,14,21
6,0,72,451,451,379,0,3,18,15,24
7,4,2,14,10,8,8,0,0,0,9
8,5,1,15,10,9,9,0,0,0,10
9,8,3,58,50,47,7,0,1,1,21
10,10,3,60,50,47,7,0,1,1,21
11,11,3,63,52,49,8,0,1,1,22
12,12,2,23,11,9,9,0,0,0,10
13,15,1,24,9,8,8,0,0,0,9
14,16,4,69,53,49,8,0,1,1,22
15,19,4,73,54,50,7,0,1,1,24
16,21,1,29,8,7,7,0,0,0,8
17,23,4,78,55,51,8,0,1,1,24
18,24,4,80,56,52,9,0,1,1,24
19,27,2,41,14,12,12,0,0,0,13
20,29,2,45,16,14,14,0,0,0,15
21,32,2,49,17,15,15,0,0,0,16
22,32,4,90,58,54,17,0,1,1,21
23,34,2,55,21,19,19,0,0,0,20
24,37,4,94,57,53,18,0,1,1,21
25,39,1,59,20,19,19,0,0,0,20
26,41,3,95,54,51,19,0,1,1,21
27,42,4,97,55,51,21,0,1,1,22
28,44,3,98,54,51,21,0,1,1,22
29,47,2,71,24,22,22,0,0,0,23
30,49,1,74,25,24,24,0,0,0,25
