pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,38,4,106,68,64,19,0,1,1,26
2,18,7,142,124,117,1,0,3,3,24
3,21,1,24,3,2,2,0,0,0,3
4,7,9,126,119,110,0,0,3,3,29
5,21,8,149,128,120,3,0,3,3,27
6,38,9,161,123,114,21,1,3,2,26
7,39,1,62,23,22,22,0,0,0,23
8,33,1,46,13,12,12,0,0,0,13
9,32,3,92,60,57,9,0,1,1,29
10,22,4,78,56,52,4,0,1,1,29
11,26,9,169,143,134,7,1,4,3,28
12,34,1,49,15,14,14,0,0,0,15
13,18,2,23,5,3,3,0,0,0,4
14,8,5,91,83,78,1,0,2,2,30
15,32,6,130,98,92,11,0,2,2,28
16,44,5,143,99,94,22,0,2,2,23
17,45,9,164,119,110,23,1,3,2,24
18,30,4,90,60,56,7,0,1,1,30
19,23,9,168,145,136,6,1,4,3,28
20,24,5,123,99,94,7,0,2,2,28
21,34,6,134,100,94,15,0,2,2,26
22,34,6,136,102,96,17,0,2,2,26
23,33,6,132,99,93,13,0,2,2,27
24,26,10,171,145,135,9,1,4,3,30
25,22,1,29,7,6,6,0,0,0,7
26,17,4,64,47,43,0,0,1,1,24
27,37,5,137,100,95,16,0,2,2,26
28,14,9,158,144,135,1,1,4,3,26
29,48,9,167,119,110,26,1,3,2,27
30,46,6,147,101,95,24,0,2,2,25
