pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,44,1095,1095,1051,0,0,21,21,39
2,2,39,1039,1037,998,2,0,19,19,39
3,20,42,1091,1071,1029,34,0,20,20,39
4,3,50,1141,1138,1088,5,1,23,22,39
5,8,60,1212,1204,1144,18,2,26,24,39
6,20,42,1093,1073,1031,36,0,20,20,39
7,5,39,1043,1038,999,7,0,19,19,39
8,14,27,796,782,755,28,0,13,13,39
9,7,47,1143,1136,1089,17,1,23,22,39
10,15,58,1208,1193,1135,29,2,26,24,39
11,4,38,1002,998,960,6,0,18,18,39
12,20,39,1067,1047,1008,38,0,19,19,39
13,16,57,1209,1193,1136,30,2,26,24,39
14,6,20,560,554,534,12,0,9,9,39
15,12,39,1053,1041,1002,26,0,19,19,39
16,18,22,649,631,609,32,0,10,10,39
17,10,26,739,729,703,20,0,12,12,39
18,1,49,1160,1159,1110,1,1,23,22,39
19,6,32,874,868,836,14,0,15,15,39
20,5,38,1006,1001,963,9,0,18,18,39
21,5,24,675,670,646,11,0,11,11,39
22,8,26,737,729,703,20,0,12,12,39
23,10,21,631,621,600,22,0,10,10,39
24,18,39,1062,1044,1005,34,0,19,19,39
25,10,55,1205,1195,1140,24,1,25,24,39
26,2,39,1040,1038,999,4,0,19,19,39
27,11,39,1052,1041,1002,25,0,19,19,39
28,16,57,1210,1194,1137,32,2,26,24,39
29,6,47,1142,1136,1089,16,1,23,22,39
30,12,57,1206,1194,1137,28,2,26,24,39
