pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,10,1,13,3,2,2,0,0,0,3
2,17,16,307,290,274,6,0,7,7,32
3,14,22,375,361,339,7,0,10,10,32
4,50,4,134,84,80,33,0,1,1,34
5,11,15,291,280,265,4,0,7,7,33
6,11,33,459,448,415,6,1,14,13,33
7,43,3,116,73,70,18,0,1,1,33
8,6,7,145,139,132,0,0,3,3,37
9,2,56,542,540,484,0,2,18,16,35
10,10,4,45,35,31,3,0,1,1,21
11,22,11,253,231,220,7,0,5,5,35
12,36,28,427,391,363,9,1,12,11,35
13,44,5,170,126,121,25,0,2,2,32
14,11,20,347,336,316,8,0,9,9,33
15,47,37,508,461,424,28,2,13,11,32
16,19,4,79,60,56,6,0,1,1,31
17,24,10,220,196,186,7,0,4,4,37
18,39,27,430,391,364,12,1,12,11,33
19,45,4,126,81,77,26,0,1,1,32
20,4,12,224,220,208,0,0,5,5,37
21,24,46,522,498,452,9,2,16,14,37
22,31,6,147,116,110,8,0,2,2,37
23,42,10,240,198,188,17,0,4,4,33
24,21,26,401,380,354,6,1,11,10,33
25,49,2,81,32,30,30,0,0,0,31
26,39,16,321,282,266,14,0,7,7,33
27,43,54,546,503,449,20,3,15,12,32
28,36,2,49,13,11,11,0,0,0,12
29,31,13,288,257,244,10,0,6,6,37
30,43,59,555,512,453,22,3,16,13,32
