pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,2,2,2,0,0,0,0,0,1
2,2,3,58,56,53,2,0,1,1,32
3,20,3,90,70,67,30,0,1,1,31
4,3,3,61,58,55,5,0,1,1,31
5,8,6,97,89,83,17,0,2,2,27
6,20,3,91,71,68,32,0,1,1,33
7,5,5,93,88,83,7,0,2,2,30
8,14,1,41,27,26,26,0,0,0,27
9,7,3,73,66,63,16,0,1,1,28
10,15,2,43,28,26,26,0,0,0,27
11,4,5,92,88,83,6,0,2,2,30
12,20,1,55,35,34,34,0,0,0,35
13,16,6,103,87,81,27,1,2,1,28
14,6,3,70,64,61,12,0,1,1,30
15,12,6,101,89,83,24,1,2,1,25
16,18,5,104,86,81,28,1,2,1,29
17,10,1,30,20,19,19,0,0,0,20
18,1,4,57,56,52,1,0,1,1,32
19,6,1,21,15,14,14,0,0,0,15
20,5,5,94,89,84,9,0,2,2,30
21,5,4,69,64,60,11,0,1,1,30
22,8,2,29,21,19,19,0,0,0,20
23,10,4,77,67,63,20,0,1,1,24
24,18,4,89,71,67,30,0,1,1,31
25,10,5,98,88,83,22,1,2,1,24
26,2,4,60,58,54,4,0,1,1,31
27,11,5,99,88,83,23,1,2,1,24
28,16,1,46,30,29,29,0,0,0,30
29,6,5,95,89,84,15,0,2,2,28
30,12,2,40,28,26,26,0,0,0,27
