pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,40,214,214,174,0,2,7,5,21
2,1,56,248,247,191,1,3,8,5,24
3,2,51,253,251,200,2,3,9,6,27
4,3,42,234,231,189,3,2,8,6,31
5,4,3,63,59,56,4,0,1,1,33
6,5,2,12,7,5,5,0,0,0,6
7,6,2,14,8,6,6,0,0,0,7
8,7,1,15,8,7,7,0,0,0,8
9,8,3,64,56,53,7,0,1,1,27
10,9,2,19,10,8,8,0,0,0,9
11,10,1,20,10,9,9,0,0,0,10
12,11,4,66,55,51,9,0,1,1,23
13,12,3,67,55,52,10,0,1,1,23
14,13,2,26,13,11,11,0,0,0,12
15,14,1,27,13,12,12,0,0,0,13
16,15,1,28,13,12,12,0,0,0,13
17,16,3,68,52,49,12,0,1,1,21
18,17,3,69,52,49,13,0,1,1,21
19,18,1,33,15,14,14,0,0,0,15
20,19,3,70,51,48,14,0,1,1,21
21,20,4,72,52,48,15,0,1,1,21
22,21,3,73,52,49,16,0,1,1,21
23,22,3,74,52,49,17,0,1,1,21
24,23,2,45,22,20,20,0,0,0,21
25,24,4,78,54,50,21,0,1,1,22
26,25,1,50,25,24,24,0,0,0,25
27,26,2,52,26,24,24,0,0,0,25
28,27,4,84,57,53,27,0,1,1,28
29,28,2,58,30,28,28,0,0,0,29
30,29,4,88,59,55,31,0,1,1,32
