pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,2,64,430,428,364,10,0,0,0,67
2,1,56,382,381,325,3,0,0,0,61
3,2,66,445,443,377,14,0,0,0,59
4,1,65,443,442,377,7,0,0,0,69
5,2,66,447,445,379,18,0,0,0,54
6,0,72,451,451,379,0,0,0,0,54
7,4,2,30,26,24,24,0,0,0,24
8,5,1,31,26,25,25,0,0,0,25
9,8,3,38,30,27,27,0,0,0,27
10,10,3,41,31,28,28,0,0,0,28
11,11,3,44,33,30,30,0,0,0,30
12,12,2,50,38,36,36,0,0,0,36
13,15,1,51,36,35,35,0,0,0,35
14,16,4,59,43,39,39,0,0,0,39
15,19,4,63,44,40,40,0,0,0,40
16,21,1,68,47,46,46,0,0,0,46
17,23,4,72,49,45,45,0,0,0,45
18,24,4,80,56,52,52,0,0,0,52
19,27,2,82,55,53,53,0,0,0,53
20,29,2,88,59,57,57,0,0,0,57
21,32,2,90,58,56,56,0,0,0,56
22,32,4,94,62,58,58,0,0,0,58
23,34,2,96,62,60,60,0,0,0,60
24,37,4,104,67,63,63,0,0,0,63
25,39,1,105,66,65,65,0,0,0,65
26,41,3,108,67,64,64,0,0,0,64
27,42,4,112,70,66,66,0,0,0,66
28,44,3,115,71,68,68,0,0,0,68
29,47,2,117,70,68,68,0,0,0,68
30,49,1,122,73,72,72,0,0,0,72
