pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,38,4,101,63,59,59,0,0,0,59
2,18,7,72,54,47,10,0,0,0,37
3,21,1,36,15,14,14,0,0,0,14
4,7,9,35,28,19,0,0,0,0,15
5,21,8,110,89,81,15,0,0,0,66
6,38,9,169,131,122,63,0,0,0,63
7,39,1,106,67,66,66,0,0,0,66
8,33,1,80,47,46,46,0,0,0,46
9,32,3,75,43,40,40,0,0,0,40
10,22,4,44,22,18,18,0,0,0,18
11,26,9,166,140,131,31,0,0,0,71
12,34,1,85,51,50,50,0,0,0,50
13,18,2,34,16,14,14,0,0,0,14
14,8,5,24,16,11,3,0,0,0,8
15,32,6,142,110,104,43,0,0,0,61
16,44,5,154,110,105,66,0,0,0,66
17,45,9,170,125,116,69,0,0,0,69
18,30,4,69,39,35,35,0,0,0,35
19,23,9,165,142,133,26,0,0,0,74
20,24,5,132,108,103,29,0,0,0,74
21,34,6,146,112,106,51,0,0,0,55
22,34,6,148,114,108,55,0,0,0,55
23,33,6,144,111,105,47,0,0,0,58
24,26,10,168,142,132,35,0,0,0,71
25,22,1,45,23,22,22,0,0,0,22
26,17,4,28,11,7,7,0,0,0,7
27,37,5,149,112,107,56,0,0,0,56
28,14,9,127,113,104,5,0,0,0,77
29,48,9,171,123,114,74,0,0,0,74
30,46,6,160,114,108,72,0,0,0,72
