pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,44,1012,1012,968,0,0,0,0,116
2,2,39,965,963,924,6,0,0,0,116
3,20,42,1121,1101,1059,108,0,0,0,116
4,3,50,1156,1153,1103,13,0,0,0,116
5,8,60,1207,1199,1139,52,0,0,0,116
6,20,42,1123,1103,1061,112,0,0,0,116
7,5,39,1017,1012,973,23,0,0,0,116
8,14,27,794,780,753,82,0,0,0,116
9,7,47,1129,1122,1075,45,0,0,0,116
10,15,58,1210,1195,1137,85,0,0,0,116
11,4,38,1014,1010,972,20,0,0,0,116
12,20,39,1079,1059,1020,116,0,0,0,116
13,16,57,1211,1195,1138,92,0,0,0,116
14,6,20,524,518,498,34,0,0,0,116
15,12,39,1045,1033,994,76,0,0,0,116
16,18,22,711,693,671,98,0,0,0,116
17,10,26,771,761,735,58,0,0,0,116
18,1,49,1130,1129,1080,3,0,0,0,116
19,6,32,850,844,812,38,0,0,0,116
20,5,38,1019,1014,976,27,0,0,0,116
21,5,24,640,635,611,31,0,0,0,116
22,8,26,769,761,735,56,0,0,0,116
23,10,21,669,659,638,62,0,0,0,116
24,18,39,1064,1046,1007,102,0,0,0,116
25,10,55,1187,1177,1122,66,0,0,0,116
26,2,39,980,978,939,10,0,0,0,116
27,11,39,1042,1031,992,69,0,0,0,116
28,16,57,1212,1196,1139,96,0,0,0,116
29,6,47,1126,1120,1073,42,0,0,0,116
30,12,57,1208,1196,1139,80,0,0,0,116
