pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,2,2,2,0,0,0,0,0,0
2,2,3,9,7,4,4,0,0,0,4
3,20,3,88,68,65,65,0,0,0,65
4,3,3,16,13,10,10,0,0,0,10
5,8,6,97,89,83,35,0,0,0,48
6,20,3,91,71,68,68,0,0,0,68
7,5,5,93,88,83,15,0,0,0,68
8,14,1,69,55,54,54,0,0,0,54
9,7,3,43,36,33,33,0,0,0,33
10,15,2,71,56,54,54,0,0,0,54
11,4,5,85,81,76,12,0,0,0,64
12,20,1,92,72,71,71,0,0,0,71
13,16,6,103,87,81,55,0,0,0,55
14,6,3,35,29,26,26,0,0,0,26
15,12,6,101,89,83,50,0,0,0,50
16,18,5,104,86,81,58,0,0,0,58
17,10,1,50,40,39,39,0,0,0,39
18,1,4,6,5,1,1,0,0,0,1
19,6,1,36,30,29,29,0,0,0,29
20,5,5,94,89,84,19,0,0,0,65
21,5,4,32,27,23,23,0,0,0,23
22,8,2,49,41,39,39,0,0,0,39
23,10,4,54,44,40,40,0,0,0,40
24,18,4,84,66,62,62,0,0,0,62
25,10,5,98,88,83,44,0,0,0,44
26,2,4,13,11,7,7,0,0,0,7
27,11,5,99,88,83,47,0,0,0,47
28,16,1,76,60,59,59,0,0,0,59
29,6,5,95,89,84,30,0,0,0,54
30,12,2,68,56,54,54,0,0,0,54
