pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,40,212,212,172,0,0,0,0,47
2,1,56,253,252,196,3,0,0,0,68
3,2,51,249,247,196,6,0,0,0,58
4,3,42,234,231,189,9,0,0,0,51
5,4,3,23,19,16,16,0,0,0,16
6,5,2,25,20,18,18,0,0,0,18
7,6,2,27,21,19,19,0,0,0,19
8,7,1,28,21,20,20,0,0,0,20
9,8,3,35,27,24,24,0,0,0,24
10,9,2,37,28,26,26,0,0,0,26
11,10,1,38,28,27,27,0,0,0,27
12,11,4,42,31,27,27,0,0,0,27
13,12,3,49,37,34,34,0,0,0,34
14,13,2,51,38,36,36,0,0,0,36
15,14,1,52,38,37,37,0,0,0,37
16,15,1,53,38,37,37,0,0,0,37
17,16,3,60,44,41,41,0,0,0,41
18,17,3,63,46,43,43,0,0,0,43
19,18,1,64,46,45,45,0,0,0,45
20,19,3,67,48,45,45,0,0,0,45
21,20,4,75,55,51,51,0,0,0,51
22,21,3,78,57,54,54,0,0,0,54
23,22,3,81,59,56,56,0,0,0,56
24,23,2,83,60,58,58,0,0,0,58
25,24,4,87,63,59,59,0,0,0,59
26,25,1,88,63,62,62,0,0,0,62
27,26,2,90,64,62,62,0,0,0,62
28,27,4,94,67,63,63,0,0,0,63
29,28,2,96,68,66,66,0,0,0,66
30,29,4,100,71,67,67,0,0,0,67
