pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,2,64,254,252,188,188,0,0,0,188
2,1,56,190,189,133,133,0,0,0,133
3,2,66,385,383,317,317,0,0,0,317
4,1,65,319,318,253,253,0,0,0,253
5,2,66,451,449,383,383,0,0,0,383
6,0,72,72,72,0,0,0,0,0,0
7,4,2,79,75,73,73,0,0,0,73
8,5,1,73,68,67,67,0,0,0,67
9,8,3,94,86,83,83,0,0,0,83
10,10,3,97,87,84,84,0,0,0,84
11,11,3,100,89,86,86,0,0,0,86
12,12,2,81,69,67,67,0,0,0,67
13,15,1,74,59,58,58,0,0,0,58
14,16,4,110,94,90,90,0,0,0,90
15,19,4,114,95,91,91,0,0,0,91
16,21,1,75,54,53,53,0,0,0,53
17,23,4,118,95,91,91,0,0,0,91
18,24,4,122,98,94,94,0,0,0,94
19,27,2,83,56,54,54,0,0,0,54
20,29,2,85,56,54,54,0,0,0,54
21,32,2,87,55,53,53,0,0,0,53
22,32,4,126,94,90,90,0,0,0,90
23,34,2,89,55,53,53,0,0,0,53
24,37,4,130,93,89,89,0,0,0,89
25,39,1,76,37,36,36,0,0,0,36
26,41,3,103,62,59,59,0,0,0,59
27,42,4,134,92,88,88,0,0,0,88
28,44,3,106,62,59,59,0,0,0,59
29,47,2,91,44,42,42,0,0,0,42
30,49,1,77,28,27,27,0,0,0,27
