pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,38,4,47,9,5,5,0,0,0,5
2,18,7,99,81,74,74,0,0,0,74
3,21,1,22,1,0,0,0,0,0,0
4,7,9,16,9,0,0,0,0,0,0
5,21,8,107,86,78,78,0,0,0,78
6,38,9,143,105,96,96,0,0,0,96
7,39,1,43,4,3,3,0,0,0,3
8,33,1,34,1,0,0,0,0,0,0
9,32,3,38,6,3,3,0,0,0,3
10,22,4,33,11,7,7,0,0,0,7
11,26,9,134,108,99,99,0,0,0,99
12,34,1,35,1,0,0,0,0,0,0
13,18,2,25,7,5,5,0,0,0,5
14,8,5,21,13,8,8,0,0,0,8
15,32,6,68,36,30,30,0,0,0,30
16,44,5,62,18,13,13,0,0,0,13
17,45,9,152,107,98,98,0,0,0,98
18,30,4,42,12,8,8,0,0,0,8
19,23,9,125,102,93,93,0,0,0,93
20,24,5,52,28,23,23,0,0,0,23
21,34,6,80,46,40,40,0,0,0,40
22,34,6,86,52,46,46,0,0,0,46
23,33,6,74,41,35,35,0,0,0,35
24,26,10,171,145,135,135,0,0,0,135
25,22,1,23,1,0,0,0,0,0,0
26,17,4,29,12,8,8,0,0,0,8
27,37,5,57,20,15,15,0,0,0,15
28,14,9,116,102,93,93,0,0,0,93
29,48,9,161,113,104,104,0,0,0,104
30,46,6,92,46,40,40,0,0,0,40
