pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,44,44,44,0,0,0,0,0,0
2,2,39,357,355,316,316,0,0,0,316
3,20,42,633,613,571,571,0,0,0,571
4,3,50,868,865,815,815,0,0,0,815
5,8,60,1212,1204,1144,1144,0,0,0,1144
6,20,42,675,655,613,613,0,0,0,613
7,5,39,435,430,391,391,0,0,0,391
8,14,27,210,196,169,169,0,0,0,169
9,7,47,769,762,715,715,0,0,0,715
10,15,58,1152,1137,1079,1079,0,0,0,1079
11,4,38,280,276,238,238,0,0,0,238
12,20,39,591,571,532,532,0,0,0,532
13,16,57,1037,1021,964,964,0,0,0,964
14,6,20,64,58,38,38,0,0,0,38
15,12,39,513,501,462,462,0,0,0,462
16,18,22,107,89,67,67,0,0,0,67
17,10,26,183,173,147,147,0,0,0,147
18,1,49,818,817,768,768,0,0,0,768
19,6,32,242,236,204,204,0,0,0,204
20,5,38,318,313,275,275,0,0,0,275
21,5,24,131,126,102,102,0,0,0,102
22,8,26,157,149,123,123,0,0,0,123
23,10,21,85,75,54,54,0,0,0,54
24,18,39,552,534,495,495,0,0,0,495
25,10,55,923,913,858,858,0,0,0,858
26,2,39,396,394,355,355,0,0,0,355
27,11,39,474,463,424,424,0,0,0,424
28,16,57,1094,1078,1021,1021,0,0,0,1021
29,6,47,722,716,669,669,0,0,0,669
30,12,57,980,968,911,911,0,0,0,911
