pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,10,1,59,49,48,48,0,0,0,48
2,17,16,187,170,154,154,0,0,0,154
3,14,22,245,231,209,209,0,0,0,209
4,50,4,82,32,28,28,0,0,0,28
5,11,15,171,160,145,145,0,0,0,145
6,11,33,359,348,315,315,0,0,0,315
7,43,3,66,23,20,20,0,0,0,20
8,6,7,100,94,87,87,0,0,0,87
9,2,56,58,56,0,0,0,0,0,0
10,10,4,70,60,56,56,0,0,0,56
11,22,11,131,109,98,98,0,0,0,98
12,36,28,326,290,262,262,0,0,0,262
13,44,5,87,43,38,38,0,0,0,38
14,11,20,223,212,192,192,0,0,0,192
15,47,37,396,349,312,312,0,0,0,312
16,19,4,74,55,51,51,0,0,0,51
17,24,10,110,86,76,76,0,0,0,76
18,39,27,298,259,232,232,0,0,0,232
19,45,4,78,33,29,29,0,0,0,29
20,4,12,143,139,127,127,0,0,0,127
21,24,46,442,418,372,372,0,0,0,372
22,31,6,93,62,56,56,0,0,0,56
23,42,10,120,78,68,68,0,0,0,68
24,21,26,271,250,224,224,0,0,0,224
25,49,2,63,14,12,12,0,0,0,12
26,39,16,203,164,148,148,0,0,0,148
27,43,54,496,453,399,399,0,0,0,399
28,36,2,61,25,23,23,0,0,0,23
29,31,13,156,125,112,112,0,0,0,112
30,43,59,555,512,453,453,0,0,0,453
