pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,2,2,2,0,0,0,0,0,0
2,2,3,5,3,0,0,0,0,0,0
3,20,3,28,8,5,5,0,0,0,5
4,3,3,8,5,2,2,0,0,0,2
5,8,6,92,84,78,78,0,0,0,78
6,20,3,31,11,8,8,0,0,0,8
7,5,5,61,56,51,51,0,0,0,51
8,14,1,15,1,0,0,0,0,0,0
9,7,3,25,18,15,15,0,0,0,15
10,15,2,17,2,0,0,0,0,0,0
11,4,5,56,52,47,47,0,0,0,47
12,20,1,22,2,1,1,0,0,0,1
13,16,6,104,88,82,82,0,0,0,82
14,6,3,21,15,12,12,0,0,0,12
15,12,6,98,86,80,80,0,0,0,80
16,18,5,86,68,63,63,0,0,0,63
17,10,1,12,2,1,1,0,0,0,1
18,1,4,35,34,30,30,0,0,0,30
19,6,1,9,3,2,2,0,0,0,2
20,5,5,66,61,56,56,0,0,0,56
21,5,4,43,38,34,34,0,0,0,34
22,8,2,11,3,1,1,0,0,0,1
23,10,4,47,37,33,33,0,0,0,33
24,18,4,51,33,29,29,0,0,0,29
25,10,5,76,66,61,61,0,0,0,61
26,2,4,39,37,33,33,0,0,0,33
27,11,5,81,70,65,65,0,0,0,65
28,16,1,18,2,1,1,0,0,0,1
29,6,5,71,65,60,60,0,0,0,60
30,12,2,14,2,0,0,0,0,0,0
