pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,0,40,40,40,0,0,0,0,0,0
2,1,56,253,252,196,196,0,0,0,196
3,2,51,197,195,144,144,0,0,0,144
4,3,42,146,143,101,101,0,0,0,101
5,4,3,63,59,56,56,0,0,0,56
6,5,2,48,43,41,41,0,0,0,41
7,6,2,50,44,42,42,0,0,0,42
8,7,1,41,34,33,33,0,0,0,33
9,8,3,66,58,55,55,0,0,0,55
10,9,2,52,43,41,41,0,0,0,41
11,10,1,42,32,31,31,0,0,0,31
12,11,4,88,77,73,73,0,0,0,73
13,12,3,69,57,54,54,0,0,0,54
14,13,2,54,41,39,39,0,0,0,39
15,14,1,43,29,28,28,0,0,0,28
16,15,1,44,29,28,28,0,0,0,28
17,16,3,72,56,53,53,0,0,0,53
18,17,3,75,58,55,55,0,0,0,55
19,18,1,45,27,26,26,0,0,0,26
20,19,3,78,59,56,56,0,0,0,56
21,20,4,92,72,68,68,0,0,0,68
22,21,3,81,60,57,57,0,0,0,57
23,22,3,84,62,59,59,0,0,0,59
24,23,2,56,33,31,31,0,0,0,31
25,24,4,96,72,68,68,0,0,0,68
26,25,1,46,21,20,20,0,0,0,20
27,26,2,58,32,30,30,0,0,0,30
28,27,4,100,73,69,69,0,0,0,69
29,28,2,60,32,30,30,0,0,0,30
30,29,4,104,75,71,71,0,0,0,71
