scenario,algorithm,average_turnaround_time,average_weighted_turnaround_time,average_waiting_time,average_response_time,max_waiting_time,waiting_time_variance,context_switch_count,cpu_utilization,throughput,starvation_count,starvation_rate,fairness_index
short_jobs,fcfs,46.066667,20.248333,42.600000,42.600000,83,644.240000,30,1.000000,0.288462,20,0.666667,0.001550
short_jobs,sjf,31.800000,6.995000,28.333333,28.333333,82,804.355556,30,1.000000,0.288462,14,0.466667,0.001242
short_jobs,rr,55.433333,20.446111,51.966667,36.766667,84,811.498889,40,1.000000,0.288462,22,0.733333,0.001231
short_jobs,mlfq,59.600000,18.040000,56.133333,17.800000,84,643.248889,61,1.000000,0.288462,14,0.466667,0.001552
short_jobs,ab_mlfq,59.666667,17.943889,56.200000,17.033333,86,628.093333,84,1.000000,0.288462,1,0.033333,0.001590
long_jobs,fcfs,608.266667,16.472475,567.866667,567.866667,1153,114376.715556,30,1.000000,0.024752,29,0.966667,0.000009
long_jobs,sjf,524.400000,11.608523,484.000000,484.000000,1144,115207.733333,30,1.000000,0.024752,29,0.966667,0.000009
long_jobs,rr,989.833333,25.303864,949.433333,56.733333,1139,32056.245556,314,1.000000,0.024752,30,1.000000,0.000031
long_jobs,mlfq,995.000000,25.377850,954.600000,19.333333,1144,33820.440000,599,1.000000,0.024752,30,1.000000,0.000030
long_jobs,ab_mlfq,993.666667,25.374279,953.266667,17.833333,1144,32549.395556,1134,1.000000,0.024752,30,1.000000,0.000031
mixed,fcfs,261.300000,41.877768,242.866667,242.866667,501,21216.582222,30,0.996396,0.054054,29,0.966667,0.000047
mixed,sjf,163.300000,11.012496,144.866667,144.866667,453,15372.382222,30,0.996396,0.054054,24,0.800000,0.000065
mixed,rr,250.700000,17.834065,232.266667,50.233333,462,22654.395556,147,0.996396,0.054054,28,0.933333,0.000044
mixed,mlfq,251.233333,15.763674,232.800000,11.800000,484,22652.226667,233,0.996396,0.054054,27,0.900000,0.000044
mixed,ab_mlfq,254.166667,16.675306,235.733333,11.533333,473,21546.862222,346,0.996396,0.054054,0,0.000000,0.000046
interactive,fcfs,62.500000,19.448135,57.033333,57.033333,114,1148.565556,30,0.959064,0.175439,22,0.733333,0.000870
interactive,sjf,44.100000,6.191085,38.633333,38.633333,135,1680.565556,30,0.959064,0.175439,14,0.466667,0.000595
interactive,rr,79.700000,18.131124,74.233333,37.366667,133,1812.512222,57,0.959064,0.175439,23,0.766667,0.000551
interactive,mlfq,84.900000,15.011032,79.433333,10.700000,136,1795.845556,87,0.959064,0.175439,3,0.100000,0.000557
interactive,ab_mlfq,83.900000,14.883492,78.433333,10.500000,135,1748.312222,130,0.959064,0.175439,0,0.000000,0.000572
starvation_case,fcfs,192.033333,90.776716,183.600000,183.600000,220,2504.840000,30,1.000000,0.118577,29,0.966667,0.000399
starvation_case,sjf,63.600000,18.910387,55.166667,55.166667,196,1377.005556,30,1.000000,0.118577,25,0.833333,0.000726
starvation_case,rr,69.966667,19.590882,61.533333,37.033333,196,2712.248889,74,1.000000,0.118577,22,0.733333,0.000369
starvation_case,mlfq,61.633333,12.481076,53.200000,12.733333,200,3152.093333,75,1.000000,0.118577,3,0.100000,0.000317
starvation_case,ab_mlfq,62.566667,12.665044,54.133333,11.966667,200,3321.448889,96,1.000000,0.118577,0,0.000000,0.000301
behavior_sensitive,fcfs,361.233333,157.475556,346.200000,346.200000,401,10963.426667,30,1.000000,0.066519,29,0.966667,0.000091
behavior_sensitive,sjf,112.200000,25.690918,97.166667,97.166667,383,6742.138889,30,1.000000,0.066519,28,0.933333,0.000148
behavior_sensitive,rr,127.633333,21.569761,112.600000,40.966667,379,16421.173333,123,1.000000,0.066519,26,0.866667,0.000061
behavior_sensitive,mlfq,114.400000,11.745047,99.366667,11.266667,379,18406.165556,142,1.000000,0.066519,0,0.000000,0.000054
behavior_sensitive,ab_mlfq,96.733333,6.854774,81.700000,9.566667,385,16534.743333,111,1.000000,0.066519,0,0.000000,0.000060
