time,pid,algorithm,queue
0,6,ab_mlfq,2
1,6,ab_mlfq,2
2,6,ab_mlfq,2
3,6,ab_mlfq,2
4,7,ab_mlfq,0
5,7,ab_mlfq,0
6,8,ab_mlfq,0
7,2,ab_mlfq,2
8,9,ab_mlfq,0
9,9,ab_mlfq,0
10,10,ab_mlfq,0
11,10,ab_mlfq,0
12,11,ab_mlfq,0
13,11,ab_mlfq,0
14,12,ab_mlfq,0
15,12,ab_mlfq,0
16,13,ab_mlfq,0
17,14,ab_mlfq,0
18,14,ab_mlfq,0
19,15,ab_mlfq,0
20,15,ab_mlfq,0
21,16,ab_mlfq,0
22,9,ab_mlfq,1
23,17,ab_mlfq,0
24,17,ab_mlfq,0
25,18,ab_mlfq,0
26,18,ab_mlfq,0
27,19,ab_mlfq,0
28,19,ab_mlfq,0
29,20,ab_mlfq,0
30,20,ab_mlfq,0
31,10,ab_mlfq,0
32,21,ab_mlfq,0
33,21,ab_mlfq,0
34,22,ab_mlfq,0
35,22,ab_mlfq,0
36,11,ab_mlfq,0
37,23,ab_mlfq,0
38,23,ab_mlfq,0
39,24,ab_mlfq,0
40,24,ab_mlfq,0
41,14,ab_mlfq,0
42,14,ab_mlfq,0
43,25,ab_mlfq,0
44,4,ab_mlfq,0
45,4,ab_mlfq,0
46,15,ab_mlfq,0
47,15,ab_mlfq,0
48,1,ab_mlfq,0
49,1,ab_mlfq,0
50,3,ab_mlfq,0
51,3,ab_mlfq,0
52,5,ab_mlfq,0
53,5,ab_mlfq,0
54,26,ab_mlfq,0
55,26,ab_mlfq,0
56,27,ab_mlfq,0
57,27,ab_mlfq,0
58,6,ab_mlfq,0
59,6,ab_mlfq,0
60,28,ab_mlfq,0
61,17,ab_mlfq,0
62,2,ab_mlfq,0
63,18,ab_mlfq,0
64,29,ab_mlfq,0
65,30,ab_mlfq,0
66,22,ab_mlfq,0
67,24,ab_mlfq,0
68,18,ab_mlfq,0
69,17,ab_mlfq,0
70,26,ab_mlfq,0
71,28,ab_mlfq,0
72,27,ab_mlfq,0
73,29,ab_mlfq,0
74,4,ab_mlfq,1
75,4,ab_mlfq,1
76,4,ab_mlfq,1
77,1,ab_mlfq,1
78,1,ab_mlfq,1
79,22,ab_mlfq,0
80,3,ab_mlfq,1
81,3,ab_mlfq,1
82,5,ab_mlfq,1
83,5,ab_mlfq,1
84,24,ab_mlfq,0
85,2,ab_mlfq,1
86,2,ab_mlfq,1
87,6,ab_mlfq,1
88,6,ab_mlfq,1
89,28,ab_mlfq,0
90,27,ab_mlfq,0
91,1,ab_mlfq,1
92,1,ab_mlfq,1
93,2,ab_mlfq,2
94,2,ab_mlfq,2
95,2,ab_mlfq,2
96,2,ab_mlfq,2
97,2,ab_mlfq,2
98,2,ab_mlfq,2
99,2,ab_mlfq,2
100,2,ab_mlfq,2
101,2,ab_mlfq,2
102,2,ab_mlfq,2
103,2,ab_mlfq,2
104,4,ab_mlfq,2
105,4,ab_mlfq,2
106,4,ab_mlfq,2
107,4,ab_mlfq,2
108,4,ab_mlfq,2
109,4,ab_mlfq,2
110,4,ab_mlfq,2
111,4,ab_mlfq,2
112,4,ab_mlfq,2
113,4,ab_mlfq,2
114,4,ab_mlfq,2
115,5,ab_mlfq,1
116,5,ab_mlfq,1
117,6,ab_mlfq,1
118,6,ab_mlfq,1
119,3,ab_mlfq,1
120,3,ab_mlfq,1
121,1,ab_mlfq,1
122,1,ab_mlfq,1
123,2,ab_mlfq,2
124,2,ab_mlfq,2
125,2,ab_mlfq,2
126,2,ab_mlfq,2
127,2,ab_mlfq,2
128,2,ab_mlfq,2
129,2,ab_mlfq,2
130,2,ab_mlfq,2
131,2,ab_mlfq,2
132,2,ab_mlfq,2
133,2,ab_mlfq,2
134,4,ab_mlfq,2
135,4,ab_mlfq,2
136,4,ab_mlfq,2
137,4,ab_mlfq,2
138,4,ab_mlfq,2
139,4,ab_mlfq,2
140,4,ab_mlfq,2
141,4,ab_mlfq,2
142,4,ab_mlfq,2
143,4,ab_mlfq,2
144,4,ab_mlfq,2
145,5,ab_mlfq,2
146,5,ab_mlfq,2
147,5,ab_mlfq,2
148,5,ab_mlfq,2
149,5,ab_mlfq,2
150,5,ab_mlfq,2
151,5,ab_mlfq,2
152,5,ab_mlfq,2
153,5,ab_mlfq,2
154,5,ab_mlfq,2
155,5,ab_mlfq,2
156,6,ab_mlfq,1
157,6,ab_mlfq,1
158,3,ab_mlfq,1
159,3,ab_mlfq,1
160,1,ab_mlfq,1
161,1,ab_mlfq,1
162,2,ab_mlfq,2
163,2,ab_mlfq,2
164,2,ab_mlfq,2
165,2,ab_mlfq,2
166,2,ab_mlfq,2
167,2,ab_mlfq,2
168,2,ab_mlfq,2
169,2,ab_mlfq,2
170,2,ab_mlfq,2
171,2,ab_mlfq,2
172,2,ab_mlfq,2
173,4,ab_mlfq,2
174,4,ab_mlfq,2
175,4,ab_mlfq,2
176,4,ab_mlfq,2
177,4,ab_mlfq,2
178,4,ab_mlfq,2
179,4,ab_mlfq,2
180,4,ab_mlfq,2
181,4,ab_mlfq,2
182,4,ab_mlfq,2
183,4,ab_mlfq,2
184,5,ab_mlfq,2
185,5,ab_mlfq,2
186,5,ab_mlfq,2
187,5,ab_mlfq,2
188,5,ab_mlfq,2
189,5,ab_mlfq,2
190,5,ab_mlfq,2
191,5,ab_mlfq,2
192,5,ab_mlfq,2
193,5,ab_mlfq,2
194,5,ab_mlfq,2
195,6,ab_mlfq,1
196,6,ab_mlfq,1
197,3,ab_mlfq,1
198,3,ab_mlfq,1
199,1,ab_mlfq,1
200,1,ab_mlfq,1
201,2,ab_mlfq,2
202,2,ab_mlfq,2
203,2,ab_mlfq,2
204,2,ab_mlfq,2
205,2,ab_mlfq,2
206,2,ab_mlfq,2
207,2,ab_mlfq,2
208,2,ab_mlfq,2
209,2,ab_mlfq,2
210,2,ab_mlfq,2
211,2,ab_mlfq,2
212,4,ab_mlfq,2
213,4,ab_mlfq,2
214,4,ab_mlfq,2
215,4,ab_mlfq,2
216,4,ab_mlfq,2
217,4,ab_mlfq,2
218,4,ab_mlfq,2
219,4,ab_mlfq,2
220,4,ab_mlfq,2
221,4,ab_mlfq,2
222,4,ab_mlfq,2
223,5,ab_mlfq,1
224,5,ab_mlfq,1
225,6,ab_mlfq,2
226,6,ab_mlfq,2
227,6,ab_mlfq,2
228,6,ab_mlfq,2
229,6,ab_mlfq,2
230,6,ab_mlfq,2
231,6,ab_mlfq,2
232,6,ab_mlfq,2
233,6,ab_mlfq,2
234,6,ab_mlfq,2
235,6,ab_mlfq,2
236,3,ab_mlfq,2
237,3,ab_mlfq,2
238,3,ab_mlfq,2
239,3,ab_mlfq,2
240,3,ab_mlfq,2
241,3,ab_mlfq,2
242,3,ab_mlfq,2
243,3,ab_mlfq,2
244,3,ab_mlfq,2
245,3,ab_mlfq,2
246,3,ab_mlfq,2
247,1,ab_mlfq,1
248,1,ab_mlfq,1
249,2,ab_mlfq,1
250,2,ab_mlfq,1
251,4,ab_mlfq,1
252,4,ab_mlfq,1
253,5,ab_mlfq,2
254,5,ab_mlfq,2
255,5,ab_mlfq,2
256,5,ab_mlfq,2
257,5,ab_mlfq,2
258,5,ab_mlfq,2
259,5,ab_mlfq,2
260,5,ab_mlfq,2
261,5,ab_mlfq,2
262,5,ab_mlfq,2
263,5,ab_mlfq,2
264,3,ab_mlfq,2
265,3,ab_mlfq,2
266,3,ab_mlfq,2
267,3,ab_mlfq,2
268,3,ab_mlfq,2
269,3,ab_mlfq,2
270,3,ab_mlfq,2
271,3,ab_mlfq,2
272,3,ab_mlfq,2
273,3,ab_mlfq,2
274,3,ab_mlfq,2
275,6,ab_mlfq,1
276,6,ab_mlfq,1
277,1,ab_mlfq,2
278,1,ab_mlfq,2
279,1,ab_mlfq,2
280,1,ab_mlfq,2
281,1,ab_mlfq,2
282,1,ab_mlfq,2
283,1,ab_mlfq,2
284,1,ab_mlfq,2
285,1,ab_mlfq,2
286,1,ab_mlfq,2
287,1,ab_mlfq,2
288,2,ab_mlfq,1
289,2,ab_mlfq,1
290,4,ab_mlfq,1
291,4,ab_mlfq,1
292,5,ab_mlfq,2
293,5,ab_mlfq,2
294,5,ab_mlfq,2
295,5,ab_mlfq,2
296,5,ab_mlfq,2
297,5,ab_mlfq,2
298,5,ab_mlfq,2
299,5,ab_mlfq,2
300,5,ab_mlfq,2
301,5,ab_mlfq,2
302,5,ab_mlfq,2
303,3,ab_mlfq,1
304,3,ab_mlfq,1
305,6,ab_mlfq,2
306,6,ab_mlfq,2
307,6,ab_mlfq,2
308,6,ab_mlfq,2
309,6,ab_mlfq,2
310,6,ab_mlfq,2
311,6,ab_mlfq,2
312,6,ab_mlfq,2
313,6,ab_mlfq,2
314,6,ab_mlfq,2
315,6,ab_mlfq,2
316,1,ab_mlfq,2
317,1,ab_mlfq,2
318,1,ab_mlfq,2
319,1,ab_mlfq,2
320,1,ab_mlfq,2
321,1,ab_mlfq,2
322,1,ab_mlfq,2
323,1,ab_mlfq,2
324,1,ab_mlfq,2
325,1,ab_mlfq,2
326,1,ab_mlfq,2
327,2,ab_mlfq,1
328,2,ab_mlfq,1
329,4,ab_mlfq,1
330,4,ab_mlfq,1
331,5,ab_mlfq,2
332,5,ab_mlfq,2
333,5,ab_mlfq,2
334,5,ab_mlfq,2
335,5,ab_mlfq,2
336,5,ab_mlfq,2
337,5,ab_mlfq,2
338,5,ab_mlfq,2
339,5,ab_mlfq,2
340,5,ab_mlfq,2
341,5,ab_mlfq,2
342,3,ab_mlfq,1
343,3,ab_mlfq,1
344,6,ab_mlfq,2
345,6,ab_mlfq,2
346,6,ab_mlfq,2
347,6,ab_mlfq,2
348,6,ab_mlfq,2
349,6,ab_mlfq,2
350,6,ab_mlfq,2
351,6,ab_mlfq,2
352,6,ab_mlfq,2
353,6,ab_mlfq,2
354,6,ab_mlfq,2
355,1,ab_mlfq,1
356,1,ab_mlfq,1
357,5,ab_mlfq,2
358,5,ab_mlfq,2
359,5,ab_mlfq,2
360,2,ab_mlfq,2
361,2,ab_mlfq,2
362,4,ab_mlfq,2
363,4,ab_mlfq,2
364,4,ab_mlfq,2
365,4,ab_mlfq,2
366,4,ab_mlfq,2
367,4,ab_mlfq,2
368,4,ab_mlfq,2
369,4,ab_mlfq,2
370,4,ab_mlfq,2
371,4,ab_mlfq,2
372,3,ab_mlfq,2
373,3,ab_mlfq,2
374,3,ab_mlfq,2
375,3,ab_mlfq,2
376,3,ab_mlfq,2
377,3,ab_mlfq,2
378,3,ab_mlfq,2
379,3,ab_mlfq,2
380,3,ab_mlfq,2
381,3,ab_mlfq,2
382,3,ab_mlfq,2
383,6,ab_mlfq,1
384,6,ab_mlfq,1
385,1,ab_mlfq,2
386,1,ab_mlfq,2
387,1,ab_mlfq,2
388,1,ab_mlfq,2
389,1,ab_mlfq,2
390,1,ab_mlfq,2
391,1,ab_mlfq,2
392,1,ab_mlfq,2
393,1,ab_mlfq,2
394,1,ab_mlfq,2
395,1,ab_mlfq,2
396,3,ab_mlfq,3
397,3,ab_mlfq,3
398,3,ab_mlfq,3
399,3,ab_mlfq,3
400,3,ab_mlfq,3
401,3,ab_mlfq,3
402,3,ab_mlfq,3
403,3,ab_mlfq,3
404,3,ab_mlfq,3
405,3,ab_mlfq,3
406,3,ab_mlfq,3
407,3,ab_mlfq,3
408,3,ab_mlfq,3
409,3,ab_mlfq,3
410,3,ab_mlfq,3
411,3,ab_mlfq,3
412,3,ab_mlfq,3
413,3,ab_mlfq,3
414,3,ab_mlfq,3
415,6,ab_mlfq,2
416,6,ab_mlfq,2
417,6,ab_mlfq,2
418,6,ab_mlfq,2
419,6,ab_mlfq,2
420,6,ab_mlfq,2
421,6,ab_mlfq,2
422,6,ab_mlfq,2
423,6,ab_mlfq,2
424,6,ab_mlfq,2
425,6,ab_mlfq,2
426,1,ab_mlfq,2
427,1,ab_mlfq,2
428,1,ab_mlfq,2
429,1,ab_mlfq,2
430,1,ab_mlfq,2
431,1,ab_mlfq,2
432,1,ab_mlfq,2
433,1,ab_mlfq,2
434,1,ab_mlfq,2
435,1,ab_mlfq,2
436,1,ab_mlfq,2
437,6,ab_mlfq,3
438,6,ab_mlfq,3
439,6,ab_mlfq,3
440,6,ab_mlfq,3
441,6,ab_mlfq,3
442,6,ab_mlfq,3
443,6,ab_mlfq,3
444,6,ab_mlfq,3
445,6,ab_mlfq,3
446,6,ab_mlfq,3
447,1,ab_mlfq,2
448,1,ab_mlfq,2
449,1,ab_mlfq,2
450,1,ab_mlfq,2
