time,pid,algorithm,queue
0,-1,ab_mlfq,-1
1,-1,ab_mlfq,-1
2,-1,ab_mlfq,-1
3,-1,ab_mlfq,-1
4,-1,ab_mlfq,-1
5,-1,ab_mlfq,-1
6,-1,ab_mlfq,-1
7,4,ab_mlfq,0
8,4,ab_mlfq,0
9,14,ab_mlfq,0
10,14,ab_mlfq,0
11,4,ab_mlfq,1
12,4,ab_mlfq,1
13,4,ab_mlfq,1
14,28,ab_mlfq,0
15,28,ab_mlfq,0
16,14,ab_mlfq,1
17,26,ab_mlfq,0
18,26,ab_mlfq,0
19,2,ab_mlfq,0
20,2,ab_mlfq,0
21,13,ab_mlfq,0
22,13,ab_mlfq,0
23,3,ab_mlfq,0
24,5,ab_mlfq,0
25,5,ab_mlfq,0
26,10,ab_mlfq,0
27,10,ab_mlfq,0
28,25,ab_mlfq,0
29,19,ab_mlfq,0
30,19,ab_mlfq,0
31,20,ab_mlfq,0
32,20,ab_mlfq,0
33,11,ab_mlfq,0
34,11,ab_mlfq,0
35,24,ab_mlfq,0
36,24,ab_mlfq,0
37,18,ab_mlfq,0
38,18,ab_mlfq,0
39,9,ab_mlfq,0
40,9,ab_mlfq,0
41,15,ab_mlfq,0
42,15,ab_mlfq,0
43,8,ab_mlfq,0
44,23,ab_mlfq,0
45,23,ab_mlfq,0
46,4,ab_mlfq,0
47,4,ab_mlfq,0
48,12,ab_mlfq,0
49,21,ab_mlfq,0
50,21,ab_mlfq,0
51,22,ab_mlfq,0
52,22,ab_mlfq,0
53,14,ab_mlfq,0
54,14,ab_mlfq,0
55,28,ab_mlfq,0
56,28,ab_mlfq,0
57,27,ab_mlfq,0
58,27,ab_mlfq,0
59,1,ab_mlfq,0
60,1,ab_mlfq,0
61,6,ab_mlfq,0
62,26,ab_mlfq,0
63,7,ab_mlfq,0
64,2,ab_mlfq,0
65,16,ab_mlfq,0
66,5,ab_mlfq,0
67,17,ab_mlfq,0
68,10,ab_mlfq,0
69,30,ab_mlfq,0
70,29,ab_mlfq,0
71,19,ab_mlfq,0
72,20,ab_mlfq,0
73,11,ab_mlfq,0
74,24,ab_mlfq,0
75,18,ab_mlfq,0
76,9,ab_mlfq,0
77,22,ab_mlfq,0
78,28,ab_mlfq,0
79,15,ab_mlfq,0
80,23,ab_mlfq,0
81,4,ab_mlfq,0
82,27,ab_mlfq,0
83,21,ab_mlfq,0
84,1,ab_mlfq,0
85,6,ab_mlfq,0
86,26,ab_mlfq,0
87,2,ab_mlfq,0
88,16,ab_mlfq,0
89,5,ab_mlfq,0
90,17,ab_mlfq,0
91,10,ab_mlfq,0
92,30,ab_mlfq,0
93,29,ab_mlfq,0
94,19,ab_mlfq,0
95,20,ab_mlfq,0
96,11,ab_mlfq,0
97,24,ab_mlfq,0
98,18,ab_mlfq,0
99,22,ab_mlfq,0
100,28,ab_mlfq,0
101,15,ab_mlfq,0
102,23,ab_mlfq,0
103,4,ab_mlfq,0
104,27,ab_mlfq,0
105,21,ab_mlfq,0
106,1,ab_mlfq,0
107,6,ab_mlfq,0
108,2,ab_mlfq,0
109,16,ab_mlfq,0
110,5,ab_mlfq,0
111,17,ab_mlfq,0
112,30,ab_mlfq,0
113,29,ab_mlfq,0
114,19,ab_mlfq,0
115,20,ab_mlfq,0
116,11,ab_mlfq,0
117,24,ab_mlfq,0
118,22,ab_mlfq,0
119,28,ab_mlfq,0
120,15,ab_mlfq,0
121,23,ab_mlfq,0
122,27,ab_mlfq,0
123,21,ab_mlfq,0
124,6,ab_mlfq,0
125,2,ab_mlfq,0
126,16,ab_mlfq,0
127,5,ab_mlfq,0
128,17,ab_mlfq,0
129,30,ab_mlfq,0
130,29,ab_mlfq,0
131,19,ab_mlfq,0
132,11,ab_mlfq,0
133,24,ab_mlfq,0
134,22,ab_mlfq,0
135,28,ab_mlfq,0
136,15,ab_mlfq,0
137,23,ab_mlfq,0
138,21,ab_mlfq,0
139,6,ab_mlfq,0
140,2,ab_mlfq,0
141,16,ab_mlfq,0
142,5,ab_mlfq,0
143,17,ab_mlfq,0
144,30,ab_mlfq,0
145,29,ab_mlfq,0
146,19,ab_mlfq,0
147,11,ab_mlfq,0
148,24,ab_mlfq,0
149,28,ab_mlfq,0
150,6,ab_mlfq,1
151,6,ab_mlfq,1
152,5,ab_mlfq,1
153,17,ab_mlfq,1
154,17,ab_mlfq,1
155,30,ab_mlfq,1
156,29,ab_mlfq,1
157,29,ab_mlfq,1
158,19,ab_mlfq,1
159,19,ab_mlfq,1
160,11,ab_mlfq,1
161,11,ab_mlfq,1
162,24,ab_mlfq,1
163,24,ab_mlfq,1
164,6,ab_mlfq,1
165,6,ab_mlfq,1
166,17,ab_mlfq,2
167,17,ab_mlfq,2
168,29,ab_mlfq,2
169,29,ab_mlfq,2
170,24,ab_mlfq,2
