time,pid,algorithm,queue
0,-1,ab_mlfq,-1
1,-1,ab_mlfq,-1
2,9,ab_mlfq,0
3,9,ab_mlfq,0
4,20,ab_mlfq,0
5,20,ab_mlfq,0
6,8,ab_mlfq,0
7,8,ab_mlfq,0
8,9,ab_mlfq,1
9,9,ab_mlfq,1
10,9,ab_mlfq,1
11,9,ab_mlfq,1
12,1,ab_mlfq,0
13,10,ab_mlfq,0
14,10,ab_mlfq,0
15,5,ab_mlfq,0
16,5,ab_mlfq,0
17,6,ab_mlfq,0
18,6,ab_mlfq,0
19,14,ab_mlfq,0
20,14,ab_mlfq,0
21,3,ab_mlfq,0
22,3,ab_mlfq,0
23,2,ab_mlfq,0
24,2,ab_mlfq,0
25,16,ab_mlfq,0
26,16,ab_mlfq,0
27,24,ab_mlfq,0
28,24,ab_mlfq,0
29,11,ab_mlfq,0
30,11,ab_mlfq,0
31,17,ab_mlfq,0
32,17,ab_mlfq,0
33,21,ab_mlfq,0
34,21,ab_mlfq,0
35,20,ab_mlfq,0
36,20,ab_mlfq,0
37,8,ab_mlfq,0
38,8,ab_mlfq,0
39,22,ab_mlfq,0
40,22,ab_mlfq,0
41,29,ab_mlfq,0
42,29,ab_mlfq,0
43,10,ab_mlfq,0
44,10,ab_mlfq,0
45,5,ab_mlfq,0
46,5,ab_mlfq,0
47,12,ab_mlfq,0
48,12,ab_mlfq,0
49,28,ab_mlfq,0
50,28,ab_mlfq,0
51,6,ab_mlfq,0
52,6,ab_mlfq,0
53,14,ab_mlfq,0
54,14,ab_mlfq,0
55,18,ab_mlfq,0
56,18,ab_mlfq,0
57,26,ab_mlfq,0
58,26,ab_mlfq,0
59,3,ab_mlfq,0
60,3,ab_mlfq,0
61,23,ab_mlfq,0
62,2,ab_mlfq,0
63,7,ab_mlfq,0
64,27,ab_mlfq,0
65,30,ab_mlfq,0
66,13,ab_mlfq,0
67,16,ab_mlfq,0
68,19,ab_mlfq,0
69,24,ab_mlfq,0
70,15,ab_mlfq,0
71,11,ab_mlfq,0
72,9,ab_mlfq,0
73,25,ab_mlfq,0
74,17,ab_mlfq,0
75,4,ab_mlfq,0
76,21,ab_mlfq,0
77,20,ab_mlfq,0
78,8,ab_mlfq,0
79,22,ab_mlfq,0
80,29,ab_mlfq,0
81,5,ab_mlfq,0
82,26,ab_mlfq,0
83,14,ab_mlfq,0
84,3,ab_mlfq,0
85,12,ab_mlfq,0
86,6,ab_mlfq,0
87,23,ab_mlfq,0
88,18,ab_mlfq,0
89,2,ab_mlfq,0
90,7,ab_mlfq,0
91,27,ab_mlfq,0
92,30,ab_mlfq,0
93,13,ab_mlfq,0
94,16,ab_mlfq,0
95,19,ab_mlfq,0
96,24,ab_mlfq,0
97,15,ab_mlfq,0
98,11,ab_mlfq,0
99,9,ab_mlfq,0
100,25,ab_mlfq,0
101,17,ab_mlfq,0
102,4,ab_mlfq,0
103,21,ab_mlfq,0
104,20,ab_mlfq,0
105,8,ab_mlfq,0
106,22,ab_mlfq,0
107,29,ab_mlfq,0
108,5,ab_mlfq,0
109,26,ab_mlfq,0
110,14,ab_mlfq,0
111,3,ab_mlfq,0
112,12,ab_mlfq,0
113,6,ab_mlfq,0
114,23,ab_mlfq,0
115,18,ab_mlfq,0
116,2,ab_mlfq,0
117,7,ab_mlfq,0
118,27,ab_mlfq,0
119,30,ab_mlfq,0
120,13,ab_mlfq,0
121,19,ab_mlfq,0
122,24,ab_mlfq,0
123,15,ab_mlfq,0
124,11,ab_mlfq,0
125,9,ab_mlfq,0
126,17,ab_mlfq,0
127,4,ab_mlfq,0
128,21,ab_mlfq,0
129,20,ab_mlfq,0
130,8,ab_mlfq,0
131,22,ab_mlfq,0
132,29,ab_mlfq,0
133,5,ab_mlfq,0
134,26,ab_mlfq,0
135,14,ab_mlfq,0
136,3,ab_mlfq,0
137,12,ab_mlfq,0
138,6,ab_mlfq,0
139,23,ab_mlfq,0
140,18,ab_mlfq,0
141,2,ab_mlfq,0
142,27,ab_mlfq,0
143,30,ab_mlfq,0
144,13,ab_mlfq,0
145,19,ab_mlfq,0
146,24,ab_mlfq,0
147,15,ab_mlfq,0
148,11,ab_mlfq,0
149,9,ab_mlfq,0
150,17,ab_mlfq,0
151,4,ab_mlfq,0
152,21,ab_mlfq,0
153,20,ab_mlfq,0
154,22,ab_mlfq,0
155,29,ab_mlfq,0
156,5,ab_mlfq,0
157,26,ab_mlfq,0
158,14,ab_mlfq,0
159,3,ab_mlfq,0
160,12,ab_mlfq,0
161,6,ab_mlfq,0
162,23,ab_mlfq,0
163,18,ab_mlfq,0
164,2,ab_mlfq,0
165,27,ab_mlfq,0
166,30,ab_mlfq,0
167,13,ab_mlfq,0
168,24,ab_mlfq,0
169,15,ab_mlfq,0
170,11,ab_mlfq,0
171,9,ab_mlfq,0
172,17,ab_mlfq,0
173,21,ab_mlfq,0
174,20,ab_mlfq,0
175,29,ab_mlfq,0
176,5,ab_mlfq,0
177,26,ab_mlfq,0
178,14,ab_mlfq,0
179,3,ab_mlfq,0
180,12,ab_mlfq,0
181,6,ab_mlfq,0
182,23,ab_mlfq,0
183,18,ab_mlfq,0
184,2,ab_mlfq,0
185,27,ab_mlfq,0
186,30,ab_mlfq,0
187,24,ab_mlfq,0
188,15,ab_mlfq,0
189,11,ab_mlfq,0
190,9,ab_mlfq,0
191,17,ab_mlfq,0
192,21,ab_mlfq,0
193,20,ab_mlfq,0
194,29,ab_mlfq,0
195,5,ab_mlfq,0
196,26,ab_mlfq,0
197,14,ab_mlfq,0
198,3,ab_mlfq,0
199,12,ab_mlfq,0
200,6,ab_mlfq,0
201,23,ab_mlfq,0
202,18,ab_mlfq,0
203,2,ab_mlfq,0
204,27,ab_mlfq,0
205,30,ab_mlfq,0
206,24,ab_mlfq,0
207,15,ab_mlfq,0
208,11,ab_mlfq,0
209,9,ab_mlfq,0
210,17,ab_mlfq,0
211,21,ab_mlfq,0
212,20,ab_mlfq,0
213,29,ab_mlfq,0
214,5,ab_mlfq,0
215,26,ab_mlfq,0
216,14,ab_mlfq,0
217,3,ab_mlfq,0
218,12,ab_mlfq,0
219,6,ab_mlfq,0
220,23,ab_mlfq,0
221,18,ab_mlfq,0
222,2,ab_mlfq,0
223,27,ab_mlfq,0
224,30,ab_mlfq,0
225,24,ab_mlfq,0
226,15,ab_mlfq,0
227,11,ab_mlfq,0
228,9,ab_mlfq,0
229,17,ab_mlfq,0
230,21,ab_mlfq,0
231,20,ab_mlfq,0
232,29,ab_mlfq,0
233,5,ab_mlfq,0
234,26,ab_mlfq,0
235,14,ab_mlfq,0
236,3,ab_mlfq,0
237,12,ab_mlfq,0
238,6,ab_mlfq,0
239,23,ab_mlfq,0
240,18,ab_mlfq,0
241,2,ab_mlfq,0
242,27,ab_mlfq,0
243,30,ab_mlfq,0
244,24,ab_mlfq,0
245,15,ab_mlfq,0
246,11,ab_mlfq,0
247,9,ab_mlfq,0
248,21,ab_mlfq,0
249,29,ab_mlfq,0
250,5,ab_mlfq,0
251,26,ab_mlfq,0
252,14,ab_mlfq,0
253,3,ab_mlfq,0
254,12,ab_mlfq,0
255,6,ab_mlfq,0
256,23,ab_mlfq,0
257,18,ab_mlfq,0
258,2,ab_mlfq,0
259,27,ab_mlfq,0
260,30,ab_mlfq,0
261,24,ab_mlfq,0
262,15,ab_mlfq,0
263,9,ab_mlfq,1
264,9,ab_mlfq,1
265,21,ab_mlfq,0
266,29,ab_mlfq,1
267,29,ab_mlfq,1
268,5,ab_mlfq,0
269,26,ab_mlfq,0
270,14,ab_mlfq,0
271,3,ab_mlfq,0
272,12,ab_mlfq,0
273,6,ab_mlfq,0
274,18,ab_mlfq,1
275,18,ab_mlfq,1
276,2,ab_mlfq,0
277,27,ab_mlfq,0
278,30,ab_mlfq,0
279,24,ab_mlfq,1
280,24,ab_mlfq,1
281,15,ab_mlfq,1
282,15,ab_mlfq,1
283,21,ab_mlfq,1
284,21,ab_mlfq,1
285,9,ab_mlfq,0
286,5,ab_mlfq,1
287,26,ab_mlfq,1
288,26,ab_mlfq,1
289,14,ab_mlfq,1
290,14,ab_mlfq,1
291,3,ab_mlfq,0
292,12,ab_mlfq,0
293,6,ab_mlfq,0
294,18,ab_mlfq,1
295,18,ab_mlfq,1
296,2,ab_mlfq,0
297,27,ab_mlfq,0
298,30,ab_mlfq,0
299,15,ab_mlfq,1
300,15,ab_mlfq,1
301,24,ab_mlfq,1
302,24,ab_mlfq,1
303,9,ab_mlfq,1
304,9,ab_mlfq,1
305,21,ab_mlfq,1
306,21,ab_mlfq,1
307,14,ab_mlfq,1
308,14,ab_mlfq,1
309,3,ab_mlfq,1
310,3,ab_mlfq,1
311,26,ab_mlfq,0
312,12,ab_mlfq,0
313,6,ab_mlfq,0
314,2,ab_mlfq,1
315,2,ab_mlfq,1
316,18,ab_mlfq,0
317,27,ab_mlfq,0
318,30,ab_mlfq,0
319,15,ab_mlfq,1
320,15,ab_mlfq,1
321,24,ab_mlfq,1
322,24,ab_mlfq,1
323,9,ab_mlfq,1
324,9,ab_mlfq,1
325,21,ab_mlfq,1
326,21,ab_mlfq,1
327,26,ab_mlfq,1
328,12,ab_mlfq,1
329,12,ab_mlfq,1
330,6,ab_mlfq,1
331,6,ab_mlfq,1
332,3,ab_mlfq,1
333,3,ab_mlfq,1
334,14,ab_mlfq,0
335,18,ab_mlfq,1
336,18,ab_mlfq,1
337,27,ab_mlfq,0
338,30,ab_mlfq,0
339,15,ab_mlfq,1
340,15,ab_mlfq,1
341,24,ab_mlfq,1
342,24,ab_mlfq,1
343,9,ab_mlfq,1
344,9,ab_mlfq,1
345,14,ab_mlfq,1
346,3,ab_mlfq,1
347,3,ab_mlfq,1
348,21,ab_mlfq,1
349,21,ab_mlfq,1
350,18,ab_mlfq,1
351,18,ab_mlfq,1
352,27,ab_mlfq,1
353,27,ab_mlfq,1
354,12,ab_mlfq,1
355,12,ab_mlfq,1
356,6,ab_mlfq,1
357,6,ab_mlfq,1
358,30,ab_mlfq,0
359,15,ab_mlfq,1
360,15,ab_mlfq,1
361,30,ab_mlfq,1
362,30,ab_mlfq,1
363,24,ab_mlfq,1
364,24,ab_mlfq,1
365,6,ab_mlfq,1
366,6,ab_mlfq,1
367,9,ab_mlfq,1
368,9,ab_mlfq,1
369,3,ab_mlfq,1
370,12,ab_mlfq,1
371,12,ab_mlfq,1
372,21,ab_mlfq,1
373,21,ab_mlfq,1
374,18,ab_mlfq,1
375,18,ab_mlfq,1
376,27,ab_mlfq,1
377,27,ab_mlfq,1
378,15,ab_mlfq,2
379,15,ab_mlfq,2
380,15,ab_mlfq,2
381,15,ab_mlfq,2
382,15,ab_mlfq,2
383,15,ab_mlfq,2
384,15,ab_mlfq,2
385,15,ab_mlfq,2
386,15,ab_mlfq,2
387,15,ab_mlfq,2
388,15,ab_mlfq,2
389,15,ab_mlfq,2
390,30,ab_mlfq,1
391,30,ab_mlfq,1
392,24,ab_mlfq,1
393,24,ab_mlfq,1
394,6,ab_mlfq,1
395,6,ab_mlfq,1
396,9,ab_mlfq,1
397,9,ab_mlfq,1
398,12,ab_mlfq,1
399,12,ab_mlfq,1
400,21,ab_mlfq,1
401,21,ab_mlfq,1
402,18,ab_mlfq,1
403,18,ab_mlfq,1
404,27,ab_mlfq,1
405,27,ab_mlfq,1
406,30,ab_mlfq,2
407,30,ab_mlfq,2
408,30,ab_mlfq,2
409,30,ab_mlfq,2
410,30,ab_mlfq,2
411,30,ab_mlfq,2
412,30,ab_mlfq,2
413,30,ab_mlfq,2
414,30,ab_mlfq,2
415,30,ab_mlfq,2
416,30,ab_mlfq,2
417,30,ab_mlfq,2
418,24,ab_mlfq,1
419,24,ab_mlfq,1
420,6,ab_mlfq,1
421,6,ab_mlfq,1
422,15,ab_mlfq,1
423,15,ab_mlfq,1
424,9,ab_mlfq,1
425,9,ab_mlfq,1
426,12,ab_mlfq,1
427,12,ab_mlfq,1
428,21,ab_mlfq,1
429,21,ab_mlfq,1
430,18,ab_mlfq,1
431,18,ab_mlfq,1
432,27,ab_mlfq,1
433,27,ab_mlfq,1
434,30,ab_mlfq,2
435,30,ab_mlfq,2
436,30,ab_mlfq,2
437,30,ab_mlfq,2
438,30,ab_mlfq,2
439,30,ab_mlfq,2
440,30,ab_mlfq,2
441,30,ab_mlfq,2
442,30,ab_mlfq,2
443,30,ab_mlfq,2
444,30,ab_mlfq,2
445,30,ab_mlfq,2
446,6,ab_mlfq,1
447,6,ab_mlfq,1
448,15,ab_mlfq,1
449,15,ab_mlfq,1
450,9,ab_mlfq,1
451,9,ab_mlfq,1
452,27,ab_mlfq,1
453,27,ab_mlfq,1
454,12,ab_mlfq,1
455,12,ab_mlfq,1
456,21,ab_mlfq,1
457,21,ab_mlfq,1
458,18,ab_mlfq,1
459,6,ab_mlfq,2
460,6,ab_mlfq,2
461,6,ab_mlfq,2
462,6,ab_mlfq,2
463,6,ab_mlfq,2
464,15,ab_mlfq,1
465,9,ab_mlfq,1
466,9,ab_mlfq,1
467,27,ab_mlfq,1
468,27,ab_mlfq,1
469,12,ab_mlfq,1
470,12,ab_mlfq,1
