time,pid,algorithm,queue
0,1,ab_mlfq,0
1,1,ab_mlfq,0
2,18,ab_mlfq,0
3,18,ab_mlfq,0
4,2,ab_mlfq,0
5,2,ab_mlfq,0
6,26,ab_mlfq,0
7,26,ab_mlfq,0
8,4,ab_mlfq,0
9,4,ab_mlfq,0
10,11,ab_mlfq,0
11,11,ab_mlfq,0
12,7,ab_mlfq,0
13,7,ab_mlfq,0
14,20,ab_mlfq,0
15,20,ab_mlfq,0
16,21,ab_mlfq,0
17,21,ab_mlfq,0
18,14,ab_mlfq,0
19,14,ab_mlfq,0
20,19,ab_mlfq,0
21,29,ab_mlfq,0
22,29,ab_mlfq,0
23,9,ab_mlfq,0
24,9,ab_mlfq,0
25,5,ab_mlfq,0
26,5,ab_mlfq,0
27,22,ab_mlfq,0
28,22,ab_mlfq,0
29,17,ab_mlfq,0
30,23,ab_mlfq,0
31,23,ab_mlfq,0
32,25,ab_mlfq,0
33,25,ab_mlfq,0
34,27,ab_mlfq,0
35,27,ab_mlfq,0
36,15,ab_mlfq,0
37,15,ab_mlfq,0
38,30,ab_mlfq,0
39,30,ab_mlfq,0
40,8,ab_mlfq,0
41,10,ab_mlfq,0
42,13,ab_mlfq,0
43,28,ab_mlfq,0
44,16,ab_mlfq,0
45,24,ab_mlfq,0
46,3,ab_mlfq,0
47,6,ab_mlfq,0
48,12,ab_mlfq,0
49,18,ab_mlfq,0
50,2,ab_mlfq,0
51,26,ab_mlfq,0
52,4,ab_mlfq,0
53,11,ab_mlfq,0
54,7,ab_mlfq,0
55,20,ab_mlfq,0
56,21,ab_mlfq,0
57,9,ab_mlfq,0
58,5,ab_mlfq,0
59,14,ab_mlfq,0
60,29,ab_mlfq,0
61,23,ab_mlfq,0
62,25,ab_mlfq,0
63,27,ab_mlfq,0
64,15,ab_mlfq,0
65,10,ab_mlfq,0
66,13,ab_mlfq,0
67,16,ab_mlfq,0
68,24,ab_mlfq,0
69,3,ab_mlfq,0
70,6,ab_mlfq,0
71,18,ab_mlfq,0
72,26,ab_mlfq,0
73,11,ab_mlfq,0
74,7,ab_mlfq,0
75,20,ab_mlfq,0
76,21,ab_mlfq,0
77,5,ab_mlfq,0
78,29,ab_mlfq,0
79,23,ab_mlfq,0
80,25,ab_mlfq,0
81,27,ab_mlfq,0
82,15,ab_mlfq,0
83,13,ab_mlfq,0
84,16,ab_mlfq,0
85,24,ab_mlfq,0
86,3,ab_mlfq,0
87,6,ab_mlfq,0
88,11,ab_mlfq,0
89,7,ab_mlfq,0
90,20,ab_mlfq,0
91,5,ab_mlfq,0
92,29,ab_mlfq,0
93,25,ab_mlfq,0
94,27,ab_mlfq,0
95,15,ab_mlfq,0
96,13,ab_mlfq,0
97,16,ab_mlfq,0
98,24,ab_mlfq,0
99,5,ab_mlfq,1
100,15,ab_mlfq,1
101,13,ab_mlfq,1
102,13,ab_mlfq,1
103,16,ab_mlfq,1
