time,pid,algorithm,queue
0,1,ab_mlfq,0
1,1,ab_mlfq,0
2,2,ab_mlfq,0
3,2,ab_mlfq,0
4,3,ab_mlfq,0
5,3,ab_mlfq,0
6,4,ab_mlfq,0
7,4,ab_mlfq,0
8,5,ab_mlfq,0
9,5,ab_mlfq,0
10,6,ab_mlfq,0
11,6,ab_mlfq,0
12,7,ab_mlfq,0
13,7,ab_mlfq,0
14,8,ab_mlfq,0
15,9,ab_mlfq,0
16,9,ab_mlfq,0
17,10,ab_mlfq,0
18,10,ab_mlfq,0
19,11,ab_mlfq,0
20,12,ab_mlfq,0
21,12,ab_mlfq,0
22,13,ab_mlfq,0
23,13,ab_mlfq,0
24,14,ab_mlfq,0
25,14,ab_mlfq,0
26,15,ab_mlfq,0
27,16,ab_mlfq,0
28,17,ab_mlfq,0
29,17,ab_mlfq,0
30,18,ab_mlfq,0
31,18,ab_mlfq,0
32,19,ab_mlfq,0
33,20,ab_mlfq,0
34,20,ab_mlfq,0
35,21,ab_mlfq,0
36,21,ab_mlfq,0
37,22,ab_mlfq,0
38,22,ab_mlfq,0
39,1,ab_mlfq,0
40,1,ab_mlfq,0
41,23,ab_mlfq,0
42,2,ab_mlfq,0
43,24,ab_mlfq,0
44,25,ab_mlfq,0
45,3,ab_mlfq,0
46,26,ab_mlfq,0
47,27,ab_mlfq,0
48,4,ab_mlfq,0
49,28,ab_mlfq,0
50,5,ab_mlfq,0
51,29,ab_mlfq,0
52,30,ab_mlfq,0
53,9,ab_mlfq,0
54,12,ab_mlfq,0
55,13,ab_mlfq,0
56,17,ab_mlfq,0
57,1,ab_mlfq,0
58,23,ab_mlfq,0
59,18,ab_mlfq,0
60,2,ab_mlfq,0
61,24,ab_mlfq,0
62,20,ab_mlfq,0
63,22,ab_mlfq,0
64,25,ab_mlfq,0
65,21,ab_mlfq,0
66,3,ab_mlfq,0
67,27,ab_mlfq,0
68,4,ab_mlfq,0
69,28,ab_mlfq,0
70,29,ab_mlfq,0
71,30,ab_mlfq,0
