time,pid,algorithm,queue
0,6,fcfs,-1
1,6,fcfs,-1
2,6,fcfs,-1
3,6,fcfs,-1
4,6,fcfs,-1
5,6,fcfs,-1
6,6,fcfs,-1
7,6,fcfs,-1
8,6,fcfs,-1
9,6,fcfs,-1
10,6,fcfs,-1
11,6,fcfs,-1
12,6,fcfs,-1
13,6,fcfs,-1
14,6,fcfs,-1
15,6,fcfs,-1
16,6,fcfs,-1
17,6,fcfs,-1
18,6,fcfs,-1
19,6,fcfs,-1
20,6,fcfs,-1
21,6,fcfs,-1
22,6,fcfs,-1
23,6,fcfs,-1
24,6,fcfs,-1
25,6,fcfs,-1
26,6,fcfs,-1
27,6,fcfs,-1
28,6,fcfs,-1
29,6,fcfs,-1
30,6,fcfs,-1
31,6,fcfs,-1
32,6,fcfs,-1
33,6,fcfs,-1
34,6,fcfs,-1
35,6,fcfs,-1
36,6,fcfs,-1
37,6,fcfs,-1
38,6,fcfs,-1
39,6,fcfs,-1
40,6,fcfs,-1
41,6,fcfs,-1
42,6,fcfs,-1
43,6,fcfs,-1
44,6,fcfs,-1
45,6,fcfs,-1
46,6,fcfs,-1
47,6,fcfs,-1
48,6,fcfs,-1
49,6,fcfs,-1
50,6,fcfs,-1
51,6,fcfs,-1
52,6,fcfs,-1
53,6,fcfs,-1
54,6,fcfs,-1
55,6,fcfs,-1
56,6,fcfs,-1
57,6,fcfs,-1
58,6,fcfs,-1
59,6,fcfs,-1
60,6,fcfs,-1
61,6,fcfs,-1
62,6,fcfs,-1
63,6,fcfs,-1
64,6,fcfs,-1
65,6,fcfs,-1
66,6,fcfs,-1
67,6,fcfs,-1
68,6,fcfs,-1
69,6,fcfs,-1
70,6,fcfs,-1
71,6,fcfs,-1
72,2,fcfs,-1
73,2,fcfs,-1
74,2,fcfs,-1
75,2,fcfs,-1
76,2,fcfs,-1
77,2,fcfs,-1
78,2,fcfs,-1
79,2,fcfs,-1
80,2,fcfs,-1
81,2,fcfs,-1
82,2,fcfs,-1
83,2,fcfs,-1
84,2,fcfs,-1
85,2,fcfs,-1
86,2,fcfs,-1
87,2,fcfs,-1
88,2,fcfs,-1
89,2,fcfs,-1
90,2,fcfs,-1
91,2,fcfs,-1
92,2,fcfs,-1
93,2,fcfs,-1
94,2,fcfs,-1
95,2,fcfs,-1
96,2,fcfs,-1
97,2,fcfs,-1
98,2,fcfs,-1
99,2,fcfs,-1
100,2,fcfs,-1
101,2,fcfs,-1
102,2,fcfs,-1
103,2,fcfs,-1
104,2,fcfs,-1
105,2,fcfs,-1
106,2,fcfs,-1
107,2,fcfs,-1
108,2,fcfs,-1
109,2,fcfs,-1
110,2,fcfs,-1
111,2,fcfs,-1
112,2,fcfs,-1
113,2,fcfs,-1
114,2,fcfs,-1
115,2,fcfs,-1
116,2,fcfs,-1
117,2,fcfs,-1
118,2,fcfs,-1
119,2,fcfs,-1
120,2,fcfs,-1
121,2,fcfs,-1
122,2,fcfs,-1
123,2,fcfs,-1
124,2,fcfs,-1
125,2,fcfs,-1
126,2,fcfs,-1
127,2,fcfs,-1
128,4,fcfs,-1
129,4,fcfs,-1
130,4,fcfs,-1
131,4,fcfs,-1
132,4,fcfs,-1
133,4,fcfs,-1
134,4,fcfs,-1
135,4,fcfs,-1
136,4,fcfs,-1
137,4,fcfs,-1
138,4,fcfs,-1
139,4,fcfs,-1
140,4,fcfs,-1
141,4,fcfs,-1
142,4,fcfs,-1
143,4,fcfs,-1
144,4,fcfs,-1
145,4,fcfs,-1
146,4,fcfs,-1
147,4,fcfs,-1
148,4,fcfs,-1
149,4,fcfs,-1
150,4,fcfs,-1
151,4,fcfs,-1
152,4,fcfs,-1
153,4,fcfs,-1
154,4,fcfs,-1
155,4,fcfs,-1
156,4,fcfs,-1
157,4,fcfs,-1
158,4,fcfs,-1
159,4,fcfs,-1
160,4,fcfs,-1
161,4,fcfs,-1
162,4,fcfs,-1
163,4,fcfs,-1
164,4,fcfs,-1
165,4,fcfs,-1
166,4,fcfs,-1
167,4,fcfs,-1
168,4,fcfs,-1
169,4,fcfs,-1
170,4,fcfs,-1
171,4,fcfs,-1
172,4,fcfs,-1
173,4,fcfs,-1
174,4,fcfs,-1
175,4,fcfs,-1
176,4,fcfs,-1
177,4,fcfs,-1
178,4,fcfs,-1
179,4,fcfs,-1
180,4,fcfs,-1
181,4,fcfs,-1
182,4,fcfs,-1
183,4,fcfs,-1
184,4,fcfs,-1
185,4,fcfs,-1
186,4,fcfs,-1
187,4,fcfs,-1
188,4,fcfs,-1
189,4,fcfs,-1
190,4,fcfs,-1
191,4,fcfs,-1
192,4,fcfs,-1
193,1,fcfs,-1
194,1,fcfs,-1
195,1,fcfs,-1
196,1,fcfs,-1
197,1,fcfs,-1
198,1,fcfs,-1
199,1,fcfs,-1
200,1,fcfs,-1
201,1,fcfs,-1
202,1,fcfs,-1
203,1,fcfs,-1
204,1,fcfs,-1
205,1,fcfs,-1
206,1,fcfs,-1
