time,pid,algorithm,queue
0,-1,fcfs,-1
1,-1,fcfs,-1
2,-1,fcfs,-1
3,-1,fcfs,-1
4,-1,fcfs,-1
5,-1,fcfs,-1
6,-1,fcfs,-1
7,4,fcfs,-1
8,4,fcfs,-1
9,4,fcfs,-1
10,4,fcfs,-1
11,4,fcfs,-1
12,4,fcfs,-1
13,4,fcfs,-1
14,4,fcfs,-1
15,4,fcfs,-1
16,14,fcfs,-1
17,14,fcfs,-1
18,14,fcfs,-1
19,14,fcfs,-1
20,14,fcfs,-1
21,28,fcfs,-1
22,28,fcfs,-1
23,28,fcfs,-1
24,28,fcfs,-1
25,28,fcfs,-1
26,28,fcfs,-1
27,28,fcfs,-1
28,28,fcfs,-1
29,28,fcfs,-1
30,26,fcfs,-1
31,26,fcfs,-1
32,26,fcfs,-1
33,26,fcfs,-1
34,2,fcfs,-1
35,2,fcfs,-1
36,2,fcfs,-1
37,2,fcfs,-1
38,2,fcfs,-1
39,2,fcfs,-1
40,2,fcfs,-1
41,13,fcfs,-1
42,13,fcfs,-1
43,3,fcfs,-1
44,5,fcfs,-1
45,5,fcfs,-1
46,5,fcfs,-1
47,5,fcfs,-1
48,5,fcfs,-1
49,5,fcfs,-1
50,5,fcfs,-1
51,5,fcfs,-1
52,10,fcfs,-1
53,10,fcfs,-1
54,10,fcfs,-1
55,10,fcfs,-1
56,25,fcfs,-1
57,19,fcfs,-1
58,19,fcfs,-1
59,19,fcfs,-1
60,19,fcfs,-1
61,19,fcfs,-1
62,19,fcfs,-1
63,19,fcfs,-1
64,19,fcfs,-1
65,19,fcfs,-1
66,20,fcfs,-1
67,20,fcfs,-1
68,20,fcfs,-1
69,20,fcfs,-1
70,20,fcfs,-1
71,11,fcfs,-1
72,11,fcfs,-1
73,11,fcfs,-1
74,11,fcfs,-1
75,11,fcfs,-1
76,11,fcfs,-1
77,11,fcfs,-1
78,11,fcfs,-1
79,11,fcfs,-1
80,24,fcfs,-1
81,24,fcfs,-1
82,24,fcfs,-1
83,24,fcfs,-1
84,24,fcfs,-1
85,24,fcfs,-1
86,24,fcfs,-1
87,24,fcfs,-1
88,24,fcfs,-1
89,24,fcfs,-1
90,18,fcfs,-1
91,18,fcfs,-1
92,18,fcfs,-1
93,18,fcfs,-1
94,9,fcfs,-1
95,9,fcfs,-1
96,9,fcfs,-1
97,15,fcfs,-1
98,15,fcfs,-1
99,15,fcfs,-1
100,15,fcfs,-1
101,15,fcfs,-1
102,15,fcfs,-1
103,8,fcfs,-1
104,23,fcfs,-1
105,23,fcfs,-1
106,23,fcfs,-1
107,23,fcfs,-1
108,23,fcfs,-1
109,23,fcfs,-1
110,12,fcfs,-1
111,21,fcfs,-1
112,21,fcfs,-1
113,21,fcfs,-1
114,21,fcfs,-1
115,21,fcfs,-1
116,21,fcfs,-1
117,22,fcfs,-1
118,22,fcfs,-1
119,22,fcfs,-1
120,22,fcfs,-1
121,22,fcfs,-1
122,22,fcfs,-1
123,27,fcfs,-1
124,27,fcfs,-1
125,27,fcfs,-1
126,27,fcfs,-1
127,27,fcfs,-1
128,1,fcfs,-1
129,1,fcfs,-1
130,1,fcfs,-1
131,1,fcfs,-1
132,6,fcfs,-1
133,6,fcfs,-1
134,6,fcfs,-1
135,6,fcfs,-1
136,6,fcfs,-1
137,6,fcfs,-1
138,6,fcfs,-1
139,6,fcfs,-1
140,6,fcfs,-1
141,7,fcfs,-1
142,16,fcfs,-1
143,16,fcfs,-1
144,16,fcfs,-1
145,16,fcfs,-1
146,16,fcfs,-1
147,17,fcfs,-1
148,17,fcfs,-1
149,17,fcfs,-1
150,17,fcfs,-1
151,17,fcfs,-1
152,17,fcfs,-1
153,17,fcfs,-1
154,17,fcfs,-1
155,17,fcfs,-1
156,30,fcfs,-1
157,30,fcfs,-1
158,30,fcfs,-1
159,30,fcfs,-1
160,30,fcfs,-1
161,30,fcfs,-1
162,29,fcfs,-1
163,29,fcfs,-1
164,29,fcfs,-1
165,29,fcfs,-1
166,29,fcfs,-1
167,29,fcfs,-1
168,29,fcfs,-1
169,29,fcfs,-1
170,29,fcfs,-1
