time,pid,algorithm,queue
0,1,fcfs,-1
1,1,fcfs,-1
2,1,fcfs,-1
3,1,fcfs,-1
4,1,fcfs,-1
5,1,fcfs,-1
6,1,fcfs,-1
7,1,fcfs,-1
8,1,fcfs,-1
9,1,fcfs,-1
10,1,fcfs,-1
11,1,fcfs,-1
12,1,fcfs,-1
13,1,fcfs,-1
14,1,fcfs,-1
15,1,fcfs,-1
16,1,fcfs,-1
17,1,fcfs,-1
18,1,fcfs,-1
19,1,fcfs,-1
20,1,fcfs,-1
21,1,fcfs,-1
22,1,fcfs,-1
23,1,fcfs,-1
24,1,fcfs,-1
25,1,fcfs,-1
26,1,fcfs,-1
27,1,fcfs,-1
28,1,fcfs,-1
29,1,fcfs,-1
30,1,fcfs,-1
31,1,fcfs,-1
32,1,fcfs,-1
33,1,fcfs,-1
34,1,fcfs,-1
35,1,fcfs,-1
36,1,fcfs,-1
37,1,fcfs,-1
38,1,fcfs,-1
39,1,fcfs,-1
40,1,fcfs,-1
41,1,fcfs,-1
42,1,fcfs,-1
43,1,fcfs,-1
44,18,fcfs,-1
45,18,fcfs,-1
46,18,fcfs,-1
47,18,fcfs,-1
48,18,fcfs,-1
49,18,fcfs,-1
50,18,fcfs,-1
51,18,fcfs,-1
52,18,fcfs,-1
53,18,fcfs,-1
54,18,fcfs,-1
55,18,fcfs,-1
56,18,fcfs,-1
57,18,fcfs,-1
58,18,fcfs,-1
59,18,fcfs,-1
60,18,fcfs,-1
61,18,fcfs,-1
62,18,fcfs,-1
63,18,fcfs,-1
64,18,fcfs,-1
65,18,fcfs,-1
66,18,fcfs,-1
67,18,fcfs,-1
68,18,fcfs,-1
69,18,fcfs,-1
70,18,fcfs,-1
71,18,fcfs,-1
72,18,fcfs,-1
73,18,fcfs,-1
74,18,fcfs,-1
75,18,fcfs,-1
76,18,fcfs,-1
77,18,fcfs,-1
78,18,fcfs,-1
79,18,fcfs,-1
80,18,fcfs,-1
81,18,fcfs,-1
82,18,fcfs,-1
83,18,fcfs,-1
84,18,fcfs,-1
85,18,fcfs,-1
86,18,fcfs,-1
87,18,fcfs,-1
88,18,fcfs,-1
89,18,fcfs,-1
90,18,fcfs,-1
91,18,fcfs,-1
92,18,fcfs,-1
93,2,fcfs,-1
94,2,fcfs,-1
95,2,fcfs,-1
96,2,fcfs,-1
97,2,fcfs,-1
98,2,fcfs,-1
99,2,fcfs,-1
100,2,fcfs,-1
101,2,fcfs,-1
102,2,fcfs,-1
103,2,fcfs,-1
104,2,fcfs,-1
105,2,fcfs,-1
106,2,fcfs,-1
107,2,fcfs,-1
108,2,fcfs,-1
109,2,fcfs,-1
110,2,fcfs,-1
111,2,fcfs,-1
112,2,fcfs,-1
113,2,fcfs,-1
114,2,fcfs,-1
115,2,fcfs,-1
116,2,fcfs,-1
117,2,fcfs,-1
118,2,fcfs,-1
119,2,fcfs,-1
120,2,fcfs,-1
121,2,fcfs,-1
122,2,fcfs,-1
123,2,fcfs,-1
124,2,fcfs,-1
125,2,fcfs,-1
126,2,fcfs,-1
127,2,fcfs,-1
128,2,fcfs,-1
129,2,fcfs,-1
130,2,fcfs,-1
131,2,fcfs,-1
132,26,fcfs,-1
133,26,fcfs,-1
134,26,fcfs,-1
135,26,fcfs,-1
136,26,fcfs,-1
137,26,fcfs,-1
138,26,fcfs,-1
139,26,fcfs,-1
140,26,fcfs,-1
141,26,fcfs,-1
142,26,fcfs,-1
143,26,fcfs,-1
144,26,fcfs,-1
145,26,fcfs,-1
146,26,fcfs,-1
147,26,fcfs,-1
148,26,fcfs,-1
149,26,fcfs,-1
150,26,fcfs,-1
151,26,fcfs,-1
152,26,fcfs,-1
153,26,fcfs,-1
154,26,fcfs,-1
155,26,fcfs,-1
156,26,fcfs,-1
157,26,fcfs,-1
158,26,fcfs,-1
159,26,fcfs,-1
160,26,fcfs,-1
161,26,fcfs,-1
162,26,fcfs,-1
163,26,fcfs,-1
164,26,fcfs,-1
165,26,fcfs,-1
166,26,fcfs,-1
167,26,fcfs,-1
168,26,fcfs,-1
169,26,fcfs,-1
170,26,fcfs,-1
171,4,fcfs,-1
172,4,fcfs,-1
173,4,fcfs,-1
174,4,fcfs,-1
175,4,fcfs,-1
176,4,fcfs,-1
177,4,fcfs,-1
178,4,fcfs,-1
179,4,fcfs,-1
180,4,fcfs,-1
181,4,fcfs,-1
182,4,fcfs,-1
183,4,fcfs,-1
184,4,fcfs,-1
185,4,fcfs,-1
186,4,fcfs,-1
187,4,fcfs,-1
188,4,fcfs,-1
189,4,fcfs,-1
190,4,fcfs,-1
191,4,fcfs,-1
192,4,fcfs,-1
193,4,fcfs,-1
194,4,fcfs,-1
195,4,fcfs,-1
196,4,fcfs,-1
197,4,fcfs,-1
198,4,fcfs,-1
199,4,fcfs,-1
200,4,fcfs,-1
201,4,fcfs,-1
202,4,fcfs,-1
203,4,fcfs,-1
204,4,fcfs,-1
205,4,fcfs,-1
206,4,fcfs,-1
207,4,fcfs,-1
208,4,fcfs,-1
209,4,fcfs,-1
210,4,fcfs,-1
211,4,fcfs,-1
212,4,fcfs,-1
213,4,fcfs,-1
214,4,fcfs,-1
215,4,fcfs,-1
216,4,fcfs,-1
217,4,fcfs,-1
218,4,fcfs,-1
219,4,fcfs,-1
220,4,fcfs,-1
221,11,fcfs,-1
222,11,fcfs,-1
223,11,fcfs,-1
224,11,fcfs,-1
225,11,fcfs,-1
226,11,fcfs,-1
227,11,fcfs,-1
228,11,fcfs,-1
229,11,fcfs,-1
230,11,fcfs,-1
231,11,fcfs,-1
232,11,fcfs,-1
233,11,fcfs,-1
234,11,fcfs,-1
235,11,fcfs,-1
236,11,fcfs,-1
237,11,fcfs,-1
238,11,fcfs,-1
239,11,fcfs,-1
240,11,fcfs,-1
241,11,fcfs,-1
242,11,fcfs,-1
243,11,fcfs,-1
244,11,fcfs,-1
245,11,fcfs,-1
246,11,fcfs,-1
247,11,fcfs,-1
248,11,fcfs,-1
249,11,fcfs,-1
250,11,fcfs,-1
251,11,fcfs,-1
252,11,fcfs,-1
253,11,fcfs,-1
254,11,fcfs,-1
255,11,fcfs,-1
256,11,fcfs,-1
257,11,fcfs,-1
258,11,fcfs,-1
259,7,fcfs,-1
260,7,fcfs,-1
261,7,fcfs,-1
262,7,fcfs,-1
263,7,fcfs,-1
264,7,fcfs,-1
265,7,fcfs,-1
266,7,fcfs,-1
267,7,fcfs,-1
268,7,fcfs,-1
269,7,fcfs,-1
270,7,fcfs,-1
271,7,fcfs,-1
272,7,fcfs,-1
273,7,fcfs,-1
274,7,fcfs,-1
275,7,fcfs,-1
276,7,fcfs,-1
277,7,fcfs,-1
278,7,fcfs,-1
279,7,fcfs,-1
280,7,fcfs,-1
281,7,fcfs,-1
282,7,fcfs,-1
283,7,fcfs,-1
284,7,fcfs,-1
285,7,fcfs,-1
286,7,fcfs,-1
287,7,fcfs,-1
288,7,fcfs,-1
289,7,fcfs,-1
290,7,fcfs,-1
291,7,fcfs,-1
292,7,fcfs,-1
293,7,fcfs,-1
294,7,fcfs,-1
295,7,fcfs,-1
296,7,fcfs,-1
297,7,fcfs,-1
298,20,fcfs,-1
299,20,fcfs,-1
300,20,fcfs,-1
301,20,fcfs,-1
302,20,fcfs,-1
303,20,fcfs,-1
304,20,fcfs,-1
305,20,fcfs,-1
306,20,fcfs,-1
307,20,fcfs,-1
308,20,fcfs,-1
309,20,fcfs,-1
310,20,fcfs,-1
311,20,fcfs,-1
312,20,fcfs,-1
313,20,fcfs,-1
314,20,fcfs,-1
315,20,fcfs,-1
316,20,fcfs,-1
317,20,fcfs,-1
318,20,fcfs,-1
319,20,fcfs,-1
320,20,fcfs,-1
321,20,fcfs,-1
322,20,fcfs,-1
323,20,fcfs,-1
324,20,fcfs,-1
325,20,fcfs,-1
326,20,fcfs,-1
327,20,fcfs,-1
328,20,fcfs,-1
329,20,fcfs,-1
330,20,fcfs,-1
331,20,fcfs,-1
332,20,fcfs,-1
333,20,fcfs,-1
334,20,fcfs,-1
335,20,fcfs,-1
336,21,fcfs,-1
337,21,fcfs,-1
338,21,fcfs,-1
339,21,fcfs,-1
340,21,fcfs,-1
341,21,fcfs,-1
342,21,fcfs,-1
343,21,fcfs,-1
344,21,fcfs,-1
345,21,fcfs,-1
346,21,fcfs,-1
347,21,fcfs,-1
348,21,fcfs,-1
349,21,fcfs,-1
350,21,fcfs,-1
351,21,fcfs,-1
352,21,fcfs,-1
353,21,fcfs,-1
354,21,fcfs,-1
355,21,fcfs,-1
356,21,fcfs,-1
357,21,fcfs,-1
358,21,fcfs,-1
359,21,fcfs,-1
360,14,fcfs,-1
361,14,fcfs,-1
362,14,fcfs,-1
363,14,fcfs,-1
364,14,fcfs,-1
365,14,fcfs,-1
366,14,fcfs,-1
367,14,fcfs,-1
368,14,fcfs,-1
369,14,fcfs,-1
370,14,fcfs,-1
371,14,fcfs,-1
372,14,fcfs,-1
373,14,fcfs,-1
374,14,fcfs,-1
375,14,fcfs,-1
376,14,fcfs,-1
377,14,fcfs,-1
378,14,fcfs,-1
379,14,fcfs,-1
380,19,fcfs,-1
381,19,fcfs,-1
382,19,fcfs,-1
383,19,fcfs,-1
384,19,fcfs,-1
385,19,fcfs,-1
386,19,fcfs,-1
387,19,fcfs,-1
388,19,fcfs,-1
389,19,fcfs,-1
390,19,fcfs,-1
391,19,fcfs,-1
392,19,fcfs,-1
393,19,fcfs,-1
394,19,fcfs,-1
395,19,fcfs,-1
396,19,fcfs,-1
397,19,fcfs,-1
398,19,fcfs,-1
399,19,fcfs,-1
400,19,fcfs,-1
401,19,fcfs,-1
402,19,fcfs,-1
403,19,fcfs,-1
404,19,fcfs,-1
405,19,fcfs,-1
406,19,fcfs,-1
407,19,fcfs,-1
408,19,fcfs,-1
409,19,fcfs,-1
410,19,fcfs,-1
411,19,fcfs,-1
412,29,fcfs,-1
413,29,fcfs,-1
414,29,fcfs,-1
415,29,fcfs,-1
416,29,fcfs,-1
417,29,fcfs,-1
418,29,fcfs,-1
419,29,fcfs,-1
420,29,fcfs,-1
421,29,fcfs,-1
422,29,fcfs,-1
423,29,fcfs,-1
424,29,fcfs,-1
425,29,fcfs,-1
426,29,fcfs,-1
427,29,fcfs,-1
428,29,fcfs,-1
429,29,fcfs,-1
430,29,fcfs,-1
431,29,fcfs,-1
432,29,fcfs,-1
433,29,fcfs,-1
434,29,fcfs,-1
435,29,fcfs,-1
436,29,fcfs,-1
437,29,fcfs,-1
438,29,fcfs,-1
439,29,fcfs,-1
440,29,fcfs,-1
441,29,fcfs,-1
442,29,fcfs,-1
443,29,fcfs,-1
444,29,fcfs,-1
445,29,fcfs,-1
446,29,fcfs,-1
447,29,fcfs,-1
448,29,fcfs,-1
449,29,fcfs,-1
450,29,fcfs,-1
451,29,fcfs,-1
452,29,fcfs,-1
453,29,fcfs,-1
454,29,fcfs,-1
455,29,fcfs,-1
456,29,fcfs,-1
457,29,fcfs,-1
458,29,fcfs,-1
459,9,fcfs,-1
460,9,fcfs,-1
461,9,fcfs,-1
462,9,fcfs,-1
463,9,fcfs,-1
464,9,fcfs,-1
