time,pid,algorithm,queue
0,-1,fcfs,-1
1,-1,fcfs,-1
2,9,fcfs,-1
3,9,fcfs,-1
4,9,fcfs,-1
5,9,fcfs,-1
6,9,fcfs,-1
7,9,fcfs,-1
8,9,fcfs,-1
9,9,fcfs,-1
10,9,fcfs,-1
11,9,fcfs,-1
12,9,fcfs,-1
13,9,fcfs,-1
14,9,fcfs,-1
15,9,fcfs,-1
16,9,fcfs,-1
17,9,fcfs,-1
18,9,fcfs,-1
19,9,fcfs,-1
20,9,fcfs,-1
21,9,fcfs,-1
22,9,fcfs,-1
23,9,fcfs,-1
24,9,fcfs,-1
25,9,fcfs,-1
26,9,fcfs,-1
27,9,fcfs,-1
28,9,fcfs,-1
29,9,fcfs,-1
30,9,fcfs,-1
31,9,fcfs,-1
32,9,fcfs,-1
33,9,fcfs,-1
34,9,fcfs,-1
35,9,fcfs,-1
36,9,fcfs,-1
37,9,fcfs,-1
38,9,fcfs,-1
39,9,fcfs,-1
40,9,fcfs,-1
41,9,fcfs,-1
42,9,fcfs,-1
43,9,fcfs,-1
44,9,fcfs,-1
45,9,fcfs,-1
46,9,fcfs,-1
47,9,fcfs,-1
48,9,fcfs,-1
49,9,fcfs,-1
50,9,fcfs,-1
51,9,fcfs,-1
52,9,fcfs,-1
53,9,fcfs,-1
54,9,fcfs,-1
55,9,fcfs,-1
56,9,fcfs,-1
57,9,fcfs,-1
58,20,fcfs,-1
59,20,fcfs,-1
60,20,fcfs,-1
61,20,fcfs,-1
62,20,fcfs,-1
63,20,fcfs,-1
64,20,fcfs,-1
65,20,fcfs,-1
66,20,fcfs,-1
67,20,fcfs,-1
68,20,fcfs,-1
69,20,fcfs,-1
70,8,fcfs,-1
71,8,fcfs,-1
72,8,fcfs,-1
73,8,fcfs,-1
74,8,fcfs,-1
75,8,fcfs,-1
76,8,fcfs,-1
77,1,fcfs,-1
78,10,fcfs,-1
79,10,fcfs,-1
80,10,fcfs,-1
81,10,fcfs,-1
82,5,fcfs,-1
83,5,fcfs,-1
84,5,fcfs,-1
85,5,fcfs,-1
86,5,fcfs,-1
87,5,fcfs,-1
88,5,fcfs,-1
89,5,fcfs,-1
90,5,fcfs,-1
91,5,fcfs,-1
92,5,fcfs,-1
93,5,fcfs,-1
94,5,fcfs,-1
95,5,fcfs,-1
96,5,fcfs,-1
97,6,fcfs,-1
98,6,fcfs,-1
99,6,fcfs,-1
100,6,fcfs,-1
101,6,fcfs,-1
102,6,fcfs,-1
103,6,fcfs,-1
104,6,fcfs,-1
105,6,fcfs,-1
106,6,fcfs,-1
107,6,fcfs,-1
108,6,fcfs,-1
109,6,fcfs,-1
110,6,fcfs,-1
111,6,fcfs,-1
112,6,fcfs,-1
113,6,fcfs,-1
114,6,fcfs,-1
115,6,fcfs,-1
116,6,fcfs,-1
117,6,fcfs,-1
118,6,fcfs,-1
119,6,fcfs,-1
120,6,fcfs,-1
121,6,fcfs,-1
122,6,fcfs,-1
123,6,fcfs,-1
124,6,fcfs,-1
125,6,fcfs,-1
126,6,fcfs,-1
127,6,fcfs,-1
128,6,fcfs,-1
129,6,fcfs,-1
130,14,fcfs,-1
131,14,fcfs,-1
132,14,fcfs,-1
133,14,fcfs,-1
134,14,fcfs,-1
135,14,fcfs,-1
136,14,fcfs,-1
137,14,fcfs,-1
138,14,fcfs,-1
139,14,fcfs,-1
140,14,fcfs,-1
141,14,fcfs,-1
142,14,fcfs,-1
143,14,fcfs,-1
144,14,fcfs,-1
145,14,fcfs,-1
146,14,fcfs,-1
147,14,fcfs,-1
148,14,fcfs,-1
149,14,fcfs,-1
150,3,fcfs,-1
151,3,fcfs,-1
152,3,fcfs,-1
153,3,fcfs,-1
154,3,fcfs,-1
155,3,fcfs,-1
156,3,fcfs,-1
157,3,fcfs,-1
158,3,fcfs,-1
159,3,fcfs,-1
160,3,fcfs,-1
161,3,fcfs,-1
162,3,fcfs,-1
163,3,fcfs,-1
164,3,fcfs,-1
165,3,fcfs,-1
166,3,fcfs,-1
167,3,fcfs,-1
168,3,fcfs,-1
169,3,fcfs,-1
170,3,fcfs,-1
171,3,fcfs,-1
172,2,fcfs,-1
173,2,fcfs,-1
174,2,fcfs,-1
175,2,fcfs,-1
176,2,fcfs,-1
177,2,fcfs,-1
178,2,fcfs,-1
179,2,fcfs,-1
180,2,fcfs,-1
181,2,fcfs,-1
182,2,fcfs,-1
183,2,fcfs,-1
184,2,fcfs,-1
185,2,fcfs,-1
186,2,fcfs,-1
187,2,fcfs,-1
188,16,fcfs,-1
189,16,fcfs,-1
190,16,fcfs,-1
191,16,fcfs,-1
192,24,fcfs,-1
193,24,fcfs,-1
194,24,fcfs,-1
195,24,fcfs,-1
196,24,fcfs,-1
197,24,fcfs,-1
198,24,fcfs,-1
199,24,fcfs,-1
200,24,fcfs,-1
201,24,fcfs,-1
202,24,fcfs,-1
203,24,fcfs,-1
204,24,fcfs,-1
205,24,fcfs,-1
206,24,fcfs,-1
207,24,fcfs,-1
208,24,fcfs,-1
209,24,fcfs,-1
210,24,fcfs,-1
211,24,fcfs,-1
212,24,fcfs,-1
213,24,fcfs,-1
214,24,fcfs,-1
215,24,fcfs,-1
216,24,fcfs,-1
217,24,fcfs,-1
218,11,fcfs,-1
219,11,fcfs,-1
220,11,fcfs,-1
221,11,fcfs,-1
222,11,fcfs,-1
223,11,fcfs,-1
224,11,fcfs,-1
225,11,fcfs,-1
226,11,fcfs,-1
227,11,fcfs,-1
228,11,fcfs,-1
229,17,fcfs,-1
230,17,fcfs,-1
231,17,fcfs,-1
232,17,fcfs,-1
233,17,fcfs,-1
234,17,fcfs,-1
235,17,fcfs,-1
236,17,fcfs,-1
237,17,fcfs,-1
238,17,fcfs,-1
239,21,fcfs,-1
240,21,fcfs,-1
241,21,fcfs,-1
242,21,fcfs,-1
243,21,fcfs,-1
244,21,fcfs,-1
245,21,fcfs,-1
246,21,fcfs,-1
247,21,fcfs,-1
248,21,fcfs,-1
249,21,fcfs,-1
250,21,fcfs,-1
251,21,fcfs,-1
252,21,fcfs,-1
253,21,fcfs,-1
254,21,fcfs,-1
255,21,fcfs,-1
256,21,fcfs,-1
257,21,fcfs,-1
258,21,fcfs,-1
259,21,fcfs,-1
260,21,fcfs,-1
261,21,fcfs,-1
262,21,fcfs,-1
263,21,fcfs,-1
264,21,fcfs,-1
265,21,fcfs,-1
266,21,fcfs,-1
267,21,fcfs,-1
268,21,fcfs,-1
269,21,fcfs,-1
270,21,fcfs,-1
271,21,fcfs,-1
272,21,fcfs,-1
273,21,fcfs,-1
274,21,fcfs,-1
275,21,fcfs,-1
276,21,fcfs,-1
277,21,fcfs,-1
278,21,fcfs,-1
279,21,fcfs,-1
280,21,fcfs,-1
281,21,fcfs,-1
282,21,fcfs,-1
283,21,fcfs,-1
284,21,fcfs,-1
285,22,fcfs,-1
286,22,fcfs,-1
287,22,fcfs,-1
288,22,fcfs,-1
289,22,fcfs,-1
290,22,fcfs,-1
291,29,fcfs,-1
292,29,fcfs,-1
293,29,fcfs,-1
294,29,fcfs,-1
295,29,fcfs,-1
296,29,fcfs,-1
297,29,fcfs,-1
298,29,fcfs,-1
299,29,fcfs,-1
300,29,fcfs,-1
301,29,fcfs,-1
302,29,fcfs,-1
303,29,fcfs,-1
304,12,fcfs,-1
305,12,fcfs,-1
306,12,fcfs,-1
307,12,fcfs,-1
308,12,fcfs,-1
309,12,fcfs,-1
310,12,fcfs,-1
311,12,fcfs,-1
312,12,fcfs,-1
313,12,fcfs,-1
314,12,fcfs,-1
315,12,fcfs,-1
316,12,fcfs,-1
317,12,fcfs,-1
318,12,fcfs,-1
319,12,fcfs,-1
320,12,fcfs,-1
321,12,fcfs,-1
322,12,fcfs,-1
323,12,fcfs,-1
324,12,fcfs,-1
325,12,fcfs,-1
326,12,fcfs,-1
327,12,fcfs,-1
328,12,fcfs,-1
329,12,fcfs,-1
330,12,fcfs,-1
331,12,fcfs,-1
332,28,fcfs,-1
333,28,fcfs,-1
334,18,fcfs,-1
335,18,fcfs,-1
336,18,fcfs,-1
337,18,fcfs,-1
338,18,fcfs,-1
339,18,fcfs,-1
340,18,fcfs,-1
341,18,fcfs,-1
342,18,fcfs,-1
343,18,fcfs,-1
344,18,fcfs,-1
345,18,fcfs,-1
346,18,fcfs,-1
347,18,fcfs,-1
348,18,fcfs,-1
349,18,fcfs,-1
350,18,fcfs,-1
351,18,fcfs,-1
352,18,fcfs,-1
353,18,fcfs,-1
354,18,fcfs,-1
355,18,fcfs,-1
356,18,fcfs,-1
357,18,fcfs,-1
358,18,fcfs,-1
359,18,fcfs,-1
360,18,fcfs,-1
361,26,fcfs,-1
362,26,fcfs,-1
363,26,fcfs,-1
364,26,fcfs,-1
365,26,fcfs,-1
366,26,fcfs,-1
367,26,fcfs,-1
368,26,fcfs,-1
369,26,fcfs,-1
370,26,fcfs,-1
371,26,fcfs,-1
372,26,fcfs,-1
373,26,fcfs,-1
374,26,fcfs,-1
375,26,fcfs,-1
376,26,fcfs,-1
377,23,fcfs,-1
378,23,fcfs,-1
379,23,fcfs,-1
380,23,fcfs,-1
381,23,fcfs,-1
382,23,fcfs,-1
383,23,fcfs,-1
384,23,fcfs,-1
385,23,fcfs,-1
386,23,fcfs,-1
387,7,fcfs,-1
388,7,fcfs,-1
389,7,fcfs,-1
390,27,fcfs,-1
391,27,fcfs,-1
392,27,fcfs,-1
393,27,fcfs,-1
394,27,fcfs,-1
395,27,fcfs,-1
396,27,fcfs,-1
397,27,fcfs,-1
398,27,fcfs,-1
399,27,fcfs,-1
400,27,fcfs,-1
401,27,fcfs,-1
402,27,fcfs,-1
403,27,fcfs,-1
404,27,fcfs,-1
405,27,fcfs,-1
406,27,fcfs,-1
407,27,fcfs,-1
408,27,fcfs,-1
409,27,fcfs,-1
410,27,fcfs,-1
411,27,fcfs,-1
412,27,fcfs,-1
413,27,fcfs,-1
414,27,fcfs,-1
415,27,fcfs,-1
416,27,fcfs,-1
417,27,fcfs,-1
418,27,fcfs,-1
419,27,fcfs,-1
420,27,fcfs,-1
421,27,fcfs,-1
422,27,fcfs,-1
423,27,fcfs,-1
424,27,fcfs,-1
425,27,fcfs,-1
426,27,fcfs,-1
427,27,fcfs,-1
428,27,fcfs,-1
429,27,fcfs,-1
430,27,fcfs,-1
431,27,fcfs,-1
432,27,fcfs,-1
433,27,fcfs,-1
434,27,fcfs,-1
435,27,fcfs,-1
436,27,fcfs,-1
437,27,fcfs,-1
438,27,fcfs,-1
439,27,fcfs,-1
440,27,fcfs,-1
441,27,fcfs,-1
442,27,fcfs,-1
443,27,fcfs,-1
444,30,fcfs,-1
445,30,fcfs,-1
446,30,fcfs,-1
447,30,fcfs,-1
448,30,fcfs,-1
449,30,fcfs,-1
450,30,fcfs,-1
451,30,fcfs,-1
452,30,fcfs,-1
453,30,fcfs,-1
454,30,fcfs,-1
455,30,fcfs,-1
456,30,fcfs,-1
457,30,fcfs,-1
458,30,fcfs,-1
459,30,fcfs,-1
460,30,fcfs,-1
461,30,fcfs,-1
462,30,fcfs,-1
463,30,fcfs,-1
464,30,fcfs,-1
