time,pid,algorithm,queue
0,1,fcfs,-1
1,1,fcfs,-1
2,18,fcfs,-1
3,18,fcfs,-1
4,18,fcfs,-1
5,18,fcfs,-1
6,2,fcfs,-1
7,2,fcfs,-1
8,2,fcfs,-1
9,26,fcfs,-1
10,26,fcfs,-1
11,26,fcfs,-1
12,26,fcfs,-1
13,4,fcfs,-1
14,4,fcfs,-1
15,4,fcfs,-1
16,11,fcfs,-1
17,11,fcfs,-1
18,11,fcfs,-1
19,11,fcfs,-1
20,11,fcfs,-1
21,7,fcfs,-1
22,7,fcfs,-1
23,7,fcfs,-1
24,7,fcfs,-1
25,7,fcfs,-1
26,20,fcfs,-1
27,20,fcfs,-1
28,20,fcfs,-1
29,20,fcfs,-1
30,20,fcfs,-1
31,21,fcfs,-1
32,21,fcfs,-1
33,21,fcfs,-1
34,21,fcfs,-1
35,14,fcfs,-1
36,14,fcfs,-1
37,14,fcfs,-1
38,19,fcfs,-1
39,29,fcfs,-1
40,29,fcfs,-1
41,29,fcfs,-1
42,29,fcfs,-1
43,29,fcfs,-1
44,9,fcfs,-1
45,9,fcfs,-1
46,9,fcfs,-1
47,5,fcfs,-1
48,5,fcfs,-1
49,5,fcfs,-1
50,5,fcfs,-1
51,5,fcfs,-1
52,5,fcfs,-1
53,22,fcfs,-1
54,22,fcfs,-1
55,17,fcfs,-1
56,23,fcfs,-1
57,23,fcfs,-1
58,23,fcfs,-1
59,23,fcfs,-1
60,25,fcfs,-1
61,25,fcfs,-1
62,25,fcfs,-1
63,25,fcfs,-1
64,25,fcfs,-1
65,27,fcfs,-1
66,27,fcfs,-1
67,27,fcfs,-1
68,27,fcfs,-1
69,27,fcfs,-1
70,15,fcfs,-1
71,15,fcfs,-1
72,15,fcfs,-1
73,15,fcfs,-1
74,15,fcfs,-1
75,15,fcfs,-1
76,30,fcfs,-1
77,30,fcfs,-1
78,8,fcfs,-1
79,10,fcfs,-1
80,10,fcfs,-1
81,13,fcfs,-1
82,13,fcfs,-1
83,13,fcfs,-1
84,13,fcfs,-1
85,13,fcfs,-1
86,13,fcfs,-1
87,28,fcfs,-1
88,16,fcfs,-1
89,16,fcfs,-1
90,16,fcfs,-1
91,16,fcfs,-1
92,16,fcfs,-1
93,24,fcfs,-1
94,24,fcfs,-1
95,24,fcfs,-1
96,24,fcfs,-1
97,3,fcfs,-1
98,3,fcfs,-1
99,3,fcfs,-1
100,6,fcfs,-1
101,6,fcfs,-1
102,6,fcfs,-1
103,12,fcfs,-1
