time,pid,algorithm,queue
0,1,fcfs,-1
1,1,fcfs,-1
2,1,fcfs,-1
3,1,fcfs,-1
4,1,fcfs,-1
5,1,fcfs,-1
6,1,fcfs,-1
7,1,fcfs,-1
8,1,fcfs,-1
9,1,fcfs,-1
10,1,fcfs,-1
11,1,fcfs,-1
12,1,fcfs,-1
13,1,fcfs,-1
14,1,fcfs,-1
15,1,fcfs,-1
16,1,fcfs,-1
17,1,fcfs,-1
18,1,fcfs,-1
19,1,fcfs,-1
20,1,fcfs,-1
21,1,fcfs,-1
22,1,fcfs,-1
23,1,fcfs,-1
24,1,fcfs,-1
25,1,fcfs,-1
26,1,fcfs,-1
27,1,fcfs,-1
28,1,fcfs,-1
29,1,fcfs,-1
30,1,fcfs,-1
31,1,fcfs,-1
32,1,fcfs,-1
33,1,fcfs,-1
34,1,fcfs,-1
35,1,fcfs,-1
36,1,fcfs,-1
37,1,fcfs,-1
38,1,fcfs,-1
39,1,fcfs,-1
40,2,fcfs,-1
41,2,fcfs,-1
42,2,fcfs,-1
43,2,fcfs,-1
44,2,fcfs,-1
45,2,fcfs,-1
46,2,fcfs,-1
47,2,fcfs,-1
48,2,fcfs,-1
49,2,fcfs,-1
50,2,fcfs,-1
51,2,fcfs,-1
52,2,fcfs,-1
53,2,fcfs,-1
54,2,fcfs,-1
55,2,fcfs,-1
56,2,fcfs,-1
57,2,fcfs,-1
58,2,fcfs,-1
59,2,fcfs,-1
60,2,fcfs,-1
61,2,fcfs,-1
62,2,fcfs,-1
63,2,fcfs,-1
64,2,fcfs,-1
65,2,fcfs,-1
66,2,fcfs,-1
67,2,fcfs,-1
68,2,fcfs,-1
69,2,fcfs,-1
70,2,fcfs,-1
71,2,fcfs,-1
72,2,fcfs,-1
73,2,fcfs,-1
74,2,fcfs,-1
75,2,fcfs,-1
76,2,fcfs,-1
77,2,fcfs,-1
78,2,fcfs,-1
79,2,fcfs,-1
80,2,fcfs,-1
81,2,fcfs,-1
82,2,fcfs,-1
83,2,fcfs,-1
84,2,fcfs,-1
85,2,fcfs,-1
86,2,fcfs,-1
87,2,fcfs,-1
88,2,fcfs,-1
89,2,fcfs,-1
90,2,fcfs,-1
91,2,fcfs,-1
92,2,fcfs,-1
93,2,fcfs,-1
94,2,fcfs,-1
95,2,fcfs,-1
96,3,fcfs,-1
97,3,fcfs,-1
98,3,fcfs,-1
99,3,fcfs,-1
100,3,fcfs,-1
101,3,fcfs,-1
102,3,fcfs,-1
103,3,fcfs,-1
104,3,fcfs,-1
105,3,fcfs,-1
106,3,fcfs,-1
107,3,fcfs,-1
108,3,fcfs,-1
109,3,fcfs,-1
110,3,fcfs,-1
111,3,fcfs,-1
112,3,fcfs,-1
113,3,fcfs,-1
114,3,fcfs,-1
115,3,fcfs,-1
116,3,fcfs,-1
117,3,fcfs,-1
118,3,fcfs,-1
119,3,fcfs,-1
120,3,fcfs,-1
121,3,fcfs,-1
122,3,fcfs,-1
123,3,fcfs,-1
124,3,fcfs,-1
125,3,fcfs,-1
126,3,fcfs,-1
127,3,fcfs,-1
128,3,fcfs,-1
129,3,fcfs,-1
130,3,fcfs,-1
131,3,fcfs,-1
132,3,fcfs,-1
133,3,fcfs,-1
134,3,fcfs,-1
135,3,fcfs,-1
136,3,fcfs,-1
137,3,fcfs,-1
138,3,fcfs,-1
139,3,fcfs,-1
140,3,fcfs,-1
141,3,fcfs,-1
142,3,fcfs,-1
143,3,fcfs,-1
144,3,fcfs,-1
145,3,fcfs,-1
146,3,fcfs,-1
147,4,fcfs,-1
148,4,fcfs,-1
149,4,fcfs,-1
150,4,fcfs,-1
151,4,fcfs,-1
152,4,fcfs,-1
153,4,fcfs,-1
154,4,fcfs,-1
155,4,fcfs,-1
156,4,fcfs,-1
157,4,fcfs,-1
158,4,fcfs,-1
159,4,fcfs,-1
160,4,fcfs,-1
161,4,fcfs,-1
162,4,fcfs,-1
163,4,fcfs,-1
164,4,fcfs,-1
165,4,fcfs,-1
166,4,fcfs,-1
167,4,fcfs,-1
168,4,fcfs,-1
169,4,fcfs,-1
170,4,fcfs,-1
171,4,fcfs,-1
172,4,fcfs,-1
173,4,fcfs,-1
174,4,fcfs,-1
175,4,fcfs,-1
176,4,fcfs,-1
177,4,fcfs,-1
178,4,fcfs,-1
179,4,fcfs,-1
180,4,fcfs,-1
181,4,fcfs,-1
182,4,fcfs,-1
183,4,fcfs,-1
184,4,fcfs,-1
185,4,fcfs,-1
186,4,fcfs,-1
187,4,fcfs,-1
188,4,fcfs,-1
189,5,fcfs,-1
190,5,fcfs,-1
191,5,fcfs,-1
192,6,fcfs,-1
193,6,fcfs,-1
194,7,fcfs,-1
195,7,fcfs,-1
196,8,fcfs,-1
197,9,fcfs,-1
198,9,fcfs,-1
199,9,fcfs,-1
200,10,fcfs,-1
201,10,fcfs,-1
202,11,fcfs,-1
203,12,fcfs,-1
204,12,fcfs,-1
205,12,fcfs,-1
206,12,fcfs,-1
207,13,fcfs,-1
208,13,fcfs,-1
209,13,fcfs,-1
210,14,fcfs,-1
211,14,fcfs,-1
212,15,fcfs,-1
213,16,fcfs,-1
214,17,fcfs,-1
215,17,fcfs,-1
216,17,fcfs,-1
217,18,fcfs,-1
218,18,fcfs,-1
219,18,fcfs,-1
220,19,fcfs,-1
221,20,fcfs,-1
222,20,fcfs,-1
223,20,fcfs,-1
224,21,fcfs,-1
225,21,fcfs,-1
226,21,fcfs,-1
227,21,fcfs,-1
228,22,fcfs,-1
229,22,fcfs,-1
230,22,fcfs,-1
231,23,fcfs,-1
232,23,fcfs,-1
233,23,fcfs,-1
234,24,fcfs,-1
235,24,fcfs,-1
236,25,fcfs,-1
237,25,fcfs,-1
238,25,fcfs,-1
239,25,fcfs,-1
240,26,fcfs,-1
241,27,fcfs,-1
242,27,fcfs,-1
243,28,fcfs,-1
244,28,fcfs,-1
245,28,fcfs,-1
246,28,fcfs,-1
247,29,fcfs,-1
248,29,fcfs,-1
249,30,fcfs,-1
250,30,fcfs,-1
251,30,fcfs,-1
252,30,fcfs,-1
