time,pid,algorithm,queue
0,-1,mlfq,-1
1,-1,mlfq,-1
2,-1,mlfq,-1
3,-1,mlfq,-1
4,-1,mlfq,-1
5,-1,mlfq,-1
6,-1,mlfq,-1
7,4,mlfq,0
8,4,mlfq,0
9,14,mlfq,0
10,14,mlfq,0
11,4,mlfq,1
12,4,mlfq,1
13,4,mlfq,1
14,4,mlfq,1
15,28,mlfq,0
16,28,mlfq,0
17,26,mlfq,0
18,26,mlfq,0
19,2,mlfq,0
20,2,mlfq,0
21,13,mlfq,0
22,13,mlfq,0
23,3,mlfq,0
24,5,mlfq,0
25,5,mlfq,0
26,10,mlfq,0
27,10,mlfq,0
28,25,mlfq,0
29,19,mlfq,0
30,19,mlfq,0
31,20,mlfq,0
32,20,mlfq,0
33,11,mlfq,0
34,11,mlfq,0
35,24,mlfq,0
36,24,mlfq,0
37,18,mlfq,0
38,18,mlfq,0
39,14,mlfq,0
40,14,mlfq,0
41,9,mlfq,0
42,9,mlfq,0
43,15,mlfq,0
44,15,mlfq,0
45,8,mlfq,0
46,23,mlfq,0
47,23,mlfq,0
48,12,mlfq,0
49,21,mlfq,0
50,21,mlfq,0
51,22,mlfq,0
52,22,mlfq,0
53,27,mlfq,0
54,27,mlfq,0
55,28,mlfq,0
56,28,mlfq,0
57,1,mlfq,0
58,1,mlfq,0
59,6,mlfq,0
60,6,mlfq,0
61,7,mlfq,0
62,26,mlfq,0
63,26,mlfq,0
64,2,mlfq,0
65,2,mlfq,0
66,16,mlfq,0
67,16,mlfq,0
68,17,mlfq,0
69,17,mlfq,0
70,30,mlfq,0
71,30,mlfq,0
72,5,mlfq,0
73,5,mlfq,0
74,29,mlfq,0
75,29,mlfq,0
76,10,mlfq,0
77,10,mlfq,0
78,19,mlfq,0
79,19,mlfq,0
80,20,mlfq,0
81,20,mlfq,0
82,11,mlfq,0
83,11,mlfq,0
84,4,mlfq,0
85,4,mlfq,0
86,24,mlfq,0
87,24,mlfq,0
88,18,mlfq,0
89,18,mlfq,0
90,14,mlfq,0
91,9,mlfq,0
92,15,mlfq,0
93,15,mlfq,0
94,23,mlfq,0
95,23,mlfq,0
96,21,mlfq,0
97,21,mlfq,0
98,22,mlfq,0
99,22,mlfq,0
100,27,mlfq,0
101,27,mlfq,0
102,28,mlfq,0
103,28,mlfq,0
104,1,mlfq,0
105,1,mlfq,0
106,6,mlfq,0
107,6,mlfq,0
108,2,mlfq,0
109,2,mlfq,0
110,16,mlfq,0
111,16,mlfq,0
112,17,mlfq,0
113,17,mlfq,0
114,30,mlfq,0
115,30,mlfq,0
116,5,mlfq,0
117,5,mlfq,0
118,29,mlfq,0
119,29,mlfq,0
120,19,mlfq,0
121,19,mlfq,0
122,20,mlfq,0
123,11,mlfq,0
124,11,mlfq,0
125,4,mlfq,0
126,24,mlfq,0
127,24,mlfq,0
128,15,mlfq,0
129,15,mlfq,0
130,23,mlfq,0
131,23,mlfq,0
132,21,mlfq,0
133,21,mlfq,0
134,22,mlfq,0
135,22,mlfq,0
136,27,mlfq,0
137,28,mlfq,0
138,28,mlfq,0
139,6,mlfq,0
140,6,mlfq,0
141,2,mlfq,0
142,16,mlfq,0
143,17,mlfq,0
144,17,mlfq,0
145,30,mlfq,0
146,30,mlfq,0
147,5,mlfq,0
148,5,mlfq,0
149,29,mlfq,0
150,29,mlfq,0
151,19,mlfq,0
152,19,mlfq,0
153,11,mlfq,0
154,11,mlfq,0
155,24,mlfq,0
156,24,mlfq,0
157,28,mlfq,1
158,6,mlfq,1
159,6,mlfq,1
160,6,mlfq,1
161,17,mlfq,1
162,17,mlfq,1
163,17,mlfq,1
164,29,mlfq,1
165,29,mlfq,1
166,29,mlfq,1
167,19,mlfq,1
168,11,mlfq,1
169,24,mlfq,1
170,24,mlfq,1
