time,pid,algorithm,queue
0,1,mlfq,0
1,1,mlfq,0
2,18,mlfq,0
3,18,mlfq,0
4,2,mlfq,0
5,2,mlfq,0
6,26,mlfq,0
7,26,mlfq,0
8,4,mlfq,0
9,4,mlfq,0
10,11,mlfq,0
11,11,mlfq,0
12,7,mlfq,0
13,7,mlfq,0
14,20,mlfq,0
15,20,mlfq,0
16,21,mlfq,0
17,21,mlfq,0
18,14,mlfq,0
19,14,mlfq,0
20,19,mlfq,0
21,19,mlfq,0
22,29,mlfq,0
23,29,mlfq,0
24,9,mlfq,0
25,9,mlfq,0
26,5,mlfq,0
27,5,mlfq,0
28,22,mlfq,0
29,22,mlfq,0
30,17,mlfq,0
31,17,mlfq,0
32,23,mlfq,0
33,23,mlfq,0
34,25,mlfq,0
35,25,mlfq,0
36,27,mlfq,0
37,27,mlfq,0
38,15,mlfq,0
39,15,mlfq,0
40,30,mlfq,0
41,30,mlfq,0
42,8,mlfq,0
43,8,mlfq,0
44,10,mlfq,0
45,10,mlfq,0
46,13,mlfq,0
47,13,mlfq,0
48,28,mlfq,0
49,28,mlfq,0
50,16,mlfq,0
51,16,mlfq,0
52,24,mlfq,0
53,24,mlfq,0
54,3,mlfq,0
55,3,mlfq,0
56,6,mlfq,0
57,6,mlfq,0
58,12,mlfq,0
59,12,mlfq,0
60,1,mlfq,0
61,1,mlfq,0
62,18,mlfq,0
63,18,mlfq,0
64,2,mlfq,0
65,2,mlfq,0
66,26,mlfq,0
67,26,mlfq,0
68,4,mlfq,0
69,4,mlfq,0
70,11,mlfq,0
71,11,mlfq,0
72,7,mlfq,0
73,7,mlfq,0
74,20,mlfq,0
75,20,mlfq,0
76,21,mlfq,0
77,21,mlfq,0
78,14,mlfq,0
79,14,mlfq,0
80,19,mlfq,0
81,19,mlfq,0
82,29,mlfq,0
83,29,mlfq,0
84,9,mlfq,0
85,9,mlfq,0
86,5,mlfq,0
87,5,mlfq,0
88,22,mlfq,0
89,22,mlfq,0
90,17,mlfq,0
91,17,mlfq,0
92,23,mlfq,0
93,23,mlfq,0
94,25,mlfq,0
95,25,mlfq,0
96,27,mlfq,0
97,27,mlfq,0
98,15,mlfq,0
99,15,mlfq,0
100,30,mlfq,0
101,30,mlfq,0
102,8,mlfq,0
103,8,mlfq,0
104,10,mlfq,0
105,10,mlfq,0
106,13,mlfq,0
107,13,mlfq,0
108,28,mlfq,0
109,28,mlfq,0
110,16,mlfq,0
111,16,mlfq,0
112,24,mlfq,0
113,24,mlfq,0
114,3,mlfq,0
115,3,mlfq,0
116,6,mlfq,0
117,6,mlfq,0
118,12,mlfq,0
119,12,mlfq,0
120,1,mlfq,0
121,1,mlfq,0
122,18,mlfq,0
123,18,mlfq,0
124,2,mlfq,0
125,2,mlfq,0
126,26,mlfq,0
127,26,mlfq,0
128,4,mlfq,0
129,4,mlfq,0
130,11,mlfq,0
131,11,mlfq,0
132,7,mlfq,0
133,7,mlfq,0
134,20,mlfq,0
135,20,mlfq,0
136,21,mlfq,0
137,21,mlfq,0
138,14,mlfq,0
139,14,mlfq,0
140,19,mlfq,0
141,19,mlfq,0
142,29,mlfq,0
143,29,mlfq,0
144,9,mlfq,0
145,9,mlfq,0
146,5,mlfq,0
147,5,mlfq,0
148,22,mlfq,0
149,22,mlfq,0
150,17,mlfq,0
151,17,mlfq,0
152,23,mlfq,0
153,23,mlfq,0
154,25,mlfq,0
155,25,mlfq,0
156,27,mlfq,0
157,27,mlfq,0
158,15,mlfq,0
159,15,mlfq,0
160,30,mlfq,0
161,30,mlfq,0
162,8,mlfq,0
163,8,mlfq,0
164,10,mlfq,0
165,10,mlfq,0
166,13,mlfq,0
167,13,mlfq,0
168,28,mlfq,0
169,28,mlfq,0
170,16,mlfq,0
171,16,mlfq,0
172,24,mlfq,0
173,24,mlfq,0
174,3,mlfq,0
175,3,mlfq,0
176,6,mlfq,0
177,6,mlfq,0
178,12,mlfq,0
179,12,mlfq,0
180,1,mlfq,0
181,1,mlfq,0
182,18,mlfq,0
183,18,mlfq,0
184,2,mlfq,0
185,2,mlfq,0
186,26,mlfq,0
187,26,mlfq,0
188,4,mlfq,0
189,4,mlfq,0
190,11,mlfq,0
191,11,mlfq,0
192,7,mlfq,0
193,7,mlfq,0
194,20,mlfq,0
195,20,mlfq,0
196,21,mlfq,0
197,21,mlfq,0
198,14,mlfq,0
199,14,mlfq,0
200,19,mlfq,0
201,19,mlfq,0
202,29,mlfq,0
203,29,mlfq,0
204,9,mlfq,0
205,9,mlfq,0
206,5,mlfq,0
207,5,mlfq,0
208,22,mlfq,0
209,22,mlfq,0
210,17,mlfq,0
211,17,mlfq,0
212,23,mlfq,0
213,23,mlfq,0
214,25,mlfq,0
215,25,mlfq,0
216,27,mlfq,0
217,27,mlfq,0
218,15,mlfq,0
219,15,mlfq,0
220,30,mlfq,0
221,30,mlfq,0
222,8,mlfq,0
223,8,mlfq,0
224,10,mlfq,0
225,10,mlfq,0
226,13,mlfq,0
227,13,mlfq,0
228,28,mlfq,0
229,28,mlfq,0
230,16,mlfq,0
231,16,mlfq,0
232,24,mlfq,0
233,24,mlfq,0
234,3,mlfq,0
235,3,mlfq,0
236,6,mlfq,0
237,6,mlfq,0
238,12,mlfq,0
239,12,mlfq,0
240,1,mlfq,0
241,1,mlfq,0
242,18,mlfq,0
243,18,mlfq,0
244,2,mlfq,0
245,2,mlfq,0
246,26,mlfq,0
247,26,mlfq,0
248,4,mlfq,0
249,4,mlfq,0
250,11,mlfq,0
251,11,mlfq,0
252,7,mlfq,0
253,7,mlfq,0
254,20,mlfq,0
255,20,mlfq,0
256,21,mlfq,0
257,21,mlfq,0
258,14,mlfq,0
259,14,mlfq,0
260,19,mlfq,0
261,19,mlfq,0
262,29,mlfq,0
263,29,mlfq,0
264,9,mlfq,0
265,9,mlfq,0
266,5,mlfq,0
267,5,mlfq,0
268,22,mlfq,0
269,22,mlfq,0
270,17,mlfq,0
271,17,mlfq,0
272,23,mlfq,0
273,23,mlfq,0
274,25,mlfq,0
275,25,mlfq,0
276,27,mlfq,0
277,27,mlfq,0
278,15,mlfq,0
279,15,mlfq,0
280,30,mlfq,0
281,30,mlfq,0
282,8,mlfq,0
283,8,mlfq,0
284,10,mlfq,0
285,10,mlfq,0
286,13,mlfq,0
287,13,mlfq,0
288,28,mlfq,0
289,28,mlfq,0
290,16,mlfq,0
291,16,mlfq,0
292,24,mlfq,0
293,24,mlfq,0
294,3,mlfq,0
295,3,mlfq,0
296,6,mlfq,0
297,6,mlfq,0
298,12,mlfq,0
299,12,mlfq,0
300,1,mlfq,0
301,1,mlfq,0
302,18,mlfq,0
303,18,mlfq,0
304,2,mlfq,0
305,2,mlfq,0
306,26,mlfq,0
307,26,mlfq,0
308,4,mlfq,0
309,4,mlfq,0
310,11,mlfq,0
311,11,mlfq,0
312,7,mlfq,0
313,7,mlfq,0
314,20,mlfq,0
315,20,mlfq,0
316,21,mlfq,0
317,21,mlfq,0
318,14,mlfq,0
319,14,mlfq,0
320,19,mlfq,0
321,19,mlfq,0
322,29,mlfq,0
323,29,mlfq,0
324,9,mlfq,0
325,9,mlfq,0
326,5,mlfq,0
327,5,mlfq,0
328,22,mlfq,0
329,22,mlfq,0
330,17,mlfq,0
331,17,mlfq,0
332,23,mlfq,0
333,23,mlfq,0
334,25,mlfq,0
335,25,mlfq,0
336,27,mlfq,0
337,27,mlfq,0
338,15,mlfq,0
339,15,mlfq,0
340,30,mlfq,0
341,30,mlfq,0
342,8,mlfq,0
343,8,mlfq,0
344,10,mlfq,0
345,10,mlfq,0
346,13,mlfq,0
347,13,mlfq,0
348,28,mlfq,0
349,28,mlfq,0
350,16,mlfq,0
351,16,mlfq,0
352,24,mlfq,0
353,24,mlfq,0
354,3,mlfq,0
355,3,mlfq,0
356,6,mlfq,0
357,6,mlfq,0
358,12,mlfq,0
359,12,mlfq,0
360,1,mlfq,0
361,1,mlfq,0
362,18,mlfq,0
363,18,mlfq,0
364,2,mlfq,0
365,2,mlfq,0
366,26,mlfq,0
367,26,mlfq,0
368,4,mlfq,0
369,4,mlfq,0
370,11,mlfq,0
371,11,mlfq,0
372,7,mlfq,0
373,7,mlfq,0
374,20,mlfq,0
375,20,mlfq,0
376,21,mlfq,0
377,21,mlfq,0
378,14,mlfq,0
379,14,mlfq,0
380,19,mlfq,0
381,19,mlfq,0
382,29,mlfq,0
383,29,mlfq,0
384,9,mlfq,0
385,9,mlfq,0
386,5,mlfq,0
387,5,mlfq,0
388,22,mlfq,0
389,22,mlfq,0
390,17,mlfq,0
391,17,mlfq,0
392,23,mlfq,0
393,23,mlfq,0
394,25,mlfq,0
395,25,mlfq,0
396,27,mlfq,0
397,27,mlfq,0
398,15,mlfq,0
399,15,mlfq,0
400,30,mlfq,0
401,30,mlfq,0
402,8,mlfq,0
403,8,mlfq,0
404,10,mlfq,0
405,10,mlfq,0
406,13,mlfq,0
407,13,mlfq,0
408,28,mlfq,0
409,28,mlfq,0
410,16,mlfq,0
411,16,mlfq,0
412,24,mlfq,0
413,24,mlfq,0
414,3,mlfq,0
415,3,mlfq,0
416,6,mlfq,0
417,6,mlfq,0
418,12,mlfq,0
419,12,mlfq,0
420,1,mlfq,0
421,1,mlfq,0
422,18,mlfq,0
423,18,mlfq,0
424,2,mlfq,0
425,2,mlfq,0
426,26,mlfq,0
427,26,mlfq,0
428,4,mlfq,0
429,4,mlfq,0
430,11,mlfq,0
431,11,mlfq,0
432,7,mlfq,0
433,7,mlfq,0
434,20,mlfq,0
435,20,mlfq,0
436,21,mlfq,0
437,21,mlfq,0
438,14,mlfq,0
439,14,mlfq,0
440,19,mlfq,0
441,19,mlfq,0
442,29,mlfq,0
443,29,mlfq,0
444,9,mlfq,0
445,9,mlfq,0
446,5,mlfq,0
447,5,mlfq,0
448,22,mlfq,0
449,22,mlfq,0
450,17,mlfq,0
451,17,mlfq,0
452,23,mlfq,0
453,23,mlfq,0
454,25,mlfq,0
455,25,mlfq,0
456,27,mlfq,0
457,27,mlfq,0
458,15,mlfq,0
459,15,mlfq,0
460,30,mlfq,0
461,30,mlfq,0
462,8,mlfq,0
463,8,mlfq,0
464,10,mlfq,0
465,10,mlfq,0
466,13,mlfq,0
467,13,mlfq,0
468,28,mlfq,0
469,28,mlfq,0
470,16,mlfq,0
471,16,mlfq,0
472,24,mlfq,0
473,24,mlfq,0
474,3,mlfq,0
475,3,mlfq,0
476,6,mlfq,0
477,6,mlfq,0
478,12,mlfq,0
479,12,mlfq,0
480,1,mlfq,0
481,1,mlfq,0
482,18,mlfq,0
483,18,mlfq,0
484,2,mlfq,0
485,2,mlfq,0
486,26,mlfq,0
487,26,mlfq,0
488,4,mlfq,0
489,4,mlfq,0
490,11,mlfq,0
491,11,mlfq,0
492,7,mlfq,0
493,7,mlfq,0
494,20,mlfq,0
495,20,mlfq,0
496,21,mlfq,0
497,21,mlfq,0
498,14,mlfq,0
499,14,mlfq,0
500,19,mlfq,0
501,19,mlfq,0
502,29,mlfq,0
503,29,mlfq,0
504,9,mlfq,0
505,9,mlfq,0
506,5,mlfq,0
507,5,mlfq,0
508,22,mlfq,0
509,22,mlfq,0
510,17,mlfq,0
511,17,mlfq,0
512,23,mlfq,0
513,23,mlfq,0
514,25,mlfq,0
515,25,mlfq,0
516,27,mlfq,0
517,27,mlfq,0
518,15,mlfq,0
519,15,mlfq,0
520,30,mlfq,0
521,30,mlfq,0
522,8,mlfq,0
523,8,mlfq,0
524,10,mlfq,0
525,10,mlfq,0
526,13,mlfq,0
