time,pid,algorithm,queue
0,-1,mlfq,-1
1,-1,mlfq,-1
2,9,mlfq,0
3,9,mlfq,0
4,20,mlfq,0
5,20,mlfq,0
6,8,mlfq,0
7,8,mlfq,0
8,9,mlfq,1
9,9,mlfq,1
10,9,mlfq,1
11,9,mlfq,1
12,1,mlfq,0
13,10,mlfq,0
14,10,mlfq,0
15,5,mlfq,0
16,5,mlfq,0
17,6,mlfq,0
18,6,mlfq,0
19,14,mlfq,0
20,14,mlfq,0
21,3,mlfq,0
22,3,mlfq,0
23,2,mlfq,0
24,2,mlfq,0
25,16,mlfq,0
26,16,mlfq,0
27,24,mlfq,0
28,24,mlfq,0
29,11,mlfq,0
30,11,mlfq,0
31,17,mlfq,0
32,17,mlfq,0
33,21,mlfq,0
34,21,mlfq,0
35,20,mlfq,0
36,20,mlfq,0
37,8,mlfq,0
38,8,mlfq,0
39,22,mlfq,0
40,22,mlfq,0
41,29,mlfq,0
42,29,mlfq,0
43,10,mlfq,0
44,10,mlfq,0
45,12,mlfq,0
46,12,mlfq,0
47,28,mlfq,0
48,28,mlfq,0
49,5,mlfq,0
50,5,mlfq,0
51,18,mlfq,0
52,18,mlfq,0
53,26,mlfq,0
54,26,mlfq,0
55,6,mlfq,0
56,6,mlfq,0
57,14,mlfq,0
58,14,mlfq,0
59,23,mlfq,0
60,23,mlfq,0
61,7,mlfq,0
62,7,mlfq,0
63,27,mlfq,0
64,27,mlfq,0
65,30,mlfq,0
66,30,mlfq,0
67,3,mlfq,0
68,3,mlfq,0
69,13,mlfq,0
70,13,mlfq,0
71,19,mlfq,0
72,19,mlfq,0
73,2,mlfq,0
74,2,mlfq,0
75,15,mlfq,0
76,15,mlfq,0
77,16,mlfq,0
78,16,mlfq,0
79,25,mlfq,0
80,25,mlfq,0
81,24,mlfq,0
82,24,mlfq,0
83,4,mlfq,0
84,4,mlfq,0
85,11,mlfq,0
86,11,mlfq,0
87,9,mlfq,0
88,9,mlfq,0
89,17,mlfq,0
90,17,mlfq,0
91,21,mlfq,0
92,21,mlfq,0
93,20,mlfq,0
94,20,mlfq,0
95,8,mlfq,0
96,8,mlfq,0
97,22,mlfq,0
98,22,mlfq,0
99,29,mlfq,0
100,29,mlfq,0
101,12,mlfq,0
102,12,mlfq,0
103,5,mlfq,0
104,5,mlfq,0
105,18,mlfq,0
106,18,mlfq,0
107,26,mlfq,0
108,26,mlfq,0
109,6,mlfq,0
110,6,mlfq,0
111,14,mlfq,0
112,14,mlfq,0
113,23,mlfq,0
114,23,mlfq,0
115,7,mlfq,0
116,27,mlfq,0
117,27,mlfq,0
118,30,mlfq,0
119,30,mlfq,0
120,3,mlfq,0
121,3,mlfq,0
122,13,mlfq,0
123,13,mlfq,0
124,19,mlfq,0
125,19,mlfq,0
126,2,mlfq,0
127,2,mlfq,0
128,15,mlfq,0
129,15,mlfq,0
130,24,mlfq,0
131,24,mlfq,0
132,4,mlfq,0
133,4,mlfq,0
134,11,mlfq,0
135,11,mlfq,0
136,9,mlfq,0
137,9,mlfq,0
138,17,mlfq,0
139,17,mlfq,0
140,21,mlfq,0
141,21,mlfq,0
142,20,mlfq,0
143,20,mlfq,0
144,8,mlfq,0
145,22,mlfq,0
146,22,mlfq,0
147,29,mlfq,0
148,29,mlfq,0
149,12,mlfq,0
150,12,mlfq,0
151,5,mlfq,0
