time,pid,algorithm,queue
0,1,mlfq,0
1,1,mlfq,0
2,18,mlfq,0
3,18,mlfq,0
4,2,mlfq,0
5,2,mlfq,0
6,26,mlfq,0
7,26,mlfq,0
8,4,mlfq,0
9,4,mlfq,0
10,11,mlfq,0
11,11,mlfq,0
12,7,mlfq,0
13,7,mlfq,0
14,20,mlfq,0
15,20,mlfq,0
16,21,mlfq,0
17,21,mlfq,0
18,14,mlfq,0
19,14,mlfq,0
20,19,mlfq,0
21,29,mlfq,0
22,29,mlfq,0
23,9,mlfq,0
24,9,mlfq,0
25,5,mlfq,0
26,5,mlfq,0
27,22,mlfq,0
28,22,mlfq,0
29,17,mlfq,0
30,23,mlfq,0
31,23,mlfq,0
32,25,mlfq,0
33,25,mlfq,0
34,27,mlfq,0
35,27,mlfq,0
36,15,mlfq,0
37,15,mlfq,0
38,30,mlfq,0
39,30,mlfq,0
40,8,mlfq,0
41,10,mlfq,0
42,10,mlfq,0
43,13,mlfq,0
44,13,mlfq,0
45,28,mlfq,0
46,16,mlfq,0
47,16,mlfq,0
48,24,mlfq,0
49,24,mlfq,0
50,3,mlfq,0
51,3,mlfq,0
52,6,mlfq,0
53,6,mlfq,0
54,12,mlfq,0
55,18,mlfq,0
56,18,mlfq,0
57,2,mlfq,0
58,26,mlfq,0
59,26,mlfq,0
60,4,mlfq,0
61,11,mlfq,0
62,11,mlfq,0
63,7,mlfq,0
64,7,mlfq,0
65,20,mlfq,0
66,20,mlfq,0
67,21,mlfq,0
68,21,mlfq,0
69,14,mlfq,0
70,29,mlfq,0
71,29,mlfq,0
72,9,mlfq,0
73,5,mlfq,0
74,5,mlfq,0
75,23,mlfq,0
76,23,mlfq,0
77,25,mlfq,0
78,25,mlfq,0
79,27,mlfq,0
80,27,mlfq,0
81,15,mlfq,0
82,15,mlfq,0
83,13,mlfq,0
84,13,mlfq,0
85,16,mlfq,0
86,16,mlfq,0
87,24,mlfq,0
88,24,mlfq,0
89,3,mlfq,0
90,6,mlfq,0
91,11,mlfq,0
92,7,mlfq,0
93,20,mlfq,0
94,29,mlfq,0
95,5,mlfq,0
96,5,mlfq,0
97,25,mlfq,1
98,27,mlfq,1
99,15,mlfq,1
100,15,mlfq,1
101,13,mlfq,1
102,13,mlfq,1
103,16,mlfq,1
