time,pid,algorithm,queue
0,1,mlfq,0
1,1,mlfq,0
2,2,mlfq,0
3,2,mlfq,0
4,3,mlfq,0
5,3,mlfq,0
6,4,mlfq,0
7,4,mlfq,0
8,5,mlfq,0
9,5,mlfq,0
10,6,mlfq,0
11,6,mlfq,0
12,7,mlfq,0
13,7,mlfq,0
14,8,mlfq,0
15,9,mlfq,0
16,9,mlfq,0
17,10,mlfq,0
18,10,mlfq,0
19,11,mlfq,0
20,12,mlfq,0
21,12,mlfq,0
22,13,mlfq,0
23,13,mlfq,0
24,14,mlfq,0
25,14,mlfq,0
26,15,mlfq,0
27,16,mlfq,0
28,17,mlfq,0
29,17,mlfq,0
30,18,mlfq,0
31,18,mlfq,0
32,19,mlfq,0
33,20,mlfq,0
34,20,mlfq,0
35,21,mlfq,0
36,21,mlfq,0
37,22,mlfq,0
38,22,mlfq,0
39,23,mlfq,0
40,23,mlfq,0
41,1,mlfq,0
42,1,mlfq,0
43,24,mlfq,0
44,24,mlfq,0
45,25,mlfq,0
46,25,mlfq,0
47,2,mlfq,0
48,2,mlfq,0
49,26,mlfq,0
50,27,mlfq,0
51,27,mlfq,0
52,3,mlfq,0
53,3,mlfq,0
54,28,mlfq,0
55,28,mlfq,0
56,29,mlfq,0
57,29,mlfq,0
58,4,mlfq,0
59,4,mlfq,0
60,30,mlfq,0
61,30,mlfq,0
62,5,mlfq,0
63,9,mlfq,0
64,12,mlfq,0
65,12,mlfq,0
66,13,mlfq,0
67,17,mlfq,0
68,18,mlfq,0
69,20,mlfq,0
70,21,mlfq,0
71,21,mlfq,0
72,22,mlfq,0
73,23,mlfq,0
74,1,mlfq,0
75,1,mlfq,0
76,25,mlfq,0
77,25,mlfq,0
78,2,mlfq,0
79,2,mlfq,0
80,3,mlfq,0
81,3,mlfq,0
82,28,mlfq,0
83,28,mlfq,0
84,4,mlfq,0
85,4,mlfq,0
86,30,mlfq,0
87,30,mlfq,0
88,1,mlfq,1
89,1,mlfq,1
90,1,mlfq,1
91,1,mlfq,1
92,2,mlfq,1
93,2,mlfq,1
94,2,mlfq,1
95,2,mlfq,1
96,3,mlfq,1
97,3,mlfq,1
98,3,mlfq,1
99,3,mlfq,1
100,4,mlfq,1
101,4,mlfq,1
102,4,mlfq,1
103,4,mlfq,1
104,1,mlfq,2
105,1,mlfq,2
106,1,mlfq,2
107,1,mlfq,2
108,1,mlfq,2
109,1,mlfq,2
110,1,mlfq,2
111,1,mlfq,2
112,2,mlfq,2
113,2,mlfq,2
114,2,mlfq,2
115,2,mlfq,2
116,2,mlfq,2
117,2,mlfq,2
118,2,mlfq,2
119,2,mlfq,2
120,3,mlfq,1
121,3,mlfq,1
122,3,mlfq,1
123,3,mlfq,1
124,4,mlfq,1
125,4,mlfq,1
126,4,mlfq,1
127,4,mlfq,1
128,3,mlfq,2
129,3,mlfq,2
130,3,mlfq,2
131,3,mlfq,2
132,3,mlfq,2
133,3,mlfq,2
134,3,mlfq,2
135,3,mlfq,2
136,4,mlfq,2
137,4,mlfq,2
138,4,mlfq,2
139,4,mlfq,2
140,4,mlfq,2
141,4,mlfq,2
142,4,mlfq,2
143,4,mlfq,2
144,1,mlfq,2
145,1,mlfq,2
146,1,mlfq,2
147,1,mlfq,2
148,1,mlfq,2
149,1,mlfq,2
150,1,mlfq,2
151,1,mlfq,2
152,2,mlfq,2
153,2,mlfq,2
154,2,mlfq,2
155,2,mlfq,2
156,2,mlfq,2
157,2,mlfq,2
158,2,mlfq,2
159,2,mlfq,2
160,3,mlfq,2
161,3,mlfq,2
162,3,mlfq,2
163,3,mlfq,2
164,3,mlfq,2
165,3,mlfq,2
166,3,mlfq,2
167,3,mlfq,2
168,4,mlfq,2
169,4,mlfq,2
170,4,mlfq,2
171,4,mlfq,2
172,4,mlfq,2
173,4,mlfq,2
174,4,mlfq,2
175,4,mlfq,2
176,1,mlfq,2
177,1,mlfq,2
178,1,mlfq,2
179,1,mlfq,2
180,1,mlfq,2
181,1,mlfq,2
182,1,mlfq,2
183,1,mlfq,2
184,2,mlfq,2
185,2,mlfq,2
186,2,mlfq,2
187,2,mlfq,2
188,2,mlfq,2
189,2,mlfq,2
190,2,mlfq,2
191,2,mlfq,2
192,3,mlfq,2
193,3,mlfq,2
194,3,mlfq,2
195,3,mlfq,2
196,3,mlfq,2
197,3,mlfq,2
198,3,mlfq,2
199,3,mlfq,2
200,4,mlfq,2
201,4,mlfq,2
202,4,mlfq,2
203,4,mlfq,2
204,4,mlfq,2
205,4,mlfq,2
206,4,mlfq,2
207,4,mlfq,2
208,1,mlfq,2
209,1,mlfq,2
210,1,mlfq,2
211,1,mlfq,2
212,1,mlfq,2
213,1,mlfq,2
214,2,mlfq,2
215,2,mlfq,2
216,2,mlfq,2
217,2,mlfq,2
218,2,mlfq,2
219,2,mlfq,2
220,2,mlfq,2
221,2,mlfq,2
222,3,mlfq,2
223,3,mlfq,2
224,3,mlfq,2
225,3,mlfq,2
226,3,mlfq,2
227,3,mlfq,2
228,3,mlfq,2
229,3,mlfq,2
230,4,mlfq,2
231,4,mlfq,2
232,4,mlfq,2
233,4,mlfq,2
234,2,mlfq,3
235,2,mlfq,3
236,2,mlfq,3
237,2,mlfq,3
238,2,mlfq,3
239,2,mlfq,3
240,2,mlfq,3
241,2,mlfq,3
242,2,mlfq,3
243,2,mlfq,3
244,2,mlfq,3
245,2,mlfq,3
246,2,mlfq,3
247,2,mlfq,3
248,3,mlfq,3
249,3,mlfq,3
250,3,mlfq,3
251,3,mlfq,3
252,3,mlfq,3
