time,pid,algorithm,queue
0,6,rr,0
1,6,rr,0
2,6,rr,0
3,6,rr,0
4,2,rr,0
5,2,rr,0
6,2,rr,0
7,2,rr,0
8,4,rr,0
9,4,rr,0
10,4,rr,0
11,4,rr,0
12,1,rr,0
13,1,rr,0
14,1,rr,0
15,1,rr,0
16,3,rr,0
17,3,rr,0
18,3,rr,0
19,3,rr,0
20,5,rr,0
21,5,rr,0
22,5,rr,0
23,5,rr,0
24,6,rr,0
25,6,rr,0
26,6,rr,0
27,6,rr,0
28,7,rr,0
29,7,rr,0
30,8,rr,0
31,2,rr,0
32,2,rr,0
33,2,rr,0
34,2,rr,0
35,9,rr,0
36,9,rr,0
37,9,rr,0
38,10,rr,0
39,10,rr,0
40,10,rr,0
41,11,rr,0
42,11,rr,0
43,11,rr,0
44,4,rr,0
45,4,rr,0
46,4,rr,0
47,4,rr,0
48,12,rr,0
49,12,rr,0
50,13,rr,0
51,1,rr,0
52,1,rr,0
53,1,rr,0
54,1,rr,0
55,14,rr,0
56,14,rr,0
57,14,rr,0
58,14,rr,0
59,15,rr,0
60,15,rr,0
61,15,rr,0
62,15,rr,0
63,3,rr,0
64,3,rr,0
65,3,rr,0
66,3,rr,0
67,16,rr,0
68,17,rr,0
69,17,rr,0
70,17,rr,0
71,17,rr,0
72,5,rr,0
73,5,rr,0
74,5,rr,0
75,5,rr,0
76,18,rr,0
77,18,rr,0
78,18,rr,0
79,18,rr,0
80,19,rr,0
81,19,rr,0
82,6,rr,0
83,6,rr,0
84,6,rr,0
85,6,rr,0
86,20,rr,0
87,20,rr,0
88,21,rr,0
89,21,rr,0
90,22,rr,0
91,22,rr,0
92,22,rr,0
93,22,rr,0
94,23,rr,0
95,23,rr,0
96,2,rr,0
97,2,rr,0
98,2,rr,0
99,2,rr,0
100,24,rr,0
101,24,rr,0
102,24,rr,0
103,24,rr,0
104,25,rr,0
105,26,rr,0
106,26,rr,0
107,26,rr,0
108,27,rr,0
109,27,rr,0
110,27,rr,0
111,27,rr,0
112,28,rr,0
113,28,rr,0
114,28,rr,0
115,29,rr,0
116,29,rr,0
117,4,rr,0
118,4,rr,0
119,4,rr,0
120,4,rr,0
121,30,rr,0
122,1,rr,0
123,1,rr,0
124,1,rr,0
125,1,rr,0
126,3,rr,0
127,3,rr,0
128,3,rr,0
129,3,rr,0
130,5,rr,0
131,5,rr,0
132,5,rr,0
133,5,rr,0
134,6,rr,0
135,6,rr,0
136,6,rr,0
137,6,rr,0
138,2,rr,0
139,2,rr,0
140,2,rr,0
141,2,rr,0
142,4,rr,0
143,4,rr,0
144,4,rr,0
145,4,rr,0
146,1,rr,0
147,1,rr,0
148,1,rr,0
149,1,rr,0
150,3,rr,0
151,3,rr,0
152,3,rr,0
153,3,rr,0
154,5,rr,0
155,5,rr,0
156,5,rr,0
157,5,rr,0
158,6,rr,0
159,6,rr,0
160,6,rr,0
161,6,rr,0
162,2,rr,0
163,2,rr,0
164,2,rr,0
165,2,rr,0
166,4,rr,0
167,4,rr,0
168,4,rr,0
169,4,rr,0
170,1,rr,0
171,1,rr,0
172,1,rr,0
173,1,rr,0
174,3,rr,0
175,3,rr,0
176,3,rr,0
177,3,rr,0
178,5,rr,0
179,5,rr,0
180,5,rr,0
181,5,rr,0
182,6,rr,0
183,6,rr,0
184,6,rr,0
185,6,rr,0
186,2,rr,0
187,2,rr,0
188,2,rr,0
189,2,rr,0
190,4,rr,0
191,4,rr,0
192,4,rr,0
193,4,rr,0
194,1,rr,0
195,1,rr,0
196,1,rr,0
197,1,rr,0
198,3,rr,0
199,3,rr,0
200,3,rr,0
201,3,rr,0
202,5,rr,0
203,5,rr,0
204,5,rr,0
205,5,rr,0
206,6,rr,0
207,6,rr,0
208,6,rr,0
209,6,rr,0
210,2,rr,0
211,2,rr,0
212,2,rr,0
213,2,rr,0
214,4,rr,0
215,4,rr,0
216,4,rr,0
217,4,rr,0
218,1,rr,0
219,1,rr,0
220,1,rr,0
221,1,rr,0
222,3,rr,0
223,3,rr,0
224,3,rr,0
225,3,rr,0
226,5,rr,0
227,5,rr,0
228,5,rr,0
229,5,rr,0
230,6,rr,0
231,6,rr,0
232,6,rr,0
233,6,rr,0
234,2,rr,0
235,2,rr,0
236,2,rr,0
237,2,rr,0
238,4,rr,0
239,4,rr,0
240,4,rr,0
241,4,rr,0
242,1,rr,0
243,1,rr,0
244,1,rr,0
245,1,rr,0
246,3,rr,0
247,3,rr,0
248,3,rr,0
249,3,rr,0
250,5,rr,0
251,5,rr,0
252,5,rr,0
253,5,rr,0
254,6,rr,0
255,6,rr,0
256,6,rr,0
257,6,rr,0
258,2,rr,0
259,2,rr,0
260,2,rr,0
261,2,rr,0
262,4,rr,0
263,4,rr,0
264,4,rr,0
265,4,rr,0
266,1,rr,0
267,1,rr,0
268,1,rr,0
269,1,rr,0
270,3,rr,0
271,3,rr,0
272,3,rr,0
273,3,rr,0
274,5,rr,0
275,5,rr,0
276,5,rr,0
277,5,rr,0
278,6,rr,0
279,6,rr,0
280,6,rr,0
281,6,rr,0
282,2,rr,0
283,2,rr,0
284,2,rr,0
285,2,rr,0
286,4,rr,0
287,4,rr,0
288,4,rr,0
289,4,rr,0
290,1,rr,0
291,1,rr,0
292,1,rr,0
293,1,rr,0
294,3,rr,0
295,3,rr,0
296,3,rr,0
297,3,rr,0
298,5,rr,0
299,5,rr,0
300,5,rr,0
301,5,rr,0
302,6,rr,0
303,6,rr,0
304,6,rr,0
305,6,rr,0
306,2,rr,0
307,2,rr,0
308,2,rr,0
309,2,rr,0
310,4,rr,0
311,4,rr,0
312,4,rr,0
313,4,rr,0
314,1,rr,0
315,1,rr,0
316,1,rr,0
317,1,rr,0
318,3,rr,0
319,3,rr,0
320,3,rr,0
321,3,rr,0
322,5,rr,0
323,5,rr,0
324,5,rr,0
325,5,rr,0
326,6,rr,0
327,6,rr,0
328,6,rr,0
329,6,rr,0
330,2,rr,0
331,2,rr,0
332,2,rr,0
333,2,rr,0
334,4,rr,0
335,4,rr,0
336,4,rr,0
337,4,rr,0
338,1,rr,0
339,1,rr,0
340,1,rr,0
341,1,rr,0
342,3,rr,0
343,3,rr,0
344,3,rr,0
345,3,rr,0
346,5,rr,0
347,5,rr,0
348,5,rr,0
349,5,rr,0
350,6,rr,0
351,6,rr,0
352,6,rr,0
353,6,rr,0
354,2,rr,0
355,2,rr,0
356,2,rr,0
357,2,rr,0
358,4,rr,0
359,4,rr,0
360,4,rr,0
361,4,rr,0
362,1,rr,0
363,1,rr,0
364,1,rr,0
365,1,rr,0
366,3,rr,0
367,3,rr,0
368,3,rr,0
369,3,rr,0
370,5,rr,0
371,5,rr,0
372,5,rr,0
373,5,rr,0
374,6,rr,0
375,6,rr,0
376,6,rr,0
377,6,rr,0
378,2,rr,0
379,2,rr,0
380,2,rr,0
381,2,rr,0
382,4,rr,0
383,4,rr,0
384,4,rr,0
385,4,rr,0
386,1,rr,0
387,1,rr,0
388,1,rr,0
389,1,rr,0
390,3,rr,0
391,3,rr,0
392,3,rr,0
393,3,rr,0
394,5,rr,0
395,5,rr,0
396,5,rr,0
397,5,rr,0
398,6,rr,0
399,6,rr,0
400,6,rr,0
401,6,rr,0
402,4,rr,0
403,4,rr,0
404,4,rr,0
405,4,rr,0
406,1,rr,0
407,1,rr,0
408,1,rr,0
409,1,rr,0
410,3,rr,0
411,3,rr,0
412,3,rr,0
413,3,rr,0
414,5,rr,0
415,5,rr,0
416,5,rr,0
417,5,rr,0
418,6,rr,0
419,6,rr,0
420,6,rr,0
421,6,rr,0
422,4,rr,0
423,4,rr,0
424,4,rr,0
425,4,rr,0
426,1,rr,0
427,1,rr,0
428,1,rr,0
429,1,rr,0
430,3,rr,0
431,3,rr,0
432,3,rr,0
433,3,rr,0
434,5,rr,0
435,5,rr,0
436,5,rr,0
437,5,rr,0
438,6,rr,0
439,6,rr,0
440,6,rr,0
441,6,rr,0
