time,pid,algorithm,queue
0,-1,rr,-1
1,-1,rr,-1
2,-1,rr,-1
3,-1,rr,-1
4,-1,rr,-1
5,-1,rr,-1
6,-1,rr,-1
7,4,rr,0
8,4,rr,0
9,4,rr,0
10,4,rr,0
11,14,rr,0
12,14,rr,0
13,14,rr,0
14,14,rr,0
15,4,rr,0
16,4,rr,0
17,4,rr,0
18,4,rr,0
19,28,rr,0
20,28,rr,0
21,28,rr,0
22,28,rr,0
23,14,rr,0
24,26,rr,0
25,26,rr,0
26,26,rr,0
27,26,rr,0
28,2,rr,0
29,2,rr,0
30,2,rr,0
31,2,rr,0
32,13,rr,0
33,13,rr,0
34,4,rr,0
35,3,rr,0
36,5,rr,0
37,5,rr,0
38,5,rr,0
39,5,rr,0
40,10,rr,0
41,10,rr,0
42,10,rr,0
43,10,rr,0
44,25,rr,0
45,28,rr,0
46,28,rr,0
47,28,rr,0
48,28,rr,0
49,19,rr,0
50,19,rr,0
51,19,rr,0
52,19,rr,0
53,20,rr,0
54,20,rr,0
55,20,rr,0
56,20,rr,0
57,11,rr,0
58,11,rr,0
59,11,rr,0
60,11,rr,0
61,24,rr,0
62,24,rr,0
63,24,rr,0
64,24,rr,0
65,18,rr,0
66,18,rr,0
67,18,rr,0
68,18,rr,0
69,2,rr,0
70,2,rr,0
71,2,rr,0
72,9,rr,0
73,9,rr,0
74,9,rr,0
75,15,rr,0
76,15,rr,0
77,15,rr,0
78,15,rr,0
79,8,rr,0
80,23,rr,0
81,23,rr,0
82,23,rr,0
83,23,rr,0
84,12,rr,0
85,21,rr,0
86,21,rr,0
87,21,rr,0
88,21,rr,0
89,22,rr,0
90,22,rr,0
91,22,rr,0
92,22,rr,0
93,27,rr,0
94,27,rr,0
95,27,rr,0
96,27,rr,0
97,1,rr,0
98,1,rr,0
99,1,rr,0
100,1,rr,0
101,6,rr,0
102,6,rr,0
103,6,rr,0
104,6,rr,0
105,7,rr,0
106,5,rr,0
107,5,rr,0
108,5,rr,0
109,5,rr,0
110,16,rr,0
111,16,rr,0
112,16,rr,0
113,16,rr,0
114,17,rr,0
115,17,rr,0
116,17,rr,0
117,17,rr,0
118,30,rr,0
119,30,rr,0
120,30,rr,0
121,30,rr,0
122,29,rr,0
123,29,rr,0
124,29,rr,0
125,29,rr,0
126,28,rr,0
127,19,rr,0
128,19,rr,0
129,19,rr,0
130,19,rr,0
131,20,rr,0
132,11,rr,0
133,11,rr,0
134,11,rr,0
135,11,rr,0
136,24,rr,0
137,24,rr,0
138,24,rr,0
139,24,rr,0
140,15,rr,0
141,15,rr,0
142,23,rr,0
143,23,rr,0
144,21,rr,0
145,21,rr,0
146,22,rr,0
147,22,rr,0
148,27,rr,0
149,6,rr,0
150,6,rr,0
151,6,rr,0
152,6,rr,0
153,16,rr,0
154,17,rr,0
155,17,rr,0
156,17,rr,0
157,17,rr,0
158,30,rr,0
159,30,rr,0
160,29,rr,0
161,29,rr,0
162,29,rr,0
163,29,rr,0
164,19,rr,0
165,11,rr,0
166,24,rr,0
167,24,rr,0
168,6,rr,0
169,17,rr,0
170,29,rr,0
