time,pid,algorithm,queue
0,-1,rr,-1
1,-1,rr,-1
2,9,rr,0
3,9,rr,0
4,9,rr,0
5,9,rr,0
6,20,rr,0
7,20,rr,0
8,20,rr,0
9,20,rr,0
10,9,rr,0
11,9,rr,0
12,9,rr,0
13,9,rr,0
14,8,rr,0
15,8,rr,0
16,8,rr,0
17,8,rr,0
18,20,rr,0
19,20,rr,0
20,20,rr,0
21,20,rr,0
22,1,rr,0
23,10,rr,0
24,10,rr,0
25,10,rr,0
26,10,rr,0
27,5,rr,0
28,5,rr,0
29,5,rr,0
30,5,rr,0
31,6,rr,0
32,6,rr,0
33,6,rr,0
34,6,rr,0
35,14,rr,0
36,14,rr,0
37,14,rr,0
38,14,rr,0
39,9,rr,0
40,9,rr,0
41,9,rr,0
42,9,rr,0
43,3,rr,0
44,3,rr,0
45,3,rr,0
46,3,rr,0
47,2,rr,0
48,2,rr,0
49,2,rr,0
50,2,rr,0
51,8,rr,0
52,8,rr,0
53,8,rr,0
54,16,rr,0
55,16,rr,0
56,16,rr,0
57,16,rr,0
58,24,rr,0
59,24,rr,0
60,24,rr,0
61,24,rr,0
62,20,rr,0
63,20,rr,0
64,20,rr,0
65,20,rr,0
66,11,rr,0
67,11,rr,0
68,11,rr,0
69,11,rr,0
70,17,rr,0
71,17,rr,0
72,17,rr,0
73,17,rr,0
74,21,rr,0
75,21,rr,0
76,21,rr,0
77,21,rr,0
78,5,rr,0
79,5,rr,0
80,5,rr,0
81,5,rr,0
82,22,rr,0
83,22,rr,0
84,22,rr,0
85,22,rr,0
86,29,rr,0
87,29,rr,0
88,29,rr,0
89,29,rr,0
90,6,rr,0
91,6,rr,0
92,6,rr,0
93,6,rr,0
94,12,rr,0
95,12,rr,0
96,12,rr,0
97,12,rr,0
98,28,rr,0
99,28,rr,0
100,14,rr,0
101,14,rr,0
102,14,rr,0
103,14,rr,0
104,18,rr,0
105,18,rr,0
106,18,rr,0
107,18,rr,0
108,26,rr,0
109,26,rr,0
110,26,rr,0
111,26,rr,0
112,23,rr,0
113,23,rr,0
114,23,rr,0
115,23,rr,0
116,9,rr,0
117,9,rr,0
118,9,rr,0
119,9,rr,0
120,7,rr,0
121,7,rr,0
122,7,rr,0
123,27,rr,0
124,27,rr,0
125,27,rr,0
126,27,rr,0
127,30,rr,0
128,30,rr,0
129,30,rr,0
130,30,rr,0
131,13,rr,0
132,13,rr,0
133,13,rr,0
134,13,rr,0
135,19,rr,0
136,19,rr,0
137,19,rr,0
138,19,rr,0
139,3,rr,0
140,3,rr,0
141,3,rr,0
142,3,rr,0
143,15,rr,0
144,15,rr,0
145,15,rr,0
146,15,rr,0
147,25,rr,0
148,25,rr,0
149,4,rr,0
150,4,rr,0
151,4,rr,0
152,4,rr,0
153,2,rr,0
154,2,rr,0
155,2,rr,0
156,2,rr,0
157,24,rr,0
158,24,rr,0
159,24,rr,0
160,24,rr,0
161,11,rr,0
162,11,rr,0
163,11,rr,0
164,11,rr,0
165,17,rr,0
166,17,rr,0
167,17,rr,0
168,17,rr,0
169,21,rr,0
170,21,rr,0
171,21,rr,0
172,21,rr,0
173,5,rr,0
174,5,rr,0
175,5,rr,0
176,5,rr,0
177,22,rr,0
178,22,rr,0
179,29,rr,0
180,29,rr,0
181,29,rr,0
182,29,rr,0
183,6,rr,0
184,6,rr,0
185,6,rr,0
186,6,rr,0
187,12,rr,0
188,12,rr,0
189,12,rr,0
190,12,rr,0
191,14,rr,0
192,14,rr,0
193,14,rr,0
194,14,rr,0
195,18,rr,0
196,18,rr,0
197,18,rr,0
198,18,rr,0
199,26,rr,0
200,26,rr,0
201,26,rr,0
202,26,rr,0
203,23,rr,0
204,23,rr,0
205,23,rr,0
206,23,rr,0
207,9,rr,0
208,9,rr,0
209,9,rr,0
210,9,rr,0
211,27,rr,0
212,27,rr,0
213,27,rr,0
214,27,rr,0
215,30,rr,0
216,30,rr,0
217,30,rr,0
218,30,rr,0
219,13,rr,0
220,3,rr,0
221,3,rr,0
222,3,rr,0
223,3,rr,0
224,15,rr,0
225,15,rr,0
226,15,rr,0
227,15,rr,0
228,2,rr,0
229,2,rr,0
230,2,rr,0
231,2,rr,0
232,24,rr,0
233,24,rr,0
234,24,rr,0
235,24,rr,0
236,11,rr,0
237,11,rr,0
238,11,rr,0
239,17,rr,0
240,17,rr,0
241,21,rr,0
242,21,rr,0
243,21,rr,0
244,21,rr,0
245,5,rr,0
246,5,rr,0
247,5,rr,0
248,29,rr,0
249,29,rr,0
250,29,rr,0
251,29,rr,0
