time,pid,algorithm,queue
0,1,rr,0
1,1,rr,0
2,18,rr,0
3,18,rr,0
4,18,rr,0
5,18,rr,0
6,2,rr,0
7,2,rr,0
8,2,rr,0
9,26,rr,0
10,26,rr,0
11,26,rr,0
12,26,rr,0
13,4,rr,0
14,4,rr,0
15,4,rr,0
16,11,rr,0
17,11,rr,0
18,11,rr,0
19,11,rr,0
20,7,rr,0
21,7,rr,0
22,7,rr,0
23,7,rr,0
24,20,rr,0
25,20,rr,0
26,20,rr,0
27,20,rr,0
28,21,rr,0
29,21,rr,0
30,21,rr,0
31,21,rr,0
32,14,rr,0
33,14,rr,0
34,14,rr,0
35,19,rr,0
36,29,rr,0
37,29,rr,0
38,29,rr,0
39,29,rr,0
40,9,rr,0
41,9,rr,0
42,9,rr,0
43,5,rr,0
44,5,rr,0
45,5,rr,0
46,5,rr,0
47,22,rr,0
48,22,rr,0
49,17,rr,0
50,23,rr,0
51,23,rr,0
52,23,rr,0
53,23,rr,0
54,25,rr,0
55,25,rr,0
56,25,rr,0
57,25,rr,0
58,27,rr,0
59,27,rr,0
60,27,rr,0
61,27,rr,0
62,15,rr,0
63,15,rr,0
64,15,rr,0
65,15,rr,0
66,30,rr,0
67,30,rr,0
68,8,rr,0
69,10,rr,0
70,10,rr,0
71,13,rr,0
72,13,rr,0
73,13,rr,0
74,13,rr,0
75,28,rr,0
76,16,rr,0
77,16,rr,0
78,16,rr,0
79,16,rr,0
80,24,rr,0
81,24,rr,0
82,24,rr,0
83,24,rr,0
84,11,rr,0
85,3,rr,0
86,3,rr,0
87,3,rr,0
88,6,rr,0
89,6,rr,0
90,6,rr,0
91,12,rr,0
92,7,rr,0
93,20,rr,0
94,29,rr,0
95,5,rr,0
96,5,rr,0
97,25,rr,0
98,27,rr,0
99,15,rr,0
100,15,rr,0
101,13,rr,0
102,13,rr,0
103,16,rr,0
