time,pid,algorithm,queue
0,1,rr,0
1,1,rr,0
2,1,rr,0
3,1,rr,0
4,2,rr,0
5,2,rr,0
6,2,rr,0
7,2,rr,0
8,3,rr,0
9,3,rr,0
10,3,rr,0
11,3,rr,0
12,4,rr,0
13,4,rr,0
14,4,rr,0
15,4,rr,0
16,1,rr,0
17,1,rr,0
18,1,rr,0
19,1,rr,0
20,5,rr,0
21,5,rr,0
22,5,rr,0
23,6,rr,0
24,6,rr,0
25,7,rr,0
26,7,rr,0
27,8,rr,0
28,2,rr,0
29,2,rr,0
30,2,rr,0
31,2,rr,0
32,9,rr,0
33,9,rr,0
34,9,rr,0
35,10,rr,0
36,10,rr,0
37,11,rr,0
38,12,rr,0
39,12,rr,0
40,12,rr,0
41,12,rr,0
42,3,rr,0
43,3,rr,0
44,3,rr,0
45,3,rr,0
46,13,rr,0
47,13,rr,0
48,13,rr,0
49,14,rr,0
50,14,rr,0
51,15,rr,0
52,16,rr,0
53,4,rr,0
54,4,rr,0
55,4,rr,0
56,4,rr,0
57,17,rr,0
58,17,rr,0
59,17,rr,0
60,18,rr,0
61,18,rr,0
62,18,rr,0
63,19,rr,0
64,20,rr,0
65,20,rr,0
66,20,rr,0
67,1,rr,0
68,1,rr,0
69,1,rr,0
70,1,rr,0
71,21,rr,0
72,21,rr,0
73,21,rr,0
74,21,rr,0
75,22,rr,0
76,22,rr,0
77,22,rr,0
78,23,rr,0
79,23,rr,0
80,23,rr,0
81,24,rr,0
82,24,rr,0
83,25,rr,0
84,25,rr,0
85,25,rr,0
86,25,rr,0
87,26,rr,0
88,27,rr,0
89,27,rr,0
90,28,rr,0
91,28,rr,0
92,28,rr,0
93,28,rr,0
94,29,rr,0
95,29,rr,0
96,30,rr,0
97,30,rr,0
98,30,rr,0
99,30,rr,0
100,2,rr,0
101,2,rr,0
102,2,rr,0
103,2,rr,0
104,3,rr,0
105,3,rr,0
106,3,rr,0
107,3,rr,0
108,4,rr,0
109,4,rr,0
110,4,rr,0
111,4,rr,0
112,1,rr,0
113,1,rr,0
114,1,rr,0
115,1,rr,0
116,2,rr,0
117,2,rr,0
118,2,rr,0
119,2,rr,0
120,3,rr,0
121,3,rr,0
122,3,rr,0
123,3,rr,0
124,4,rr,0
125,4,rr,0
126,4,rr,0
127,4,rr,0
128,1,rr,0
129,1,rr,0
130,1,rr,0
131,1,rr,0
132,2,rr,0
133,2,rr,0
134,2,rr,0
135,2,rr,0
136,3,rr,0
137,3,rr,0
138,3,rr,0
139,3,rr,0
140,4,rr,0
141,4,rr,0
142,4,rr,0
143,4,rr,0
144,1,rr,0
145,1,rr,0
146,1,rr,0
147,1,rr,0
148,2,rr,0
149,2,rr,0
150,2,rr,0
151,2,rr,0
152,3,rr,0
153,3,rr,0
154,3,rr,0
155,3,rr,0
156,4,rr,0
157,4,rr,0
158,4,rr,0
159,4,rr,0
160,1,rr,0
161,1,rr,0
162,1,rr,0
163,1,rr,0
164,2,rr,0
165,2,rr,0
166,2,rr,0
167,2,rr,0
168,3,rr,0
169,3,rr,0
170,3,rr,0
171,3,rr,0
172,4,rr,0
173,4,rr,0
174,4,rr,0
175,4,rr,0
176,1,rr,0
177,1,rr,0
178,1,rr,0
179,1,rr,0
180,2,rr,0
181,2,rr,0
182,2,rr,0
183,2,rr,0
184,3,rr,0
185,3,rr,0
186,3,rr,0
187,3,rr,0
188,4,rr,0
189,4,rr,0
190,4,rr,0
191,4,rr,0
192,1,rr,0
193,1,rr,0
194,1,rr,0
195,1,rr,0
196,2,rr,0
197,2,rr,0
198,2,rr,0
199,2,rr,0
200,3,rr,0
201,3,rr,0
202,3,rr,0
203,3,rr,0
204,4,rr,0
205,4,rr,0
206,4,rr,0
207,4,rr,0
208,1,rr,0
209,1,rr,0
210,1,rr,0
211,1,rr,0
212,2,rr,0
213,2,rr,0
214,2,rr,0
215,2,rr,0
216,3,rr,0
217,3,rr,0
218,3,rr,0
219,3,rr,0
220,4,rr,0
221,4,rr,0
222,4,rr,0
223,4,rr,0
224,2,rr,0
225,2,rr,0
226,2,rr,0
227,2,rr,0
228,3,rr,0
229,3,rr,0
230,3,rr,0
231,3,rr,0
232,4,rr,0
233,4,rr,0
234,2,rr,0
235,2,rr,0
236,2,rr,0
237,2,rr,0
238,3,rr,0
239,3,rr,0
240,3,rr,0
241,3,rr,0
242,2,rr,0
243,2,rr,0
244,2,rr,0
245,2,rr,0
246,3,rr,0
247,3,rr,0
248,3,rr,0
249,2,rr,0
250,2,rr,0
251,2,rr,0
252,2,rr,0
