time,pid,algorithm,queue
0,6,sjf,-1
1,6,sjf,-1
2,6,sjf,-1
3,6,sjf,-1
4,6,sjf,-1
5,6,sjf,-1
6,6,sjf,-1
7,6,sjf,-1
8,6,sjf,-1
9,6,sjf,-1
10,6,sjf,-1
11,6,sjf,-1
12,6,sjf,-1
13,6,sjf,-1
14,6,sjf,-1
15,6,sjf,-1
16,6,sjf,-1
17,6,sjf,-1
18,6,sjf,-1
19,6,sjf,-1
20,6,sjf,-1
21,6,sjf,-1
22,6,sjf,-1
23,6,sjf,-1
24,6,sjf,-1
25,6,sjf,-1
26,6,sjf,-1
27,6,sjf,-1
28,6,sjf,-1
29,6,sjf,-1
30,6,sjf,-1
31,6,sjf,-1
32,6,sjf,-1
33,6,sjf,-1
34,6,sjf,-1
35,6,sjf,-1
36,6,sjf,-1
37,6,sjf,-1
38,6,sjf,-1
39,6,sjf,-1
40,6,sjf,-1
41,6,sjf,-1
42,6,sjf,-1
43,6,sjf,-1
44,6,sjf,-1
45,6,sjf,-1
46,6,sjf,-1
47,6,sjf,-1
48,6,sjf,-1
49,6,sjf,-1
50,6,sjf,-1
51,6,sjf,-1
52,6,sjf,-1
53,6,sjf,-1
54,6,sjf,-1
55,6,sjf,-1
56,6,sjf,-1
57,6,sjf,-1
58,6,sjf,-1
59,6,sjf,-1
60,6,sjf,-1
61,6,sjf,-1
62,6,sjf,-1
63,6,sjf,-1
64,6,sjf,-1
65,6,sjf,-1
66,6,sjf,-1
67,6,sjf,-1
68,6,sjf,-1
69,6,sjf,-1
70,6,sjf,-1
71,6,sjf,-1
72,8,sjf,-1
73,13,sjf,-1
74,16,sjf,-1
75,25,sjf,-1
76,30,sjf,-1
77,7,sjf,-1
78,7,sjf,-1
79,12,sjf,-1
80,12,sjf,-1
81,19,sjf,-1
82,19,sjf,-1
83,20,sjf,-1
84,20,sjf,-1
85,21,sjf,-1
86,21,sjf,-1
87,23,sjf,-1
88,23,sjf,-1
89,29,sjf,-1
90,29,sjf,-1
91,9,sjf,-1
92,9,sjf,-1
93,9,sjf,-1
94,10,sjf,-1
95,10,sjf,-1
96,10,sjf,-1
97,11,sjf,-1
98,11,sjf,-1
99,11,sjf,-1
100,26,sjf,-1
101,26,sjf,-1
102,26,sjf,-1
103,28,sjf,-1
104,28,sjf,-1
105,28,sjf,-1
106,14,sjf,-1
107,14,sjf,-1
108,14,sjf,-1
109,14,sjf,-1
110,15,sjf,-1
111,15,sjf,-1
112,15,sjf,-1
113,15,sjf,-1
114,17,sjf,-1
115,17,sjf,-1
116,17,sjf,-1
117,17,sjf,-1
118,18,sjf,-1
119,18,sjf,-1
120,18,sjf,-1
121,18,sjf,-1
122,22,sjf,-1
123,22,sjf,-1
124,22,sjf,-1
125,22,sjf,-1
126,24,sjf,-1
127,24,sjf,-1
128,24,sjf,-1
129,24,sjf,-1
130,27,sjf,-1
131,27,sjf,-1
132,27,sjf,-1
133,27,sjf,-1
134,2,sjf,-1
135,2,sjf,-1
136,2,sjf,-1
137,2,sjf,-1
138,2,sjf,-1
139,2,sjf,-1
140,2,sjf,-1
141,2,sjf,-1
142,2,sjf,-1
143,2,sjf,-1
144,2,sjf,-1
145,2,sjf,-1
146,2,sjf,-1
147,2,sjf,-1
148,2,sjf,-1
149,2,sjf,-1
150,2,sjf,-1
151,2,sjf,-1
152,2,sjf,-1
153,2,sjf,-1
154,2,sjf,-1
155,2,sjf,-1
156,2,sjf,-1
157,2,sjf,-1
158,2,sjf,-1
159,2,sjf,-1
160,2,sjf,-1
161,2,sjf,-1
162,2,sjf,-1
163,2,sjf,-1
164,2,sjf,-1
165,2,sjf,-1
166,2,sjf,-1
167,2,sjf,-1
168,2,sjf,-1
169,2,sjf,-1
170,2,sjf,-1
171,2,sjf,-1
172,2,sjf,-1
173,2,sjf,-1
174,2,sjf,-1
175,2,sjf,-1
176,2,sjf,-1
177,2,sjf,-1
178,2,sjf,-1
179,2,sjf,-1
180,2,sjf,-1
181,2,sjf,-1
182,2,sjf,-1
183,2,sjf,-1
184,2,sjf,-1
185,2,sjf,-1
186,2,sjf,-1
187,2,sjf,-1
188,2,sjf,-1
189,2,sjf,-1
190,1,sjf,-1
191,1,sjf,-1
192,1,sjf,-1
193,1,sjf,-1
194,1,sjf,-1
195,1,sjf,-1
196,1,sjf,-1
197,1,sjf,-1
198,1,sjf,-1
199,1,sjf,-1
200,1,sjf,-1
201,1,sjf,-1
202,1,sjf,-1
203,1,sjf,-1
204,1,sjf,-1
205,1,sjf,-1
206,1,sjf,-1
207,1,sjf,-1
208,1,sjf,-1
209,1,sjf,-1
210,1,sjf,-1
211,1,sjf,-1
212,1,sjf,-1
213,1,sjf,-1
214,1,sjf,-1
215,1,sjf,-1
216,1,sjf,-1
217,1,sjf,-1
218,1,sjf,-1
219,1,sjf,-1
220,1,sjf,-1
221,1,sjf,-1
222,1,sjf,-1
223,1,sjf,-1
224,1,sjf,-1
225,1,sjf,-1
226,1,sjf,-1
227,1,sjf,-1
228,1,sjf,-1
229,1,sjf,-1
230,1,sjf,-1
231,1,sjf,-1
232,1,sjf,-1
233,1,sjf,-1
234,1,sjf,-1
235,1,sjf,-1
236,1,sjf,-1
237,1,sjf,-1
238,1,sjf,-1
239,1,sjf,-1
240,1,sjf,-1
241,1,sjf,-1
242,1,sjf,-1
243,1,sjf,-1
244,1,sjf,-1
245,1,sjf,-1
246,1,sjf,-1
247,1,sjf,-1
248,1,sjf,-1
249,1,sjf,-1
250,1,sjf,-1
251,1,sjf,-1
252,1,sjf,-1
253,1,sjf,-1
254,4,sjf,-1
255,4,sjf,-1
256,4,sjf,-1
257,4,sjf,-1
258,4,sjf,-1
259,4,sjf,-1
260,4,sjf,-1
261,4,sjf,-1
262,4,sjf,-1
263,4,sjf,-1
264,4,sjf,-1
265,4,sjf,-1
266,4,sjf,-1
267,4,sjf,-1
268,4,sjf,-1
269,4,sjf,-1
270,4,sjf,-1
271,4,sjf,-1
272,4,sjf,-1
273,4,sjf,-1
274,4,sjf,-1
275,4,sjf,-1
276,4,sjf,-1
277,4,sjf,-1
278,4,sjf,-1
279,4,sjf,-1
280,4,sjf,-1
281,4,sjf,-1
282,4,sjf,-1
283,4,sjf,-1
284,4,sjf,-1
285,4,sjf,-1
286,4,sjf,-1
287,4,sjf,-1
288,4,sjf,-1
289,4,sjf,-1
290,4,sjf,-1
291,4,sjf,-1
292,4,sjf,-1
293,4,sjf,-1
294,4,sjf,-1
295,4,sjf,-1
296,4,sjf,-1
297,4,sjf,-1
298,4,sjf,-1
299,4,sjf,-1
300,4,sjf,-1
301,4,sjf,-1
302,4,sjf,-1
303,4,sjf,-1
304,4,sjf,-1
305,4,sjf,-1
306,4,sjf,-1
307,4,sjf,-1
308,4,sjf,-1
309,4,sjf,-1
310,4,sjf,-1
311,4,sjf,-1
312,4,sjf,-1
313,4,sjf,-1
314,4,sjf,-1
315,4,sjf,-1
316,4,sjf,-1
317,4,sjf,-1
318,4,sjf,-1
319,3,sjf,-1
320,3,sjf,-1
321,3,sjf,-1
322,3,sjf,-1
323,3,sjf,-1
324,3,sjf,-1
325,3,sjf,-1
326,3,sjf,-1
327,3,sjf,-1
328,3,sjf,-1
329,3,sjf,-1
330,3,sjf,-1
331,3,sjf,-1
332,3,sjf,-1
333,3,sjf,-1
334,3,sjf,-1
335,3,sjf,-1
336,3,sjf,-1
337,3,sjf,-1
338,3,sjf,-1
339,3,sjf,-1
340,3,sjf,-1
341,3,sjf,-1
342,3,sjf,-1
343,3,sjf,-1
344,3,sjf,-1
345,3,sjf,-1
346,3,sjf,-1
347,3,sjf,-1
348,3,sjf,-1
349,3,sjf,-1
350,3,sjf,-1
351,3,sjf,-1
352,3,sjf,-1
353,3,sjf,-1
354,3,sjf,-1
355,3,sjf,-1
356,3,sjf,-1
357,3,sjf,-1
358,3,sjf,-1
359,3,sjf,-1
360,3,sjf,-1
361,3,sjf,-1
362,3,sjf,-1
363,3,sjf,-1
364,3,sjf,-1
365,3,sjf,-1
366,3,sjf,-1
367,3,sjf,-1
368,3,sjf,-1
369,3,sjf,-1
370,3,sjf,-1
371,3,sjf,-1
372,3,sjf,-1
373,3,sjf,-1
374,3,sjf,-1
375,3,sjf,-1
376,3,sjf,-1
377,3,sjf,-1
378,3,sjf,-1
379,3,sjf,-1
380,3,sjf,-1
381,3,sjf,-1
382,3,sjf,-1
383,3,sjf,-1
384,3,sjf,-1
385,5,sjf,-1
386,5,sjf,-1
387,5,sjf,-1
388,5,sjf,-1
389,5,sjf,-1
390,5,sjf,-1
391,5,sjf,-1
392,5,sjf,-1
393,5,sjf,-1
394,5,sjf,-1
395,5,sjf,-1
396,5,sjf,-1
397,5,sjf,-1
398,5,sjf,-1
399,5,sjf,-1
400,5,sjf,-1
401,5,sjf,-1
402,5,sjf,-1
403,5,sjf,-1
404,5,sjf,-1
405,5,sjf,-1
406,5,sjf,-1
407,5,sjf,-1
408,5,sjf,-1
409,5,sjf,-1
410,5,sjf,-1
411,5,sjf,-1
412,5,sjf,-1
413,5,sjf,-1
414,5,sjf,-1
415,5,sjf,-1
416,5,sjf,-1
417,5,sjf,-1
418,5,sjf,-1
419,5,sjf,-1
420,5,sjf,-1
421,5,sjf,-1
422,5,sjf,-1
423,5,sjf,-1
424,5,sjf,-1
425,5,sjf,-1
426,5,sjf,-1
427,5,sjf,-1
428,5,sjf,-1
429,5,sjf,-1
430,5,sjf,-1
431,5,sjf,-1
432,5,sjf,-1
433,5,sjf,-1
434,5,sjf,-1
435,5,sjf,-1
436,5,sjf,-1
437,5,sjf,-1
438,5,sjf,-1
439,5,sjf,-1
440,5,sjf,-1
441,5,sjf,-1
442,5,sjf,-1
443,5,sjf,-1
444,5,sjf,-1
445,5,sjf,-1
446,5,sjf,-1
447,5,sjf,-1
448,5,sjf,-1
449,5,sjf,-1
450,5,sjf,-1
