time,pid,algorithm,queue
0,-1,sjf,-1
1,-1,sjf,-1
2,-1,sjf,-1
3,-1,sjf,-1
4,-1,sjf,-1
5,-1,sjf,-1
6,-1,sjf,-1
7,4,sjf,-1
8,4,sjf,-1
9,4,sjf,-1
10,4,sjf,-1
11,4,sjf,-1
12,4,sjf,-1
13,4,sjf,-1
14,4,sjf,-1
15,4,sjf,-1
16,14,sjf,-1
17,14,sjf,-1
18,14,sjf,-1
19,14,sjf,-1
20,14,sjf,-1
21,3,sjf,-1
22,25,sjf,-1
23,13,sjf,-1
24,13,sjf,-1
25,26,sjf,-1
26,26,sjf,-1
27,26,sjf,-1
28,26,sjf,-1
29,10,sjf,-1
30,10,sjf,-1
31,10,sjf,-1
32,10,sjf,-1
33,8,sjf,-1
34,12,sjf,-1
35,9,sjf,-1
36,9,sjf,-1
37,9,sjf,-1
38,18,sjf,-1
39,18,sjf,-1
40,18,sjf,-1
41,18,sjf,-1
42,7,sjf,-1
43,1,sjf,-1
44,1,sjf,-1
45,1,sjf,-1
46,1,sjf,-1
47,20,sjf,-1
48,20,sjf,-1
49,20,sjf,-1
50,20,sjf,-1
51,20,sjf,-1
52,27,sjf,-1
53,27,sjf,-1
54,27,sjf,-1
55,27,sjf,-1
56,27,sjf,-1
57,16,sjf,-1
58,16,sjf,-1
59,16,sjf,-1
60,16,sjf,-1
61,16,sjf,-1
62,15,sjf,-1
63,15,sjf,-1
64,15,sjf,-1
65,15,sjf,-1
66,15,sjf,-1
67,15,sjf,-1
68,23,sjf,-1
69,23,sjf,-1
70,23,sjf,-1
71,23,sjf,-1
72,23,sjf,-1
73,23,sjf,-1
74,21,sjf,-1
75,21,sjf,-1
76,21,sjf,-1
77,21,sjf,-1
78,21,sjf,-1
79,21,sjf,-1
80,22,sjf,-1
81,22,sjf,-1
82,22,sjf,-1
83,22,sjf,-1
84,22,sjf,-1
85,22,sjf,-1
86,30,sjf,-1
87,30,sjf,-1
88,30,sjf,-1
89,30,sjf,-1
90,30,sjf,-1
91,30,sjf,-1
92,2,sjf,-1
93,2,sjf,-1
94,2,sjf,-1
95,2,sjf,-1
96,2,sjf,-1
97,2,sjf,-1
98,2,sjf,-1
99,5,sjf,-1
100,5,sjf,-1
101,5,sjf,-1
102,5,sjf,-1
103,5,sjf,-1
104,5,sjf,-1
105,5,sjf,-1
106,5,sjf,-1
107,28,sjf,-1
108,28,sjf,-1
109,28,sjf,-1
110,28,sjf,-1
111,28,sjf,-1
112,28,sjf,-1
113,28,sjf,-1
114,28,sjf,-1
115,28,sjf,-1
116,19,sjf,-1
117,19,sjf,-1
118,19,sjf,-1
119,19,sjf,-1
120,19,sjf,-1
121,19,sjf,-1
122,19,sjf,-1
123,19,sjf,-1
124,19,sjf,-1
125,11,sjf,-1
126,11,sjf,-1
127,11,sjf,-1
128,11,sjf,-1
129,11,sjf,-1
130,11,sjf,-1
131,11,sjf,-1
132,11,sjf,-1
133,11,sjf,-1
134,6,sjf,-1
135,6,sjf,-1
136,6,sjf,-1
137,6,sjf,-1
138,6,sjf,-1
139,6,sjf,-1
140,6,sjf,-1
141,6,sjf,-1
142,6,sjf,-1
143,17,sjf,-1
144,17,sjf,-1
145,17,sjf,-1
146,17,sjf,-1
147,17,sjf,-1
148,17,sjf,-1
149,17,sjf,-1
150,17,sjf,-1
151,17,sjf,-1
152,29,sjf,-1
153,29,sjf,-1
154,29,sjf,-1
155,29,sjf,-1
156,29,sjf,-1
157,29,sjf,-1
158,29,sjf,-1
159,29,sjf,-1
160,29,sjf,-1
161,24,sjf,-1
162,24,sjf,-1
163,24,sjf,-1
164,24,sjf,-1
165,24,sjf,-1
166,24,sjf,-1
167,24,sjf,-1
168,24,sjf,-1
169,24,sjf,-1
170,24,sjf,-1
