time,pid,algorithm,queue
0,1,sjf,-1
1,1,sjf,-1
2,1,sjf,-1
3,1,sjf,-1
4,1,sjf,-1
5,1,sjf,-1
6,1,sjf,-1
7,1,sjf,-1
8,1,sjf,-1
9,1,sjf,-1
10,1,sjf,-1
11,1,sjf,-1
12,1,sjf,-1
13,1,sjf,-1
14,1,sjf,-1
15,1,sjf,-1
16,1,sjf,-1
17,1,sjf,-1
18,1,sjf,-1
19,1,sjf,-1
20,1,sjf,-1
21,1,sjf,-1
22,1,sjf,-1
23,1,sjf,-1
24,1,sjf,-1
25,1,sjf,-1
26,1,sjf,-1
27,1,sjf,-1
28,1,sjf,-1
29,1,sjf,-1
30,1,sjf,-1
31,1,sjf,-1
32,1,sjf,-1
33,1,sjf,-1
34,1,sjf,-1
35,1,sjf,-1
36,1,sjf,-1
37,1,sjf,-1
38,1,sjf,-1
39,1,sjf,-1
40,1,sjf,-1
41,1,sjf,-1
42,1,sjf,-1
43,1,sjf,-1
44,14,sjf,-1
45,14,sjf,-1
46,14,sjf,-1
47,14,sjf,-1
48,14,sjf,-1
49,14,sjf,-1
50,14,sjf,-1
51,14,sjf,-1
52,14,sjf,-1
53,14,sjf,-1
54,14,sjf,-1
55,14,sjf,-1
56,14,sjf,-1
57,14,sjf,-1
58,14,sjf,-1
59,14,sjf,-1
60,14,sjf,-1
61,14,sjf,-1
62,14,sjf,-1
63,14,sjf,-1
64,23,sjf,-1
65,23,sjf,-1
66,23,sjf,-1
67,23,sjf,-1
68,23,sjf,-1
69,23,sjf,-1
70,23,sjf,-1
71,23,sjf,-1
72,23,sjf,-1
73,23,sjf,-1
74,23,sjf,-1
75,23,sjf,-1
76,23,sjf,-1
77,23,sjf,-1
78,23,sjf,-1
79,23,sjf,-1
80,23,sjf,-1
81,23,sjf,-1
82,23,sjf,-1
83,23,sjf,-1
84,23,sjf,-1
85,16,sjf,-1
86,16,sjf,-1
87,16,sjf,-1
88,16,sjf,-1
89,16,sjf,-1
90,16,sjf,-1
91,16,sjf,-1
92,16,sjf,-1
93,16,sjf,-1
94,16,sjf,-1
95,16,sjf,-1
96,16,sjf,-1
97,16,sjf,-1
98,16,sjf,-1
99,16,sjf,-1
100,16,sjf,-1
101,16,sjf,-1
102,16,sjf,-1
103,16,sjf,-1
104,16,sjf,-1
105,16,sjf,-1
106,16,sjf,-1
107,21,sjf,-1
108,21,sjf,-1
109,21,sjf,-1
110,21,sjf,-1
111,21,sjf,-1
112,21,sjf,-1
113,21,sjf,-1
114,21,sjf,-1
115,21,sjf,-1
116,21,sjf,-1
117,21,sjf,-1
118,21,sjf,-1
119,21,sjf,-1
120,21,sjf,-1
121,21,sjf,-1
122,21,sjf,-1
123,21,sjf,-1
124,21,sjf,-1
125,21,sjf,-1
126,21,sjf,-1
127,21,sjf,-1
128,21,sjf,-1
129,21,sjf,-1
130,21,sjf,-1
131,22,sjf,-1
132,22,sjf,-1
133,22,sjf,-1
134,22,sjf,-1
135,22,sjf,-1
136,22,sjf,-1
137,22,sjf,-1
138,22,sjf,-1
139,22,sjf,-1
140,22,sjf,-1
141,22,sjf,-1
142,22,sjf,-1
143,22,sjf,-1
144,22,sjf,-1
145,22,sjf,-1
146,22,sjf,-1
147,22,sjf,-1
148,22,sjf,-1
149,22,sjf,-1
150,22,sjf,-1
151,22,sjf,-1
152,22,sjf,-1
153,22,sjf,-1
154,22,sjf,-1
155,22,sjf,-1
156,22,sjf,-1
157,17,sjf,-1
158,17,sjf,-1
159,17,sjf,-1
160,17,sjf,-1
161,17,sjf,-1
162,17,sjf,-1
163,17,sjf,-1
164,17,sjf,-1
165,17,sjf,-1
166,17,sjf,-1
167,17,sjf,-1
168,17,sjf,-1
169,17,sjf,-1
170,17,sjf,-1
171,17,sjf,-1
172,17,sjf,-1
