time,pid,algorithm,queue
0,-1,sjf,-1
1,-1,sjf,-1
2,9,sjf,-1
3,9,sjf,-1
4,9,sjf,-1
5,9,sjf,-1
6,9,sjf,-1
7,9,sjf,-1
8,9,sjf,-1
9,9,sjf,-1
10,9,sjf,-1
11,9,sjf,-1
12,9,sjf,-1
13,9,sjf,-1
14,9,sjf,-1
15,9,sjf,-1
16,9,sjf,-1
17,9,sjf,-1
18,9,sjf,-1
19,9,sjf,-1
20,9,sjf,-1
21,9,sjf,-1
22,9,sjf,-1
23,9,sjf,-1
24,9,sjf,-1
25,9,sjf,-1
26,9,sjf,-1
27,9,sjf,-1
28,9,sjf,-1
29,9,sjf,-1
30,9,sjf,-1
31,9,sjf,-1
32,9,sjf,-1
33,9,sjf,-1
34,9,sjf,-1
35,9,sjf,-1
36,9,sjf,-1
37,9,sjf,-1
38,9,sjf,-1
39,9,sjf,-1
40,9,sjf,-1
41,9,sjf,-1
42,9,sjf,-1
43,9,sjf,-1
44,9,sjf,-1
45,9,sjf,-1
46,9,sjf,-1
47,9,sjf,-1
48,9,sjf,-1
49,9,sjf,-1
50,9,sjf,-1
51,9,sjf,-1
52,9,sjf,-1
53,9,sjf,-1
54,9,sjf,-1
55,9,sjf,-1
56,9,sjf,-1
57,9,sjf,-1
58,1,sjf,-1
59,28,sjf,-1
60,28,sjf,-1
61,25,sjf,-1
62,25,sjf,-1
63,7,sjf,-1
64,7,sjf,-1
65,7,sjf,-1
66,10,sjf,-1
67,10,sjf,-1
68,10,sjf,-1
69,10,sjf,-1
70,16,sjf,-1
71,16,sjf,-1
72,16,sjf,-1
73,16,sjf,-1
74,19,sjf,-1
75,19,sjf,-1
76,19,sjf,-1
77,19,sjf,-1
78,4,sjf,-1
79,4,sjf,-1
80,4,sjf,-1
81,4,sjf,-1
82,13,sjf,-1
83,13,sjf,-1
84,13,sjf,-1
85,13,sjf,-1
86,13,sjf,-1
87,22,sjf,-1
88,22,sjf,-1
89,22,sjf,-1
90,22,sjf,-1
91,22,sjf,-1
92,22,sjf,-1
93,8,sjf,-1
94,8,sjf,-1
95,8,sjf,-1
96,8,sjf,-1
97,8,sjf,-1
98,8,sjf,-1
99,8,sjf,-1
100,17,sjf,-1
101,17,sjf,-1
102,17,sjf,-1
103,17,sjf,-1
104,17,sjf,-1
105,17,sjf,-1
106,17,sjf,-1
107,17,sjf,-1
108,17,sjf,-1
109,17,sjf,-1
110,23,sjf,-1
111,23,sjf,-1
112,23,sjf,-1
113,23,sjf,-1
114,23,sjf,-1
115,23,sjf,-1
116,23,sjf,-1
117,23,sjf,-1
118,23,sjf,-1
119,23,sjf,-1
120,11,sjf,-1
121,11,sjf,-1
122,11,sjf,-1
123,11,sjf,-1
124,11,sjf,-1
125,11,sjf,-1
126,11,sjf,-1
127,11,sjf,-1
128,11,sjf,-1
129,11,sjf,-1
130,11,sjf,-1
131,20,sjf,-1
132,20,sjf,-1
133,20,sjf,-1
134,20,sjf,-1
135,20,sjf,-1
136,20,sjf,-1
137,20,sjf,-1
138,20,sjf,-1
139,20,sjf,-1
140,20,sjf,-1
141,20,sjf,-1
142,20,sjf,-1
143,29,sjf,-1
144,29,sjf,-1
145,29,sjf,-1
146,29,sjf,-1
147,29,sjf,-1
148,29,sjf,-1
149,29,sjf,-1
150,29,sjf,-1
151,29,sjf,-1
152,29,sjf,-1
153,29,sjf,-1
154,29,sjf,-1
155,29,sjf,-1
156,5,sjf,-1
157,5,sjf,-1
158,5,sjf,-1
159,5,sjf,-1
160,5,sjf,-1
161,5,sjf,-1
162,5,sjf,-1
163,5,sjf,-1
164,5,sjf,-1
165,5,sjf,-1
166,5,sjf,-1
167,5,sjf,-1
168,5,sjf,-1
169,5,sjf,-1
170,5,sjf,-1
171,2,sjf,-1
172,2,sjf,-1
