time,pid,algorithm,queue
0,1,sjf,-1
1,1,sjf,-1
2,2,sjf,-1
3,2,sjf,-1
4,2,sjf,-1
5,4,sjf,-1
6,4,sjf,-1
7,4,sjf,-1
8,19,sjf,-1
9,22,sjf,-1
10,22,sjf,-1
11,17,sjf,-1
12,30,sjf,-1
13,30,sjf,-1
14,8,sjf,-1
15,10,sjf,-1
16,10,sjf,-1
17,28,sjf,-1
18,14,sjf,-1
19,14,sjf,-1
20,14,sjf,-1
21,12,sjf,-1
22,9,sjf,-1
23,9,sjf,-1
24,9,sjf,-1
25,3,sjf,-1
26,3,sjf,-1
27,3,sjf,-1
28,6,sjf,-1
29,6,sjf,-1
30,6,sjf,-1
31,18,sjf,-1
32,18,sjf,-1
33,18,sjf,-1
34,18,sjf,-1
35,26,sjf,-1
36,26,sjf,-1
37,26,sjf,-1
38,26,sjf,-1
39,21,sjf,-1
40,21,sjf,-1
41,21,sjf,-1
42,21,sjf,-1
43,23,sjf,-1
44,23,sjf,-1
45,23,sjf,-1
46,23,sjf,-1
47,24,sjf,-1
48,24,sjf,-1
49,24,sjf,-1
50,24,sjf,-1
51,11,sjf,-1
52,11,sjf,-1
53,11,sjf,-1
54,11,sjf,-1
55,11,sjf,-1
56,7,sjf,-1
57,7,sjf,-1
58,7,sjf,-1
59,7,sjf,-1
60,7,sjf,-1
61,20,sjf,-1
62,20,sjf,-1
63,20,sjf,-1
64,20,sjf,-1
65,20,sjf,-1
66,29,sjf,-1
67,29,sjf,-1
68,29,sjf,-1
69,29,sjf,-1
70,29,sjf,-1
71,25,sjf,-1
72,25,sjf,-1
73,25,sjf,-1
74,25,sjf,-1
75,25,sjf,-1
76,27,sjf,-1
77,27,sjf,-1
78,27,sjf,-1
79,27,sjf,-1
80,27,sjf,-1
81,16,sjf,-1
82,16,sjf,-1
83,16,sjf,-1
84,16,sjf,-1
85,16,sjf,-1
86,5,sjf,-1
87,5,sjf,-1
88,5,sjf,-1
89,5,sjf,-1
90,5,sjf,-1
91,5,sjf,-1
92,15,sjf,-1
93,15,sjf,-1
94,15,sjf,-1
95,15,sjf,-1
96,15,sjf,-1
97,15,sjf,-1
98,13,sjf,-1
99,13,sjf,-1
100,13,sjf,-1
101,13,sjf,-1
102,13,sjf,-1
103,13,sjf,-1
