time,pid,algorithm,queue
0,1,sjf,-1
1,1,sjf,-1
2,1,sjf,-1
3,1,sjf,-1
4,1,sjf,-1
5,1,sjf,-1
6,1,sjf,-1
7,1,sjf,-1
8,1,sjf,-1
9,1,sjf,-1
10,1,sjf,-1
11,1,sjf,-1
12,1,sjf,-1
13,1,sjf,-1
14,1,sjf,-1
15,1,sjf,-1
16,1,sjf,-1
17,1,sjf,-1
18,1,sjf,-1
19,1,sjf,-1
20,1,sjf,-1
21,1,sjf,-1
22,1,sjf,-1
23,1,sjf,-1
24,1,sjf,-1
25,1,sjf,-1
26,1,sjf,-1
27,1,sjf,-1
28,1,sjf,-1
29,1,sjf,-1
30,1,sjf,-1
31,1,sjf,-1
32,1,sjf,-1
33,1,sjf,-1
34,1,sjf,-1
35,1,sjf,-1
36,1,sjf,-1
37,1,sjf,-1
38,1,sjf,-1
39,1,sjf,-1
40,8,sjf,-1
41,11,sjf,-1
42,15,sjf,-1
43,16,sjf,-1
44,19,sjf,-1
45,26,sjf,-1
46,6,sjf,-1
47,6,sjf,-1
48,7,sjf,-1
49,7,sjf,-1
50,10,sjf,-1
51,10,sjf,-1
52,14,sjf,-1
53,14,sjf,-1
54,24,sjf,-1
55,24,sjf,-1
56,27,sjf,-1
57,27,sjf,-1
58,29,sjf,-1
59,29,sjf,-1
60,5,sjf,-1
61,5,sjf,-1
62,5,sjf,-1
63,9,sjf,-1
64,9,sjf,-1
65,9,sjf,-1
66,13,sjf,-1
67,13,sjf,-1
68,13,sjf,-1
69,17,sjf,-1
70,17,sjf,-1
71,17,sjf,-1
72,18,sjf,-1
73,18,sjf,-1
74,18,sjf,-1
75,20,sjf,-1
76,20,sjf,-1
77,20,sjf,-1
78,22,sjf,-1
79,22,sjf,-1
80,22,sjf,-1
81,23,sjf,-1
82,23,sjf,-1
83,23,sjf,-1
84,12,sjf,-1
85,12,sjf,-1
86,12,sjf,-1
87,12,sjf,-1
88,21,sjf,-1
89,21,sjf,-1
90,21,sjf,-1
91,21,sjf,-1
92,25,sjf,-1
93,25,sjf,-1
94,25,sjf,-1
95,25,sjf,-1
96,28,sjf,-1
97,28,sjf,-1
98,28,sjf,-1
99,28,sjf,-1
100,30,sjf,-1
101,30,sjf,-1
102,30,sjf,-1
103,30,sjf,-1
104,4,sjf,-1
105,4,sjf,-1
106,4,sjf,-1
107,4,sjf,-1
108,4,sjf,-1
109,4,sjf,-1
110,4,sjf,-1
111,4,sjf,-1
112,4,sjf,-1
113,4,sjf,-1
114,4,sjf,-1
115,4,sjf,-1
116,4,sjf,-1
117,4,sjf,-1
118,4,sjf,-1
119,4,sjf,-1
120,4,sjf,-1
121,4,sjf,-1
122,4,sjf,-1
123,4,sjf,-1
124,4,sjf,-1
125,4,sjf,-1
126,4,sjf,-1
127,4,sjf,-1
128,4,sjf,-1
129,4,sjf,-1
130,4,sjf,-1
131,4,sjf,-1
132,4,sjf,-1
133,4,sjf,-1
134,4,sjf,-1
135,4,sjf,-1
136,4,sjf,-1
137,4,sjf,-1
138,4,sjf,-1
139,4,sjf,-1
140,4,sjf,-1
141,4,sjf,-1
142,4,sjf,-1
143,4,sjf,-1
144,4,sjf,-1
145,4,sjf,-1
146,3,sjf,-1
147,3,sjf,-1
148,3,sjf,-1
149,3,sjf,-1
150,3,sjf,-1
151,3,sjf,-1
152,3,sjf,-1
153,3,sjf,-1
154,3,sjf,-1
155,3,sjf,-1
156,3,sjf,-1
157,3,sjf,-1
158,3,sjf,-1
159,3,sjf,-1
160,3,sjf,-1
161,3,sjf,-1
162,3,sjf,-1
163,3,sjf,-1
164,3,sjf,-1
165,3,sjf,-1
166,3,sjf,-1
167,3,sjf,-1
168,3,sjf,-1
169,3,sjf,-1
170,3,sjf,-1
171,3,sjf,-1
172,3,sjf,-1
173,3,sjf,-1
174,3,sjf,-1
175,3,sjf,-1
176,3,sjf,-1
177,3,sjf,-1
178,3,sjf,-1
179,3,sjf,-1
180,3,sjf,-1
181,3,sjf,-1
182,3,sjf,-1
183,3,sjf,-1
184,3,sjf,-1
185,3,sjf,-1
186,3,sjf,-1
187,3,sjf,-1
188,3,sjf,-1
189,3,sjf,-1
190,3,sjf,-1
191,3,sjf,-1
192,3,sjf,-1
193,3,sjf,-1
194,3,sjf,-1
195,3,sjf,-1
196,3,sjf,-1
197,2,sjf,-1
198,2,sjf,-1
199,2,sjf,-1
200,2,sjf,-1
201,2,sjf,-1
202,2,sjf,-1
203,2,sjf,-1
204,2,sjf,-1
205,2,sjf,-1
206,2,sjf,-1
207,2,sjf,-1
208,2,sjf,-1
209,2,sjf,-1
210,2,sjf,-1
211,2,sjf,-1
212,2,sjf,-1
213,2,sjf,-1
214,2,sjf,-1
215,2,sjf,-1
216,2,sjf,-1
217,2,sjf,-1
218,2,sjf,-1
219,2,sjf,-1
220,2,sjf,-1
221,2,sjf,-1
222,2,sjf,-1
223,2,sjf,-1
224,2,sjf,-1
225,2,sjf,-1
226,2,sjf,-1
227,2,sjf,-1
228,2,sjf,-1
229,2,sjf,-1
230,2,sjf,-1
231,2,sjf,-1
232,2,sjf,-1
233,2,sjf,-1
234,2,sjf,-1
235,2,sjf,-1
236,2,sjf,-1
237,2,sjf,-1
238,2,sjf,-1
239,2,sjf,-1
240,2,sjf,-1
241,2,sjf,-1
242,2,sjf,-1
243,2,sjf,-1
244,2,sjf,-1
245,2,sjf,-1
246,2,sjf,-1
247,2,sjf,-1
248,2,sjf,-1
249,2,sjf,-1
250,2,sjf,-1
251,2,sjf,-1
252,2,sjf,-1
